_id,รายชื่อสถานประกอบการ,ระดับ,ปีงบประมาณ
97,บริษัท อีสเทิร์น พอร์ท แมเนจเม้นท์ คอร์ปอเรชั่น จำกัด,1,2565
98,ห้างหุ้นส่วนจำกัด นิติจินดา กรุ๊ป,1,2565
99,นายปพนศักดิ์ บุญนาคม,1,2565
100,บริษัท เค พี เอ็น สตีล จำกัด,1,2565
101,บริษัท อัดดี จำกัด,1,2565
102,บริษัท อังไถ่ จำกัด,1,2565
103,บริษัท อังไถ่ จำกัด,1,2565
104,บริษัท นิว ไอเดีย สเทเบิล จำกัด,1,2565
105,บริษัท ซูเปอร์ดี มัลติมีเดีย (ประเทศไทย) จำกัด,1,2565
106,บริษัท ซูเปอร์ดี มัลติมีเดีย (ประเทศไทย) จำกัด,1,2565
107,บริษัท โกเทค เอ็นจิเนียริ่ง จำกัด,1,2565
108,บริษัท เอ็มพี แมนูแฟคเจอริง (ประเทศไทย) จำกัด,1,2565
109,บริษัท เอ็มพี แมนูแฟคเจอริง (ประเทศไทย) จำกัด,1,2565
110,บริษัท เอ็มพี แมนูแฟคเจอริง (ประเทศไทย) จำกัด,1,2565
111,บริษัท เอ็มพี แมนูแฟคเจอริง (ประเทศไทย) จำกัด,1,2565
112,บริษัท เอ็มพี แมนูแฟคเจอริง (ประเทศไทย) จำกัด,1,2565
113,บริษัท ว.พ.ฟาร์มและโฟม บ้านเขาไผ่ จำกัด,1,2565
114,บริษัท แดฮัน ไครเมท จำกัด,1,2565
115,บริษัท เพค อินดัสทรีส์ จำกัด,1,2565
116,บริษัท เพค อินดัสทรีส์ จำกัด,1,2565
117,บริษัท ฟิโก้ เทคโนโลยี แอนด์ เอ็นจิเนียริ่ง จำกัด,1,2565
118,บริษัท บางแสนมหานคร ผลิตภัณฑ์คอนกรีต จำกัด,1,2565
119,บริษัท พี.เอฟ.ครีเอทีฟ ดีไซน์ จำกัด,1,2565
120,บริษัท เค.ที.เค. พัฒนาธุรกิจ จำกัด,1,2565
121,บริษัท โตโตไก เอ็นจิเนียริ่ง จำกัด,1,2565
122,บริษัท หลังคาเหล็ก ยูเนียน พียูโฟม จำกัด,1,2565
123,บริษัท เมกะเคมีคอล จำกัด,1,2565
124,บริษัท มหาโชค อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,1,2565
125,นายธนะชาติ ธิมาภรณ์,1,2565
126,บริษัท วาซิน เทค จำกัด,1,2565
127,บริษัท ฟานเทค โพลีเมอร์ (ประเทศไทย) จำกัด,1,2565
128,บริษัท ปานะโอสถ จำกัด,1,2565
129,บริษัท ปานะโอสถ จำกัด,1,2565
130,นายสิทธิพงษ์ สุรกุล,1,2565
131,บริษัท โอม เพเพอร์ (ไทยแลนด์) จำกัด,1,2565
132,บริษัท โอม เพเพอร์ (ไทยแลนด์) จำกัด,1,2565
133,บริษัท โอม เพเพอร์ (ไทยแลนด์) จำกัด,1,2565
134,บริษัท สยามเทคนิคคอนกรีต จำกัด (มหาชน),1,2565
135,บริษัท ไซรัส ธัญญา จำกัด,1,2565
136,บริษัท มาสเตอร์พาเลทโซลูชั่น จำกัด,1,2565
137,บริษัท เค็น ยูไนเต็ด (ประเทศไทย) จำกัด,1,2565
138,บริษัท บึงทอง ค้าของเก่า จำกัด,1,2565
139,บริษัท บึงทอง ค้าของเก่า จำกัด,1,2565
140,บริษัท อุตสาหกรรมริมน้ำ จำกัด,1,2565
141,บริษัท รุ่งอรุณทรัพย์ รีไซเคิล จำกัด,1,2565
142,บริษัท รุ่งอรุณทรัพย์ รีไซเคิล จำกัด,1,2565
143,บริษัท ซิงหัวไท่ การเกษตร ดีเวลลอปเมนท์ จำกัด,1,2565
144,บริษัท เซอิโกะ เทคโนโลยีพัฒนา จำกัด,1,2565
145,บริษัท เจซี อีลาสติก จำกัด,1,2565
146,บริษัท เมกะ เลเซอร์ สตีล จำกัด,1,2565
147,บริษัท เจแอนด์อาร์ พลาสติก (ไทยแลนด์) จำกัด,1,2565
148,บริษัท โชคโชกุล จำกัด,1,2565
149,บริษัท ออสไทย มารีน จำกัด,1,2565
150,บริษัท ราศรีสุข จำกัด,1,2565
151,บริษัท ไทยอีสเทิร์น อินโนเวชั่น จำกัด,1,2565
152,บริษัท อาซาฮี ไพป์ (ไทยแลนด์) จำกัด,1,2565
153,บริษัท หยวนซิน วัสดุก่อสร้าง อุตสาหกรรม จำกัด,1,2565
154,ห้างหุ้นส่วนจำกัด คิวไพศาล,1,2565
155,ห้างหุ้นส่วนจำกัด ชลบุรี จีเอส พลาสติค,1,2565
156,บริษัท เอ็มพาวเวอร์ เอ็นจิเนียริ่ง จำกัด,1,2565
157,เอกชัย 88 ค้าแก้ว,1,2565
158,ส.ชุมพลรีไซเคิล,1,2565
159,บริษัท เอ็ม เอส โอ แอนด์ พี (ไทยแลนด์) จำกัด,1,2565
160,บริษัท เอ็ม เอส โอ แอนด์ พี (ไทยแลนด์) จำกัด,1,2565
161,บริษัท บูรพา เอ็นจิเนียริ่ง แอนด์ ออโต้พาร์ท จำกัด,1,2565
162,บริษัท เทอร์ไบน์แอโร รีแพร์ จำกัด,1,2565
163,บริษัท ทรี ซีซั่น ฟรุ๊ตส์ อินดัสตรี้ จำกัด,1,2565
164,บริษัท พิศา (2003) จำกัด,1,2565
165,บริษัท เอนเนอจี อินโนเวชั่น เทคโนโลยี จำกัด,1,2565
166,บริษัท เอนเนอจี อินโนเวชั่น เทคโนโลยี จำกัด,1,2565
167,บริษัท บูรพา เอ็นจิเนียริ่ง แอนด์ ออโต้พาร์ท จำกัด,1,2565
168,บริษัท เค ที ซี โฮม จำกัด,1,2565
169,บริษัท เค ที ซี โฮม จำกัด,1,2565
170,บริษัท ฟู่ หยู อิมพอร์ต เอ็กซ์พอร์ต จำกัด,1,2565
171,บริษัท เอส.พี.ออโตโมทีฟ โปรดักส์ จำกัด,1,2565
172,บริษัท กรีน กลัฟ (ไทยแลนด์) จำกัด,1,2565
173,บริษัท หงส์ไทยแพกซ์ แมนูแฟคทอรี่ จำกัด,1,2565
174,บริษัท อุตสาหกรรมสีเขียว น้ำใส จำกัด,1,2565
175,บริษัท ฟอริสท์ รีนิวเอเปิ้ล รีซอร์สเซส (ไทยแลนด์) จำกัด,1,2565
176,บริษัท ทีซีซี ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด,1,2565
177,บริษัท สยาม เพียว เฟรซ จำกัด,1,2565
178,บริษัท ชัยโปร จำกัด,1,2565
179,บริษัท โรเบิร์ตชอว์ (ประเทศไทย) จำกัด,1,2565
180,บริษัท 3เอ็มบี จำกัด,1,2565
181,บริษัท ที8 ออโต้พาร์ท เวิร์คช็อป จำกัด,1,2565
182,บริษัท ยูเอ็ม อินดัสทรี จำกัด,1,2565
183,บริษัท เพนท์แอพพรีเคชั่นซิสเต็มท์ จำกัด,1,2565
184,บริษัท โอโว่ ฟู้ดเทค จำกัด,1,2565
185,บริษัท ซี เอส เอ็น ไอ คอร์ปอเรชั่น จำกัด,1,2565
186,บริษัท แสงดี เอ็นจิเนียริ่ง จำกัด,1,2565
187,บริษัท ซีเจ เมทัลลิค จำกัด,1,2565
188,ห้างหุ้นส่วนจำกัด นาป่า รีไซเคิล,1,2565
189,บริษัท อาภานนท์ เบฟเวอเรจ จำกัด,1,2565
190,บริษัท โอทีที อินเตอร์ เทคโนโลยี จำกัด,1,2565
191,บริษัท เอ็ม มารีน 2018 จำกัด,1,2565
192,บริษัท ป.พูนอนันต์ จำกัด,1,2565
193,บริษัท แอล เอส ซี เกรท (2016) จำกัด,1,2565
194,บริษัท บำรุงศิลป์ พาราวู๊ด จำกัด,1,2565
195,บริษัท พรหมโยธาการ ระยอง (1993) จำกัด,1,2565
196,บริษัท ลี่หัว เอ็นไวรอนเมนทอล เทคโนโลยี (ไทยแลนด์) จำกัด,1,2565
197,บริษัท บีนิ แบร์ จำกัด,1,2565
198,บริษัท ร่วมกิจรุ่งเรือง ทรัค ดีเทลส์ จำกัด,1,2565
199,บริษัท ไทยออยล์ ทูล แมชีนเนอรี่ เซอร์วิสเซส จำกัด,1,2565
200,ห้างหุ้นส่วนจำกัด เอส อาร์ เอ็นจิเนียริ่ง,1,2565
201,บริษัท คณาทรัพย์พืชผล จำกัด,1,2565
202,วงษ์พาณิชย์ (สาขามาบโป่ง),1,2565
203,บริษัท ไอน์ชไตน์ อินดัสเตรียล เทคนิค คอร์ปอเรชั่น จำกัด,1,2565
204,บริษัท พูลผลทวีพูล จำกัด,1,2565
205,บริษัท เปเปอร์ เครท แอนด์ เมทอล (2021) จำกัด,1,2565
206,บริษัท พี.บี. เทรดดิ้ง แอนด์ รีไซเคิล จำกัด,1,2565
207,ไฟซอล ธุรกิจ,1,2565
208,ห้างหุ้นส่วนจำกัด สุวรรณวรี,1,2565
209,บริษัท ซิน ไท่ หลง อินดัสตรี จำกัด,1,2565
210,บริษัท ที.เค.แอล. ยูนิตี้ รีไซเคิล จำกัด,1,2565
211,บริษัท เมทเทิลคอม จำกัด,1,2565
212,บริษัท อ.สหรุ่งโรจน์ จำกัด,1,2565
213,บริษัท ช.เจริญ 2019 จำกัด,1,2565
214,บริษัท ซิน ไท่ หลง อินดัสตรี จำกัด,1,2565
215,บริษัท ต.ชลบุรี จำกัด,1,2565
216,บริษัท นิปปอน คินโซคุ อิโค-แมเนจเม้นท์ จำกัด,1,2565
217,บริษัท หัวไท แมททีเรียล รีไซเคิล จำกัด,1,2565
218,บริษัท เมคไรท์ อินดัสเทรียล (ไทยแลนด์) จำกัด,1,2565
219,บริษัท หงส์มังกร 6365 รีไซเคิล จำกัด,1,2565
220,บริษัท เอส เอส ซี ออยล์ จำกัด,1,2565
221,บริษัท เอ-เทค พลาสแมท จำกัด,1,2565
222,บริษัท หงส์ไทย โมลด์ จำกัด,1,2565
223,บริษัท เอส เอส ซี ออยล์ จำกัด,1,2565
224,ห้างหุ้นส่วนจำกัด เอส.ที.พี. รีไซเคิล,1,2565
225,บริษัท ชุน ยี อินเตอร์เนชั่นแนล เทรดดิ้ง จำกัด,1,2565
226,บริษัท สยาม ยูเนี่ยน แมนูแฟคเตอริ่ง จำกัด,1,2565
227,บริษัท หรง เจี้ยน อินเตอร์เนชั่นแนล จำกัด,1,2565
228,ห้างหุ้นส่วนจำกัด บุญจองรีไซเคิ้ล,1,2565
229,บริษัท บัวเงิน จำกัด,1,2565
230,บริษัท บี แอนด์ บี โบ๊ต จำกัด,1,2565
231,บริษัท บูรณาพากรุ๊ป จำกัด,1,2565
232,บริษัท อีเวอริช พลาสติกส์ จำกัด,1,2565
233,บริษัท เอ็มไพร์ เฟอร์เนซ อินดัสทรี จำกัด,1,2565
234,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),1,2565
235,บริษัท คิวเอ็มบี จำกัด,1,2565
236,บริษัท มิโดริ แพค จำกัด,1,2565
237,บริษัท เอสพีทีเอ็น. ซัพพลาย จำกัด,1,2565
238,บริษัท อารยะ เมทัล กรุ๊ป จำกัด,1,2565
239,บริษัท ท้อปเทร็นด์ แมนูแฟคเจอริ่ง จำกัด,1,2565
240,บริษัท ประกายดาว จำกัด,1,2565
241,ศูนย์ผลิตผลิตภัณฑ์พลาสมา,1,2565
242,บริษัท นิวคอนกรีต จำกัด,1,2565
243,บริษัท เอ็น.เค.เค. ครีเอทีฟ เอ็นจิเนียริ่ง จำกัด,1,2565
244,บริษัท สยาม เอส แอนด์ เอ็ม จำกัด,1,2565
245,บริษัท ทีเจซี คอนกรีต จำกัด,1,2565
246,บริษัท วี เทคนิค รีไซเคิล จำกัด,1,2565
247,บริษัท เอส เจ ซี ฟาสท์ เฟ้นซ์ จำกัด,1,2565
248,บริษัท วนิชชัยก่อสร้าง (1979) จำกัด,1,2565
249,บริษัท ฟัน สโตน จำกัด,1,2565
250,บริษัท เอส.เจ.ซี. คอนกรีต จำกัด,1,2565
251,บริษัท ไดรฟ์ซอล (ไทยแลนด์) จำกัด,1,2565
252,บริษัท ต.นิตยาค้าไม้ จำกัด,1,2565
253,บริษัท ซีพีเค พลาสเทค เวิร์คส์ จำกัด,1,2565
254,บริษัท เอ็มทีที (ไทยแลนด์) จำกัด,1,2565
255,ห้างหุ้นส่วนจำกัด ศรีรัตน ปราโมทย์,1,2565
256,บริษัท ไทยย่า พลาสติก เทรดดิ้ง จำกัด,1,2565
257,บริษัท อาร์.เค.พลาสติก (ประเทศไทย) จำกัด,1,2565
258,บริษัท แฮปปี้ พลาสติก จำกัด,1,2565
259,บริษัท ไทย ฮีเฟง พลาสติก แพคเกจจิ้ง จำกัด,1,2565
260,บริษัท เอส-ปาร์ค คอร์ปอเรชั่น จำกัด,1,2565
261,บริษัท ดี.ซี.อินดัสทรี จำกัด,1,2565
262,บริษัท เดอะวอล์ค ไลฟ์สไตล์ มอลล์ จำกัด,1,2565
263,บริษัท นิโอ รับเบอร์ อินเตอร์เทค จำกัด,1,2565
264,บริษัท วนิชชัยก่อสร้าง (1979) จำกัด,1,2565
265,บริษัท กรีน วอเทอร์ อีพี-เทค จำกัด,1,2565
266,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),1,2565
267,บริษัท ฮิวมัส โออาร์จี จำกัด,1,2565
268,บริษัท ลี เทคโน (ไทยแลนด์) จำกัด,1,2565
269,ห้างหุ้นส่วนจำกัด เพิ่มทวี เอ็นจิเนียริ่ง พาร์ท,1,2565
270,บริษัท ดีเคเค พรีซิชั่น อินดัสเตรียล จำกัด,1,2565
271,บริษัท เนาวบุตร พรีซิชั่น จำกัด,1,2565
272,ห้างหุ้นส่วนจำกัด สยามเอสอาร์เทค,1,2565
273,บริษัท ไลฟ์ เปเปอร์ จำกัด,1,2565
274,บริษัท ไฮ-คลาส ออโต้ จำกัด,1,2565
275,บริษัท ชลบุรีรถเล็ก-รถใหญ่ จำกัด,1,2565
276,บริษัท เค.พี.เอส.เปเปอร์ แอนด์ พลาสติก จำกัด,1,2565
277,บริษัท วี วี อัน อินดัสทรี จำกัด,1,2565
278,บริษัท โกลเด้น เครน (โกลเด้น ดราก้อน) จำกัด,1,2565
279,บริษัท ไทยอีสเทิร์น ยูทิลิตี้ส์ จำกัด,1,2565
280,บริษัท ซุปเปอร์วอเตอร์ จำกัด,1,2565
281,บริษัท ไอโอเทค เอเชีย จำกัด,1,2565
282,ชัยเจริญ,1,2565
283,บริษัท เกษม เอ็นจิเนียริ่ง แอนด์ คอนซัลแตนท์ จำกัด,1,2565
284,บริษัท หงฟา เทคโนโลยี (ไทยแลนด์) จำกัด,1,2565
285,บริษัท บูกุก เทค จำกัด,1,2565
286,บริษัท เจ.วี. (ประเทศไทย) จำกัด,1,2565
287,บริษัท สยาม อีเลฟเฟนท์ เซอร์วิส จำกัด,1,2565
288,บริษัท เอพี พร็อพเพอร์ตี้ แอนด์ เซอร์วิส จำกัด,1,2565
289,บริษัท อาร์ ซี เค อินดัสตรี จำกัด,1,2565
290,บริษัท อาซาฮี ซือชิน (ประเทศไทย) จำกัด,1,2565
291,บริษัท อี-อาร์ยู เคมิคอล (ไทยแลนด์) จำกัด,1,2565
292,ห้างหุ้นส่วนจำกัด อภิชัยเคหะภัณฑ์,1,2565
293,บริษัท ซัมอิล แอกซอน จำกัด,1,2565
294,บริษัท เอเซีย ผลิตภัณฑ์ซีเมนต์ จำกัด แพล้นท์สัตหีบ,1,2565
295,บริษัท เหมย เจีย เลอ จำกัด,1,2565
296,บริษัท อีจี กรุ๊ป โปรดักท์ แอนด์ เซอร์วิส จำกัด,1,2565
297,บริษัท ซาวี่ เทคโนโลยีส์ (ประเทศไทย) จำกัด,1,2565
298,นางละมัย วัฒนสมบัติ,1,2565
299,บริษัท คุ้ม ซัพพลาย แอนด์ เซอร์วิส จำกัด,1,2565
300,บริษัท ยูจิน เทคโนโลยี จำกัด,1,2565
301,บริษัท น้ำดื่ม จุฬาเทพ จำกัด,1,2565
302,บริษัท ฟีลัคซ์ (ประเทศไทย) จำกัด,1,2565
303,บริษัท สยามอุตสาหกรรมเทปกาว จำกัด,1,2565
304,บริษัท มิน ซัพพลาย จำกัด,1,2565
305,บริษัท ฟลูอิดเวิร์ค เรฟโวลูชั่น จำกัด,1,2565
306,บริษัท เอเบิล อิสเทิร์น พาเลท จำกัด,1,2565
307,บริษัท ไปป์ โคทติ้ง (ไทยแลนด์) จำกัด,1,2565
308,บริษัท เอสเอสที ทูลส์ แอนด์ พาร์ท จำกัด,1,2565
309,บริษัท เอพีทีเอส โปรไวด์ จำกัด,1,2565
310,บริษัท เอ็ม พี เจ โลจิสติกส์ จำกัด,1,2565
311,บริษัท ดอง จู เมททัล จำกัด,1,2565
312,บริษัท ภัทรกร พรีซิซั่น 2012 จำกัด,1,2565
313,บริษัท สยาม เคเจ วิศวกรรม จำกัด,1,2565
314,บริษัท วิริยะ พรีซิชั่น พาร์ท จำกัด,1,2565
315,บริษัท ไทย นิสโชกุ จำกัด,1,2565
316,บริษัท ไทยอีเอ็มซี จำกัด,1,2565
317,บริษัท สุปันนา การช่าง จำกัด,1,2565
318,บริษัท ที ซี ซูเปอร์ ดีเวลลอป จำกัด,1,2565
319,บริษัท ไทยซัมมิท สโตน จำกัด,1,2565
320,บริษัท ซูเพิร์บ เฟอร์นิเจอร์ (ประเทศไทย) จำกัด,1,2565
321,บริษัท เชียง อี้ เทคโนโลยี กรุ๊ป จำกัด,1,2565
322,บริษัท เอ็นริช อินดัสเตรียล (ไทย) จำกัด,1,2565
323,เฮงรุ่งเรือง,1,2565
324,บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด,1,2565
325,บริษัท เลธเธอร์ ชูส์ อินเตอร์ เนชั่นแนล จำกัด,1,2565
326,บริษัท แอสเซ้นท์ กรุ๊ป (ไทยแลนด์) จำกัด,1,2565
327,บริษัท ภาพร พัฒนา จำกัด,1,2565
328,บ่อดินรัชนี,1,2565
329,นางวิไล โรจนัย,1,2565
330,นายภูภูมิ กวินนิธิกุล,1,2565
331,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน),1,2565
332,บริษัท โอเวอร์ซี ดีโพ จำกัด,1,2565
333,ห้างหุ้นส่วนจำกัด ศรีรัตน ปราโมทย์,1,2565
334,บริษัท ซีซีพี เพวิ่งสโตนส์ จำกัด,1,2565
335,บริษัท เจบี ไฮเทค จำกัด,1,2565
336,ศิลป์เอ็นจิเนียริ่ง,1,2565
337,นายธนวิน มงคลธนวัฒน์,1,2565
338,นายธนพล เจียรวงศ์สกุล,1,2565
339,บริษัท เอคเซลเลนท์ อินดัสตรี้ส์ จำกัด,1,2565
340,ห้างหุ้นส่วนจำกัด ศรีรัตน ปราโมทย์,1,2565
341,นายธนพล เจียรวงศ์สกุล,1,2565
342,บริษัท ไบแทค จำกัด,1,2565
343,บริษัท โมเดิร์น ซินเนอร์ยี่ จำกัด,1,2565
344,บริษัท ทิพย์นที (2005) จำกัด,1,2565
345,บริษัท ทรัพย์บริบูรณ์ ดินและทราย จำกัด,1,2565
346,บริษัท อีซูซุ ตะวันออก ชลบุรี จำกัด,1,2565
347,บริษัท อีซูซุ ตะวันออกชลบุรี จำกัด,1,2565
348,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),1,2565
349,บริษัท ชลบุรี ไมนิ่ง จำกัด,1,2565
350,ห้างหุ้นส่วนจำกัด พีเอฟเอ็น เอเลเมนท์,1,2565
351,บริษัท โชคนำชัย ขนส่ง จำกัด,1,2565
352,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),1,2565
353,บริษัท เอกสรัล พลาสเคม จำกัด,1,2565
354,ศรีรัตน ปราโมทย์,1,2565
355,นายรุ่งอนันท์ นิลแท้,1,2565
356,บริษัท สามชัย พารา แพ็คกิ้ง จำกัด,1,2565
357,บริษัท ก่วง หลง (ไทยแลนด์) จำกัด,1,2565
358,บริษัท พีเอ็นที อุดมทรัพย์ จำกัด,1,2565
359,บริษัท ไดมอนด์ควอลิตี้ทูลส์ จำกัด,1,2565
360,บริษัท โปรวิชั่น เอ็นจิเนียริ่ง จำกัด,1,2565
361,บริษัท ที.เอ็ม.เอส. ทูลลิ่ง เซอร์วิส จำกัด,1,2565
