เดือน,จำนวน,ประเภท_พรบ,_id,ปี
กรกฎาคม,9475,ตามพรบ.ขนส่ง,43,2567
สิงหาคม,9488,ตามพรบ.ขนส่ง,44,2567
กันยายน,9509,ตามพรบ.ขนส่ง,45,2567
ตุลาคม,9512,ตามพรบ.ขนส่ง,46,2567
พฤศจิกายน,9520,ตามพรบ.ขนส่ง,47,2567
ธันวาคม,9529,ตามพรบ.ขนส่ง,48,2567
มกราคม,9538,ตามพรบ.ขนส่ง,49,2568
กุมภาพันธ์,9549,ตามพรบ.ขนส่ง,50,2568
มีนาคม,9569,ตามพรบ.ขนส่ง,51,2568
เมษายน,9592,ตามพรบ.ขนส่ง,52,2568
พฤษภาคม,9610,ตามพรบ.ขนส่ง,53,2568
มิถุนายน,9617,ตามพรบ.ขนส่ง,54,2568
กรกฎาคม,9630,ตามพรบ.ขนส่ง,55,2568
สิงหาคม,9659,ตามพรบ.ขนส่ง,56,2568
กันยายน,9676,ตามพรบ.ขนส่ง,57,2568
ตุลาคม,9682,ตามพรบ.ขนส่ง,58,2568
พฤศจิกายน,9684,ตามพรบ.ขนส่ง,59,2568
ธันวาคม,9693,ตามพรบ.ขนส่ง,60,2568
มกราคม,367944,ตามพรบ.รถยนต์,61,2564
กุมภาพันธ์,371009,ตามพรบ.รถยนต์,62,2564
มีนาคม,374756,ตามพรบ.รถยนต์,63,2564
เมษายน,378199,ตามพรบ.รถยนต์,64,2564
พฤษภาคม,381453,ตามพรบ.รถยนต์,65,2564
มิถุนายน,385175,ตามพรบ.รถยนต์,66,2564
กรกฎาคม,387835,ตามพรบ.รถยนต์,67,2564
สิงหาคม,389947,ตามพรบ.รถยนต์,68,2564
กันยายน,392294,ตามพรบ.รถยนต์,69,2564
ตุลาคม,394764,ตามพรบ.รถยนต์,70,2564
พฤศจิกายน,397857,ตามพรบ.รถยนต์,71,2564
ธันวาคม,401641,ตามพรบ.รถยนต์,72,2564
มกราคม,405426,ตามพรบ.รถยนต์,73,2565
กุมภาพันธ์,409017,ตามพรบ.รถยนต์,74,2565
มีนาคม,412364,ตามพรบ.รถยนต์,75,2565
เมษายน,415464,ตามพรบ.รถยนต์,76,2565
พฤษภาคม,418982,ตามพรบ.รถยนต์,77,2565
มิถุนายน,422839,ตามพรบ.รถยนต์,78,2565
กรกฎาคม,426135,ตามพรบ.รถยนต์,79,2565
สิงหาคม,429770,ตามพรบ.รถยนต์,80,2565
กันยายน,433084,ตามพรบ.รถยนต์,81,2565
ตุลาคม,436274,ตามพรบ.รถยนต์,82,2565
พฤศจิกายน,439547,ตามพรบ.รถยนต์,83,2565
ธันวาคม,442847,ตามพรบ.รถยนต์,84,2565
มกราคม,446605,ตามพรบ.รถยนต์,85,2566
กุมภาพันธ์,449932,ตามพรบ.รถยนต์,86,2566
มีนาคม,453612,ตามพรบ.รถยนต์,87,2566
เมษายน,455891,ตามพรบ.รถยนต์,88,2566
พฤษภาคม,459404,ตามพรบ.รถยนต์,89,2566
มิถุนายน,462340,ตามพรบ.รถยนต์,90,2566
กรกฎาคม,465390,ตามพรบ.รถยนต์,91,2566
สิงหาคม,468552,ตามพรบ.รถยนต์,92,2566
กันยายน,471491,ตามพรบ.รถยนต์,93,2566
ตุลาคม,474180,ตามพรบ.รถยนต์,94,2566
พฤศจิกายน,477327,ตามพรบ.รถยนต์,95,2566
ธันวาคม,480519,ตามพรบ.รถยนต์,96,2566
มกราคม,483955,ตามพรบ.รถยนต์,97,2567
กุมภาพันธ์,486970,ตามพรบ.รถยนต์,98,2567
มีนาคม,489906,ตามพรบ.รถยนต์,99,2567
เมษายน,492699,ตามพรบ.รถยนต์,100,2567
พฤษภาคม,496070,ตามพรบ.รถยนต์,101,2567
มิถุนายน,499002,ตามพรบ.รถยนต์,102,2567
กรกฎาคม,501833,ตามพรบ.รถยนต์,103,2567
สิงหาคม,504207,ตามพรบ.รถยนต์,104,2567
กันยายน,506596,ตามพรบ.รถยนต์,105,2567
ตุลาคม,509660,ตามพรบ.รถยนต์,106,2567
พฤศจิกายน,512573,ตามพรบ.รถยนต์,107,2567
ธันวาคม,515201,ตามพรบ.รถยนต์,108,2567
มกราคม,518823,ตามพรบ.รถยนต์,109,2568
กุมภาพันธ์,521808,ตามพรบ.รถยนต์,110,2568
มีนาคม,524795,ตามพรบ.รถยนต์,111,2568
เมษายน,527841,ตามพรบ.รถยนต์,112,2568
พฤษภาคม,531409,ตามพรบ.รถยนต์,113,2568
มิถุนายน,534360,ตามพรบ.รถยนต์,114,2568
กรกฎาคม,537105,ตามพรบ.รถยนต์,115,2568
สิงหาคม,539600,ตามพรบ.รถยนต์,116,2568
กันยายน,542302,ตามพรบ.รถยนต์,117,2568
ตุลาคม,545030,ตามพรบ.รถยนต์,118,2568
พฤศจิกายน,547833,ตามพรบ.รถยนต์,119,2568
ธันวาคม,550669,ตามพรบ.รถยนต์,120,2568
