﻿year,quarter,industry,_id,region,value,unit,source
2561,ไตรมาสที่ 3,การทำเหมืองแร่ และเหมืองหิน,31,ภาคกลาง,28.38,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,การศึกษา,32,ภาคใต้,163.9,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,การขนส่ง และสถานที่เก็บสินค้า,33,ภาคตะวันออกเฉียงเหนือ,93.86,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ไม่ทราบ,34,ภาคกลาง,16.84,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,35,กรุงเทพมหานคร,225.61,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,การก่อสร้าง,36,ภาคใต้,311.22,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,กิจกรรมขององค์การระหว่างประเทศ,37,ภาคเหนือ,0.15,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,กิจกรรมอสังหาริมทรัพย์,38,ภาคกลาง,71.41,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,39,กรุงเทพมหานคร,19.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ศิลปะ ความบันเทิง และนันทนาการ,40,ภาคตะวันออกเฉียงเหนือ,78.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,กิจกรรมอสังหาริมทรัพย์,41,ภาคเหนือ,7.0,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,การทำเหมืองแร่ และเหมืองหิน,42,ภาคกลาง,20.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,การศึกษา,43,ภาคใต้,174.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,การขนส่ง และสถานที่เก็บสินค้า,44,ภาคตะวันออกเฉียงเหนือ,89.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1,กิจกรรมขององค์การระหว่างประเทศ,45,ภาคกลาง,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2,กิจกรรมอสังหาริมทรัพย์,46,กรุงเทพมหานคร,129.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2,ข้อมูลข่าวสารและการสื่อสาร,47,ภาคเหนือ,12.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การผลิต,48,ภาคกลาง,3511.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,กิจกรรมทางการเงินและการประกันภัย,49,ภาคกลาง,157.9,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 1,การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,50,กรุงเทพมหานคร,11.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 2,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,51,กรุงเทพมหานคร,155.4,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 3,การขายส่ง และการขายปลีก การซ่อมยานยนต์,52,ภาคกลาง,2201.9,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 3,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,53,ภาคตะวันออกเฉียงเหนือ,15.0,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 3,กิจกรรมบริการด้านอื่น ๆ,54,ภาคใต้,119.9,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมทางการเงินและการประกันภัย,55,ภาคกลาง,194.2,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การก่อสร้าง,56,ภาคตะวันออกเฉียงเหนือ,434.4,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การขายส่ง และการขายปลีก การซ่อมยานยนต์,57,ภาคตะวันออกเฉียงเหนือ,1335.9,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การขนส่ง และสถานที่เก็บสินค้า,58,ภาคตะวันออกเฉียงเหนือ,99.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ที่พักแรมและบริการด้านอาหาร,59,ภาคตะวันออกเฉียงเหนือ,435.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ข้อมูลข่าวสารและการสื่อสาร,60,ภาคตะวันออกเฉียงเหนือ,12.3,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมทางการเงินและการประกันภัย,61,ภาคตะวันออกเฉียงเหนือ,66.8,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมอสังหาริมทรัพย์,62,ภาคตะวันออกเฉียงเหนือ,6.4,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,63,ภาคตะวันออกเฉียงเหนือ,28.4,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมการบริหารและการบริการสนับสนุน,64,ภาคตะวันออกเฉียงเหนือ,28.9,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,65,ภาคตะวันออกเฉียงเหนือ,440.8,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การศึกษา,66,ภาคตะวันออกเฉียงเหนือ,260.0,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,67,ภาคตะวันออกเฉียงเหนือ,199.5,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ศิลปะ ความบันเทิง และนันทนาการ,68,ภาคตะวันออกเฉียงเหนือ,66.2,พันคน,สำนักงานสถิติแห่งชาติ
