province,work_status,sex,quarter,_id,year,value,attribute,unit,source
กรุงเทพมหานคร,ทำงานส่วนตัว,รวม,ไตรมาสที่ 1,89,2567,1276493,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาสที่ 1,90,2567,323556,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,รวม,ไตรมาสที่ 1,91,2567,1187,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,ชาย,ไตรมาสที่ 1,92,2567,3017298,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,ชาย,ไตรมาสที่ 1,93,2567,159187,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,ชาย,ไตรมาสที่ 1,94,2567,251543,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,ชาย,ไตรมาสที่ 1,95,2567,1745031,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,ชาย,ไตรมาสที่ 1,96,2567,743656,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,ชาย,ไตรมาสที่ 1,97,2567,117881,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,ชาย,ไตรมาสที่ 1,98,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,หญิง,ไตรมาสที่ 1,99,2567,2758197,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,หญิง,ไตรมาสที่ 1,100,2567,53092,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,หญิง,ไตรมาสที่ 1,101,2567,258216,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,หญิง,ไตรมาสที่ 1,102,2567,1707190,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,หญิง,ไตรมาสที่ 1,103,2567,532837,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,หญิง,ไตรมาสที่ 1,104,2567,205675,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,หญิง,ไตรมาสที่ 1,105,2567,1187,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,รวม,ไตรมาสที่ 2,106,2567,5761401,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,รวม,ไตรมาสที่ 2,107,2567,215025,,คน,สำนักงานสถิติแห่งชาติ
