เดือน,_id,ปี,ปริมาณ,รายการ,จังหวัด,หน่วยงาน,หน่วย
พฤศจิกายน,23,2564," 51,392.63 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,24,2564," 31,948.23 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,25,2565," 37,533.19 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,26,2565," 63,238.62 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,27,2565," 79,824.72 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,28,2565," 78,388.79 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,29,2565," 78,267.03 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,30,2565," 80,699.31 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,31,2565," 77,801.97 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,32,2565," 80,418.60 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,33,2565," 85,773.64 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,34,2565," 96,387.59 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,35,2565," 86,480.27 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,36,2565," 77,073.22 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,37,2566," 97,022.33 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,38,2566," 81,510.75 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,39,2566," 95,686.99 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,40,2566," 89,600.61 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,41,2566," 75,850.84 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,42,2566," 67,418.75 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,43,2566," 71,828.48 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,44,2566," 82,023.73 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,45,2566," 82,287.32 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,46,2566," 82,534.69 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,47,2566," 84,247.26 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,48,2566," 65,493.11 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,49,2567," 60,688.64 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,50,2567," 67,206.99 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,51,2567," 98,509.00 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,52,2567," 101,556.27 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,53,2567," 114,399.34 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,54,2567," 110,494.37 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,55,2567," 106,144.07 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,56,2567," 81,456.99 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,57,2567," 56,978.46 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,58,2567," 46,923.05 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,59,2567," 42,086.88 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,60,2567," 26,296.48 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,61,2568," 28,055.93 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,62,2568," 52,623.50 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,63,2568," 106,003.03 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,64,2568," 134,949.55 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,65,2568," 131,662.30 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,66,2568,"118,403.26",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,67,2568,"86,676.63",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,68,2568,"81,524.32",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,69,2568,"74,877.87",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,70,2568,"84,717.73",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,71,2568,"67,845.49",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,72,2568,"65,986.78",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,73,2569,"77,104.36",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,74,2569,"87,125.93",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,75,2569,"101,705.24",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,76,2569,"72,332.53",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
