_id,ปี,ที่มา,รายชื่อ
19,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เจริญฟู้ดส์ อุตสาหกิจจำกัด
20,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด (มหาชน) 277 สยามอุตสาหกรรมเกษตรอาหาร จำกัด
21,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด อุตสาหกรรมผลไม้ปราณบุรี
22,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ควอลิตี้ ไพน์แอปเปิล โปรดักส์จำกัด
23,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ไวลด์ วอเตอร์ เกท
24,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ไอซ์ แอนด์ อัญ โคโคนัทไฟเบอร์
25,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ผลไม้กระป๋องสยาม(1988)
26,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เนเชอรัล ฟรุตจำกัด
27,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ไทยยอดทิพย์จำกัด
28,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด มาลี เจริญทรัพย์ผลไม้จำกัด
29,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เถกิงอุตสาหกรรมสับปะรดกระป๋อง
30,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สตาร์ แคนเนอร
31,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด โดลไทยแลนด
32,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทรัพย์พืชผล (เดิมชื่อ 47 พืชผลพัฒนาทรัพย์)
33,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สยามอโลเวล่า (2005)
34,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด มาย เอ็นดีเวอร์ (2005)
35,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด โดล เฟรช โพรดิวซ์ (ไทยแลนด์)
36,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด กุยบุรี ฟรุต คัพ
37,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด จอยวิน เนเจอรัล โปรดักส์ (ไทยแลนด์)
38,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด นิธิวัฒน์ฟูด
39,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทิปโก้ ไบโอเท็ค (โรงสารสกัด)
40,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ปลายน้ำผลไม้กวน-อบ โดยนายวีรชัย คงกำเหนิด
41,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,กลุ่มแม่บ้านขวัญลดาร่วมใจ
42,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด พี.ที.อินเตอร์ฟู้ด
43,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สยามฟรุ๊ตการ์เด้น
44,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด ทวีผลสามร้อยยอด
45,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด มอร์นิ่ง ดิว ฟู๊ดส์
46,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทิปโก้ ไบโอเท็ค (แปลงปลูกสับปะรด)
47,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เอ็น พี เค โฮม (วนิชย์มะพร้าวขาว)
48,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ช.รุ่งเรือง
49,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ผลไม้กระป๋องประจวบ
50,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทิปโก้ ไพน์แอปเปิ้ล 209 (ชื่อเดิมทิปโก้ฟูดส์)จำกัด(มหาชน)
51,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ปราณบุรีโฮเตอิ จำกัด
52,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สามร้อยยอด จำกัด
53,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด กุยบุรีผลไม้กระป๋อง (
