﻿year,quarter,_id,source,value,hours_work_week,unit,ava_for_ad_work
2557,ไตรมาส 3,101,สำนักงานสถิติแห่งชาติ,21.73,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2557,ไตรมาส 3,102,สำนักงานสถิติแห่งชาติ,162.47,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2557,ไตรมาส 3,103,สำนักงานสถิติแห่งชาติ,17.62,1-9 ชั่วโมง,พันคน,มี
2557,ไตรมาส 3,104,สำนักงานสถิติแห่งชาติ,196.04,1-9 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 3,105,สำนักงานสถิติแห่งชาติ,53.28,10-19 ชั่วโมง,พันคน,มี
2557,ไตรมาส 3,106,สำนักงานสถิติแห่งชาติ,808.02,10-19 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 3,107,สำนักงานสถิติแห่งชาติ,103.2,20-29 ชั่วโมง,พันคน,มี
2557,ไตรมาส 3,108,สำนักงานสถิติแห่งชาติ,2165.23,20-29 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 3,109,สำนักงานสถิติแห่งชาติ,49.26,30-34 ชั่วโมง,พันคน,มี
2557,ไตรมาส 3,110,สำนักงานสถิติแห่งชาติ,1593.93,30-34 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 4,111,สำนักงานสถิติแห่งชาติ,25.06,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2557,ไตรมาส 4,112,สำนักงานสถิติแห่งชาติ,201.46,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2557,ไตรมาส 4,113,สำนักงานสถิติแห่งชาติ,24.59,1-9 ชั่วโมง,พันคน,มี
2557,ไตรมาส 4,114,สำนักงานสถิติแห่งชาติ,186.05,1-9 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 4,115,สำนักงานสถิติแห่งชาติ,56.84,10-19 ชั่วโมง,พันคน,มี
2557,ไตรมาส 4,116,สำนักงานสถิติแห่งชาติ,889.46,10-19 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 4,117,สำนักงานสถิติแห่งชาติ,90.79,20-29 ชั่วโมง,พันคน,มี
2557,ไตรมาส 4,118,สำนักงานสถิติแห่งชาติ,2262.24,20-29 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 4,119,สำนักงานสถิติแห่งชาติ,46.8,30-34 ชั่วโมง,พันคน,มี
2557,ไตรมาส 4,120,สำนักงานสถิติแห่งชาติ,1787.57,30-34 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 1,121,สำนักงานสถิติแห่งชาติ,76.49,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2558,ไตรมาส 1,122,สำนักงานสถิติแห่งชาติ,647.92,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2558,ไตรมาส 1,123,สำนักงานสถิติแห่งชาติ,18.48,1-9 ชั่วโมง,พันคน,มี
2558,ไตรมาส 1,124,สำนักงานสถิติแห่งชาติ,346.63,1-9 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 1,125,สำนักงานสถิติแห่งชาติ,54.25,10-19 ชั่วโมง,พันคน,มี
2558,ไตรมาส 1,126,สำนักงานสถิติแห่งชาติ,1753.84,10-19 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 1,127,สำนักงานสถิติแห่งชาติ,88.67,20-29 ชั่วโมง,พันคน,มี
2558,ไตรมาส 1,128,สำนักงานสถิติแห่งชาติ,3297.64,20-29 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 1,129,สำนักงานสถิติแห่งชาติ,43.29,30-34 ชั่วโมง,พันคน,มี
2558,ไตรมาส 1,130,สำนักงานสถิติแห่งชาติ,2366.33,30-34 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 2,131,สำนักงานสถิติแห่งชาติ,530.85,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2558,ไตรมาส 2,132,สำนักงานสถิติแห่งชาติ,66.0,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2558,ไตรมาส 2,133,สำนักงานสถิติแห่งชาติ,17.25,1-9 ชั่วโมง,พันคน,มี
2558,ไตรมาส 2,134,สำนักงานสถิติแห่งชาติ,185.21,1-9 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 2,135,สำนักงานสถิติแห่งชาติ,51.79,10-19 ชั่วโมง,พันคน,มี
2558,ไตรมาส 2,136,สำนักงานสถิติแห่งชาติ,849.59,10-19 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 2,137,สำนักงานสถิติแห่งชาติ,103.12,20-29 ชั่วโมง,พันคน,มี
2558,ไตรมาส 2,138,สำนักงานสถิติแห่งชาติ,2669.29,20-29 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 2,139,สำนักงานสถิติแห่งชาติ,39.02,30-34 ชั่วโมง,พันคน,มี
2558,ไตรมาส 2,140,สำนักงานสถิติแห่งชาติ,1943.17,30-34 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 3,141,สำนักงานสถิติแห่งชาติ,27.02,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2558,ไตรมาส 3,142,สำนักงานสถิติแห่งชาติ,179.48,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2558,ไตรมาส 3,143,สำนักงานสถิติแห่งชาติ,17.94,1-9 ชั่วโมง,พันคน,มี
2558,ไตรมาส 3,144,สำนักงานสถิติแห่งชาติ,170.1,1-9 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 3,145,สำนักงานสถิติแห่งชาติ,48.0,10-19 ชั่วโมง,พันคน,มี
2558,ไตรมาส 3,146,สำนักงานสถิติแห่งชาติ,824.83,10-19 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 3,147,สำนักงานสถิติแห่งชาติ,110.21,20-29 ชั่วโมง,พันคน,มี
2558,ไตรมาส 3,148,สำนักงานสถิติแห่งชาติ,2794.33,20-29 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 3,149,สำนักงานสถิติแห่งชาติ,47.73,30-34 ชั่วโมง,พันคน,มี
2558,ไตรมาส 3,150,สำนักงานสถิติแห่งชาติ,2097.11,30-34 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 4,151,สำนักงานสถิติแห่งชาติ,55.61,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2558,ไตรมาส 4,152,สำนักงานสถิติแห่งชาติ,240.04,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2558,ไตรมาส 4,153,สำนักงานสถิติแห่งชาติ,27.36,1-9 ชั่วโมง,พันคน,มี
2558,ไตรมาส 4,154,สำนักงานสถิติแห่งชาติ,209.63,1-9 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 4,155,สำนักงานสถิติแห่งชาติ,58.64,10-19 ชั่วโมง,พันคน,มี
2558,ไตรมาส 4,156,สำนักงานสถิติแห่งชาติ,975.2,10-19 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 4,157,สำนักงานสถิติแห่งชาติ,86.98,20-29 ชั่วโมง,พันคน,มี
2558,ไตรมาส 4,158,สำนักงานสถิติแห่งชาติ,2399.42,20-29 ชั่วโมง,พันคน,ไม่มี
2558,ไตรมาส 4,159,สำนักงานสถิติแห่งชาติ,52.23,30-34 ชั่วโมง,พันคน,มี
2558,ไตรมาส 4,160,สำนักงานสถิติแห่งชาติ,1774.33,30-34 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 1,161,สำนักงานสถิติแห่งชาติ,57.26,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2559,ไตรมาส 1,162,สำนักงานสถิติแห่งชาติ,574.64,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2559,ไตรมาส 1,163,สำนักงานสถิติแห่งชาติ,19.81,1-9 ชั่วโมง,พันคน,มี
2559,ไตรมาส 1,164,สำนักงานสถิติแห่งชาติ,304.62,1-9 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 1,165,สำนักงานสถิติแห่งชาติ,59.32,10-19 ชั่วโมง,พันคน,มี
2559,ไตรมาส 1,166,สำนักงานสถิติแห่งชาติ,1116.22,10-19 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 1,167,สำนักงานสถิติแห่งชาติ,119.33,20-29 ชั่วโมง,พันคน,มี
2559,ไตรมาส 1,168,สำนักงานสถิติแห่งชาติ,3713.9,20-29 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 1,169,สำนักงานสถิติแห่งชาติ,37.19,30-34 ชั่วโมง,พันคน,มี
2559,ไตรมาส 1,170,สำนักงานสถิติแห่งชาติ,2514.34,30-34 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 2,171,สำนักงานสถิติแห่งชาติ,82.56,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2559,ไตรมาส 2,172,สำนักงานสถิติแห่งชาติ,623.55,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2559,ไตรมาส 2,173,สำนักงานสถิติแห่งชาติ,25.07,1-9 ชั่วโมง,พันคน,มี
2559,ไตรมาส 2,174,สำนักงานสถิติแห่งชาติ,184.29,1-9 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 2,175,สำนักงานสถิติแห่งชาติ,77.38,10-19 ชั่วโมง,พันคน,มี
2559,ไตรมาส 2,176,สำนักงานสถิติแห่งชาติ,875.67,10-19 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 2,177,สำนักงานสถิติแห่งชาติ,115.24,20-29 ชั่วโมง,พันคน,มี
2559,ไตรมาส 2,178,สำนักงานสถิติแห่งชาติ,2419.95,20-29 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 2,179,สำนักงานสถิติแห่งชาติ,51.56,30-34 ชั่วโมง,พันคน,มี
2559,ไตรมาส 2,180,สำนักงานสถิติแห่งชาติ,1947.84,30-34 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 3,181,สำนักงานสถิติแห่งชาติ,22.35,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2559,ไตรมาส 3,182,สำนักงานสถิติแห่งชาติ,136.04,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2559,ไตรมาส 3,183,สำนักงานสถิติแห่งชาติ,19.93,1-9 ชั่วโมง,พันคน,มี
2559,ไตรมาส 3,184,สำนักงานสถิติแห่งชาติ,147.96,1-9 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 3,185,สำนักงานสถิติแห่งชาติ,58.45,10-19 ชั่วโมง,พันคน,มี
2559,ไตรมาส 3,186,สำนักงานสถิติแห่งชาติ,730.42,10-19 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 3,187,สำนักงานสถิติแห่งชาติ,85.6,20-29 ชั่วโมง,พันคน,มี
2559,ไตรมาส 3,188,สำนักงานสถิติแห่งชาติ,2391.4,20-29 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 3,189,สำนักงานสถิติแห่งชาติ,30.98,30-34 ชั่วโมง,พันคน,มี
2559,ไตรมาส 3,190,สำนักงานสถิติแห่งชาติ,1843.66,30-34 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 4,191,สำนักงานสถิติแห่งชาติ,44.32,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2559,ไตรมาส 4,192,สำนักงานสถิติแห่งชาติ,248.67,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2559,ไตรมาส 4,193,สำนักงานสถิติแห่งชาติ,21.13,1-9 ชั่วโมง,พันคน,มี
2559,ไตรมาส 4,194,สำนักงานสถิติแห่งชาติ,163.99,1-9 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 4,195,สำนักงานสถิติแห่งชาติ,47.38,10-19 ชั่วโมง,พันคน,มี
2559,ไตรมาส 4,196,สำนักงานสถิติแห่งชาติ,858.03,10-19 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 4,197,สำนักงานสถิติแห่งชาติ,86.2,20-29 ชั่วโมง,พันคน,มี
2559,ไตรมาส 4,198,สำนักงานสถิติแห่งชาติ,2253.08,20-29 ชั่วโมง,พันคน,ไม่มี
2559,ไตรมาส 4,199,สำนักงานสถิติแห่งชาติ,38.42,30-34 ชั่วโมง,พันคน,มี
2559,ไตรมาส 4,200,สำนักงานสถิติแห่งชาติ,1774.42,30-34 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 1,201,สำนักงานสถิติแห่งชาติ,101.55,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2560,ไตรมาส 1,202,สำนักงานสถิติแห่งชาติ,649.03,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2560,ไตรมาส 1,203,สำนักงานสถิติแห่งชาติ,33.15,1-9 ชั่วโมง,พันคน,มี
2560,ไตรมาส 1,204,สำนักงานสถิติแห่งชาติ,235.44,1-9 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 1,205,สำนักงานสถิติแห่งชาติ,61.18,10-19 ชั่วโมง,พันคน,มี
2560,ไตรมาส 1,206,สำนักงานสถิติแห่งชาติ,1122.37,10-19 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 1,207,สำนักงานสถิติแห่งชาติ,96.54,20-29 ชั่วโมง,พันคน,มี
2560,ไตรมาส 1,208,สำนักงานสถิติแห่งชาติ,3393.3,20-29 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 1,209,สำนักงานสถิติแห่งชาติ,43.22,30-34 ชั่วโมง,พันคน,มี
2560,ไตรมาส 1,210,สำนักงานสถิติแห่งชาติ,2648.31,30-34 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 2,211,สำนักงานสถิติแห่งชาติ,66.01,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2560,ไตรมาส 2,212,สำนักงานสถิติแห่งชาติ,524.21,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2560,ไตรมาส 2,213,สำนักงานสถิติแห่งชาติ,19.86,1-9 ชั่วโมง,พันคน,มี
2560,ไตรมาส 2,214,สำนักงานสถิติแห่งชาติ,180.77,1-9 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 2,215,สำนักงานสถิติแห่งชาติ,66.47,10-19 ชั่วโมง,พันคน,มี
2560,ไตรมาส 2,216,สำนักงานสถิติแห่งชาติ,804.27,10-19 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 2,217,สำนักงานสถิติแห่งชาติ,139.84,20-29 ชั่วโมง,พันคน,มี
2560,ไตรมาส 2,218,สำนักงานสถิติแห่งชาติ,2350.65,20-29 ชั่วโมง,พันคน,ไม่มี
2560,ไตรมาส 2,219,สำนักงานสถิติแห่งชาติ,57.96,30-34 ชั่วโมง,พันคน,มี
