﻿year,quarter,_id,area,region,value,unit,source
2557,ไตรมาส 3,93,นอกเขตเทศบาล,ภาคกลาง,55.56,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,94,ในเขตเทศบาล,ภาคเหนือ,18.96,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,95,นอกเขตเทศบาล,ภาคเหนือ,29.95,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,96,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,21.06,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,97,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,47.37,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,98,ในเขตเทศบาล,ภาคใต้,20.51,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,99,นอกเขตเทศบาล,ภาคใต้,46.98,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,100,ในเขตเทศบาล,กรุงเทพมหานคร,33.8,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,101,ในเขตเทศบาล,ภาคกลาง,33.84,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,102,นอกเขตเทศบาล,ภาคกลาง,37.99,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,103,ในเขตเทศบาล,ภาคเหนือ,16.83,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,104,นอกเขตเทศบาล,ภาคเหนือ,21.84,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,105,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,14.33,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,106,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,27.0,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,107,ในเขตเทศบาล,ภาคใต้,19.39,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,108,นอกเขตเทศบาล,ภาคใต้,32.26,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,109,ในเขตเทศบาล,กรุงเทพมหานคร,57.5,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,110,ในเขตเทศบาล,ภาคกลาง,51.07,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,111,นอกเขตเทศบาล,ภาคกลาง,68.92,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,112,ในเขตเทศบาล,ภาคเหนือ,20.47,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,113,นอกเขตเทศบาล,ภาคเหนือ,31.76,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,114,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,17.56,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,115,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,58.06,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,116,ในเขตเทศบาล,ภาคใต้,18.1,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,117,นอกเขตเทศบาล,ภาคใต้,37.83,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,118,ในเขตเทศบาล,กรุงเทพมหานคร,46.4,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,119,ในเขตเทศบาล,ภาคกลาง,50.36,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,120,นอกเขตเทศบาล,ภาคกลาง,44.21,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,121,ในเขตเทศบาล,ภาคเหนือ,22.69,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,122,นอกเขตเทศบาล,ภาคเหนือ,26.96,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,123,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,26.93,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,124,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,66.6,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,125,ในเขตเทศบาล,ภาคใต้,21.12,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 2,126,นอกเขตเทศบาล,ภาคใต้,30.81,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,127,ในเขตเทศบาล,กรุงเทพมหานคร,53.6,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,128,ในเขตเทศบาล,ภาคกลาง,58.23,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,129,นอกเขตเทศบาล,ภาคกลาง,57.11,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,130,ในเขตเทศบาล,ภาคเหนือ,13.87,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,131,นอกเขตเทศบาล,ภาคเหนือ,35.32,พันคน,สำนักงานสถิติแห่งชาติ
