เนื้อที่,_id,ปี,อำเภอ,จังหวัด,หน่วย
" 28,064 ",45,2565,แจ้ห่ม,ลำปาง,ไร่
" 26,213 ",46,2565,วังเหนือ,ลำปาง,ไร่
" 39,187 ",47,2565,เถิน,ลำปาง,ไร่
" 13,685 ",48,2565,แม่พริก,ลำปาง,ไร่
" 46,847 ",49,2565,แม่ทะ,ลำปาง,ไร่
" 30,935 ",50,2565,สบปราบ,ลำปาง,ไร่
" 34,315 ",51,2565,ห้างฉัตร,ลำปาง,ไร่
" 24,169 ",52,2565,เมืองปาน,ลำปาง,ไร่
" 65,896 ",53,2566,เมืองลำปาง,ลำปาง,ไร่
" 14,563 ",54,2566,แม่เมาะ,ลำปาง,ไร่
" 40,051 ",55,2566,เกาะคา,ลำปาง,ไร่
" 29,455 ",56,2566,เสริมงาม,ลำปาง,ไร่
" 34,162 ",57,2566,งาว,ลำปาง,ไร่
" 28,522 ",58,2566,แจ้ห่ม,ลำปาง,ไร่
" 25,276 ",59,2566,วังเหนือ,ลำปาง,ไร่
" 37,465 ",60,2566,เถิน,ลำปาง,ไร่
" 13,724 ",61,2566,แม่พริก,ลำปาง,ไร่
" 45,487 ",62,2566,แม่ทะ,ลำปาง,ไร่
" 29,434 ",63,2566,สบปราบ,ลำปาง,ไร่
" 33,971 ",64,2566,ห้างฉัตร,ลำปาง,ไร่
" 23,443 ",65,2566,เมืองปาน,ลำปาง,ไร่
" 65,064 ",66,2567,เมืองลำปาง,ลำปาง,ไร่
" 15,130 ",67,2567,แม่เมาะ,ลำปาง,ไร่
" 38,986 ",68,2567,เกาะคา,ลำปาง,ไร่
" 29,330 ",69,2567,เสริมงาม,ลำปาง,ไร่
" 33,521 ",70,2567,งาว,ลำปาง,ไร่
" 28,888 ",71,2567,แจ้ห่ม,ลำปาง,ไร่
" 25,974 ",72,2567,วังเหนือ,ลำปาง,ไร่
" 38,080 ",73,2567,เถิน,ลำปาง,ไร่
" 13,594 ",74,2567,แม่พริก,ลำปาง,ไร่
" 45,514 ",75,2567,แม่ทะ,ลำปาง,ไร่
" 30,519 ",76,2567,สบปราบ,ลำปาง,ไร่
" 33,567 ",77,2567,ห้างฉัตร,ลำปาง,ไร่
" 23,341 ",78,2567,เมืองปาน,ลำปาง,ไร่
" 65,164 ",79,2568,เมืองลำปาง,ลำปาง,ไร่
" 15,291 ",80,2568,แม่เมาะ,ลำปาง,ไร่
" 39,101 ",81,2568,เกาะคา,ลำปาง,ไร่
" 29,697 ",82,2568,เสริมงาม,ลำปาง,ไร่
" 33,823 ",83,2568,งาว,ลำปาง,ไร่
" 29,199 ",84,2568,แจ้ห่ม,ลำปาง,ไร่
" 25,896 ",85,2568,วังเหนือ,ลำปาง,ไร่
" 38,286 ",86,2568,เถิน,ลำปาง,ไร่
" 13,616 ",87,2568,แม่พริก,ลำปาง,ไร่
" 45,960 ",88,2568,แม่ทะ,ลำปาง,ไร่
" 31,149 ",89,2568,สบปราบ,ลำปาง,ไร่
" 33,940 ",90,2568,ห้างฉัตร,ลำปาง,ไร่
" 23,777 ",91,2568,เมืองปาน,ลำปาง,ไร่
