รายการสถิติทางการ,_id,ปี,หน่วยนับ,หญิง,ชาย,อาชีพ
แรงงานนอกระบบ,130,2565,คน,0,222,"วิชาชีพ
ด้านต่าง ๆ"
แรงงานนอกระบบ,131,2565,คน,484,"1,002","วิชาชีพ
ด้านเทคนิค"
แรงงานนอกระบบ,132,2565,คน,414,182,เสมียน
แรงงานนอกระบบ,133,2565,คน,"34,341","15,468","พนักงาน
บริการ"
แรงงานนอกระบบ,134,2565,คน,"166,875","194,280","ด้านการเกษตร
และประมง"
แรงงานนอกระบบ,135,2565,คน,"3,743","16,550","ด้านความสามารถ
ทางฝีมือ"
แรงงานนอกระบบ,136,2565,คน,"2,426","4,832","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
แรงงานนอกระบบ,137,2565,คน,"10,096","20,396","อาชีพพื้นฐาน
ต่าง ๆ"
แรงงานนอกระบบ,138,2565,คน,0,0," คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น "
รวม,139,2566,คน,"3,013","9,960","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
รวม,140,2566,คน,"18,450","9,302","วิชาชีพ
ด้านต่างๆ"
รวม,141,2566,คน,"9,820","4,462","วิชาชีพ
ด้านเทคนิค"
รวม,142,2566,คน,"10,646",948,เสมียน
รวม,143,2566,คน,"53,698","25,484","พนักงาน
บริการ"
รวม,144,2566,คน,"153,636","198,881","ด้านการเกษตร
และประมง"
รวม,145,2566,คน,"6,922","28,939","ด้านความสามารถ
ทางฝีมือ"
รวม,146,2566,คน,"6,383","16,119","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
รวม,147,2566,คน,"10,409","15,343","อาชีพพื้นฐาน
ต่างๆ"
รวม,148,2566,คน,0,0,"คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น"
แรงงานในระบบ,149,2566,คน,"1,586","5,477","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
แรงงานในระบบ,150,2566,คน,"17,681","9,126","วิชาชีพ
ด้านต่างๆ"
แรงงานในระบบ,151,2566,คน,"9,603","3,822","วิชาชีพ
ด้านเทคนิค"
แรงงานในระบบ,152,2566,คน,"10,646",948,เสมียน
แรงงานในระบบ,153,2566,คน,"18,227","10,467","พนักงาน
บริการ"
แรงงานในระบบ,154,2566,คน,479,"1,050","ด้านการเกษตร
และประมง"
แรงงานในระบบ,155,2566,คน,"1,774","11,466","ด้านความสามารถ
ทางฝีมือ"
แรงงานในระบบ,156,2566,คน,"3,714","7,822","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
แรงงานในระบบ,157,2566,คน,"4,524","5,632","อาชีพพื้นฐาน
ต่างๆ"
แรงงานในระบบ,158,2566,คน,0,0,"คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น"
แรงงานนอกระบบ,159,2566,คน,"1,427","4,482","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
แรงงานนอกระบบ,160,2566,คน,769,176,"วิชาชีพ
ด้านต่างๆ"
แรงงานนอกระบบ,161,2566,คน,216,640,"วิชาชีพ
ด้านเทคนิค"
แรงงานนอกระบบ,162,2566,คน,0,0,เสมียน
แรงงานนอกระบบ,163,2566,คน,"35,471","15,016","พนักงาน
บริการ"
แรงงานนอกระบบ,164,2566,คน,"153,157","197,830","ด้านการเกษตร
และประมง"
แรงงานนอกระบบ,165,2566,คน,"5,148","17,472","ด้านความสามารถ
ทางฝีมือ"
แรงงานนอกระบบ,166,2566,คน,"2,669","8,297","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
แรงงานนอกระบบ,167,2566,คน,"5,885","9,711","อาชีพพื้นฐาน
ต่างๆ"
แรงงานนอกระบบ,168,2566,คน,0,0,"คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น"
