อายุ,_id,ปี,หญิง,ชาย,รวม,ประเภทแรงงาน
35 - 39,185,2560,34068,5529,39597,แรงงานนอกระบบ
40 - 44,186,2560,27761,19694,47455,แรงงานนอกระบบ
45 - 49,187,2560,11792,28055,39847,แรงงานนอกระบบ
50 - 54,188,2560,20028,28296,48324,แรงงานนอกระบบ
55 - 59,189,2560,10444,27982,38426,แรงงานนอกระบบ
60 and over,190,2560,19058,21304,40362,แรงงานนอกระบบ
15 - 19,191,2559,1800,568,2368,แรงงานนอกระบบ
20 - 24,192,2559,5610,10827,16437,แรงงานนอกระบบ
25 - 29,193,2559,12020,12502,24522,แรงงานนอกระบบ
30 - 34,194,2559,11521,8665,20186,แรงงานนอกระบบ
35 - 39,195,2559,7664,7587,15251,แรงงานนอกระบบ
40 - 44,196,2559,13435,12310,25745,แรงงานนอกระบบ
45 - 49,197,2559,14492,10395,24887,แรงงานนอกระบบ
50 - 54,198,2559,17217,22513,39730,แรงงานนอกระบบ
55 - 59,199,2559,14024,11762,25786,แรงงานนอกระบบ
60 and over,200,2559,21473,27108,48581,แรงงานนอกระบบ
