ประเภทโรงงาน,จำนวน,_id,ปี,ชื่อโรงงาน,ทะเบียนโรงงาน,อำเภอ,รายการ,หน่วย
โรงงานที่มีการใช้หม้อน้ำ ,1,11,2569,บริษัท ต้าปัง จำกัด,20510002325599 [จ3-2(1)-23/59ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,12,2569,บริษัท กนกฟรุต จำกัด,20510002125486 [จ3-2(1)-21/48ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,13,2569,บริษัท ซี.เค.คาร์ตัน จำกัด,10510000225462 [3-39-2/46ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,14,2569,บริษัท ฮองดา จำกัด,20510000725402 [จ3-2(1)-7/40ลพ ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,15,2569,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),10510000125217 [3-15(2)-1/21ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,16,2569,บริษัท ทรอปิคคอลพรีเมียร์ฟูดส์ จำกัด,00510000125334 [ศ3-8(1)-1/33ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,17,2569,บริษัท ไทยอกริฟู้ดส์ จำกัด (มหาชน),00510100125358 [ศ3-8(1)-1/35ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,18,2569,บริษัท ซีพีแรม จำกัด,10510000125597 [3-6(2)-1/59ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,19,2569,บริษัท 168 จำกัด,10510296425628 [3-2(1)-26/62ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานหลอมเหล็กหรือโลหะ,1,20,2569,บริษัท ก.ทวีทรัพย์ อุตสาหกรรม จำกัด,10510013725474 [3-105-137/47ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานหลอมเหล็กหรือโลหะ,1,21,2569,บริษัท สยามมิตซุย คาสติ้ง จำกัด,20510011925504 [จ3-105-119/50ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานหลอมเหล็กหรือโลหะ,1,22,2569,ห้างหุ้นส่วนจำกัด รี-ยูส,10510003925480 [3-105-39/48ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,23,2569,บริษัท เอสซีจี รูฟฟิ่ง จำกัด,10510010325567 [3-58(1)-103/56ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,24,2569,บริษัท เอสซีจี รูฟฟิ่ง จำกัด,10510100125463 [3-58(1)-1/46ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,25,2569,บริษัท เอสซีจีแลนด์สเคป จำกัด,20510000425367 [จ3-58(1)-4/36ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,26,2569,	บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด ,20510011525551 [จ3-58(1)-115/55ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,27,2569,บริษัท พี พี เอส คอนกรีต จำกัด,20510020725580 [จ3-58(1)-207/58ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,28,2569,บริษัท แอลเคโปรดักส์ จำกัด,20510027525595 [จ3-58(1)-275/59ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,29,2569,บริษัท ร่มโพธิ์โปรดักส์ จำกัด,20510000925333 [จ3-58(1)-9/33ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,30,2569,"บริษัท นครหลวงคอนกรีต จำกัด 
หน่วยผลิตคอนกรีตลำพูน 2)",20510100325368 [จ3-58(1)-3/36ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,31,2569,"บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด 
(โรงงานคอนกรีตผสมเสร็จ ลำพูน 2)",20510016625554 [จ3-58(1)-166/55ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,32,2569,บริษัท สยามเทคนิคคอนกรีต จำกัด (มหาชน),20510300125469 [จ3-58(1)-1/46ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,33,2569,บริษัท ลำพูนพัฒนา จำกัด,20510023825577 [จ3-58(1)-238/57ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,34,2569,บริษัท ลำพูนพัฒนา จำกัด,20510000425375 [จ3-58(1)-4/37ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,35,2569,บริษัท ลำพูน คอนกรีต จำกัด,20510000825509 [จ3-58(1)-8/50ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,36,2569,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,20510000925358 {จ3-58(1)-9/35ลพ},เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,37,2569,บริษัท แอล.พี.ซี.อินดัสเทรียล จำกัด ,10510000125282 {จ3-58(1)-1/28ลพ},เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,38,2569,ติรวัฒนา ,10510200125322 [3-58(1)-1/32ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,39,2569,บริษัท พี-มิกซ์ โปรดักส์ จำกัด ,20510364525646 [จ3-58(1)-143/64ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,40,2569,ห้างหุ้นส่วนจำกัด ธนะชัย แอสโซซิเอท ,20510025025580 [จ3-58(1)-250/58ลพ] ,เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,41,2569,บริษัท เชียงใหม่ มีโชค จำกัด,20510000125561 [จ3-50(4)-1/56ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,42,2569,บริษัท เชียงใหม่ทวีผล คอนสตรัคชั่น จำกัด,20510002425563 [จ3-50(4)-24/56ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,43,2569,บริษัท พีซีเอ็น คอร์ป จำกัด (มหาชน),20510000625511 [จ3-50(4)-6/51ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,44,2569,บริษัท ล้านนาซีวิลเอ็นจิเนียริ่ง จำกัด,20510002325573 [จ3-50(4)-23/57ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,45,2569,ห้างหุ้นส่วนจำกัด เชียงใหม่สำราญการโยธา,20510005425602 [จ3-50(4)-54/60ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,46,2569,บริษัท ลิขิตทรานสปอร์ต จำกัด,20510007925625 [จ3-50(4)-57/62ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
อื่นๆ,1,47,2569,บริษัท ไพโอเนีย ไฮ-เบรด (ไทยแลนด์) จำกัด ,10510002325526 [3-2(1)-23/52ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
อื่นๆ,1,48,2569,บริษัท ไพโอเนีย ไฮ-เบรด (ไทยแลนด์) จำกัด ,20510001925597 [จ3-2(1)-19/59ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
อื่นๆ,1,49,2569,บริษัท เฮง บิลเลี่ยน กรุ๊ป จำกัด ,10510002625552 (3-2(1)-26/55ลพ),เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
อื่นๆ,1,50,2569,บริษัท เอราวัณบรรจุภัณฑ์ จำกัด,20510001025539 (จ3-39-10/53ลพ) ,เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
อื่นๆ,1,51,2569,ห้างหุ้นส่วนจำกัด ลำพูน ดี เอส ฟู๊ด, 20510001525496(จ3-2(1)-15/49ลพ),เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,52,2569,บริษัท นานาฟรุ้ต จำกัด,20510000925655 [จ3-8(1)-1/65ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,53,2569,บริษัท ฟูหวัง จำกัด,10510001525613 [3-2(1)-15/61ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,54,2569,บริษัท เอส แอนด์ เจ โปรดักท์ จำกัด,20510000425409 [จ3-2(1)-4/40ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,55,2569,บริษัท ชิตา ออร์แกนิค ฟู้ด จำกัด,10510000425609 [3-13(2)-4/60ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,56,2569,บริษัท 168 จำกัด,20510000225403 [จ3-2(1)-2/40ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,57,2569,บริษัท หลานหยวน จำกัด,20510003525619 [จ3-2(1)-35/61ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,58,2569,บริษัท คิงส์ฟู้ด เอ็นเทอไพรซ จำกัด,10510000125324 [3-2(1)-1/32ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,59,2569,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด ,20510017725551 [จ3-58(1)-177/55ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,60,2569,บริษัท อุดมศักดิ์เชียงใหม่ จำกัด,20510276925645 [จ3-50(4)-28/64ลพ],ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
อื่นๆ,1,61,2569,บริษัท 556 จำกัด ,20510006025567(จ3-2(1)-60/56ลพ),ป่าซาง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,62,2569,บริษัท เจ้าวัฒนพงศ์ จำกัด ,20510000225536 [จ3-2(1)-2/53ลพ]	,บ้านโฮ่ง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,63,2569,บริษัท เคลลี่ เกษตรภัณฑ์ จำกัด,20510000125439 [จ3-2(1)-1/43ลพ],บ้านโฮ่ง,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,64,2569,บริษัท เค.วาย.พี.ธุรกิจเกษตร จำกัด,20510002025488 [จ3-2(1)-20/48ลพ],ลี้,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,65,2569,บริษัท เฉียน ซิง จำกัด,20510000425466 [จ3-2(1)-4/46ลพ],ลี้,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,66,2569,บริษัท เฉียน ซิง จำกัด,20510001725609 [จ3-2(1)-17/60ลพ],ลี้,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,67,2569,บริษัท ไทย โทน อินเตอร์แนลชั่นนอล เทรด จำกัด,20510001625510 [จ3-2(1)-16/51ลพ],ลี้,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,68,2569,ห้างหุ้นส่วนจำกัด ทองคอนส์ซัพพลาย ,20510011925587 [จ3-58(1)-119/58ลพ],ลี้,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานคอนกรีตผสมเสร็จ ,1,69,2569,บริษัท คอนกรีต 881 จำกัด,20510066825641 [จ3-58(1)-12/64ลพ],บ้านธิ,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานแอสฟัสติก ,1,70,2569,บริษัท ภาคเหนือวัสดุก่อสร้าง จำกัด,20510100225618 [จ3-50(4)-2/61ลพ],บ้านธิ,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
อื่นๆ,1,71,2569,บริษัท ฟีเตอร์ อินเตอร์ โปรดักส์ จำกัด,10510000125407	 [3-15(2)-1/40ลพ],แม่ทา,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,72,2568,บริษัท โกลคอนด้า เอเชีย จำกัด,20510100725591 [จ3-2(9)-7/59ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,73,2568,บริษัท เบทาโกร จำกัด (มหาชน),10510001625504 [3-15(1)-16/50ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,74,2568,บริษัท สหโคเจน กรีน จำกัด ,10510001125539 [3-34(4)-11/53ลพ	],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,75,2568,บริษัท แบมบูพลายวู้ดลำพูน จำกัด,10510100125224 [	3-34(3)-1/22ลพ	],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,76,2568,บริษัท เอ็ม เอส พี อินเตอร์ฟู้ดส์ จำกัด,20510001925472 [จ3-4(1)-19/47ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,77,2568,บริษัท เอ็ม เอส พี อินเตอร์ฟู้ดส์ จำกัด,20510002725608 [จ3-4(1)-27/60ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,78,2568,บริษัท เอ็ม เอส พี อินเตอร์ฟู้ดส์ จำกัด (โรงฆ่าไก่),20510001725633 [จ3-4(1)-1/63ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,79,2568,บริษัท บีโปรดักส์ อินดัสตรี้ จำกัด,20510000225478 [จ3-5(3)-2/47ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,80,2568,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด (โรงแปรรูปสุกร),20510093725632 [จ3-4(1)-8/63ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,81,2568,บริษัท กสิสุรีย์ จำกัด,00510000125359 [ศ3-7(1)-1/35ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,82,2568,บริษัท ต้าปัง จำกัด,20510002325599 [จ3-2(1)-23/59ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,83,2568,บริษัท กนกฟรุต จำกัด,20510002125486 [จ3-2(1)-21/48ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,84,2568,บริษัท ซี.เค.คาร์ตัน จำกัด,10510000225462 [3-39-2/46ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,85,2568,บริษัท ฮองดา จำกัด,20510000725402 [จ3-2(1)-7/40ลพ ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,86,2568,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),10510000125217 [3-15(2)-1/21ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
