_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ประกอบกิจการ,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,เงินลงทุนรวม,TSIC,รหัสประเภท
57,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด เพชรรวมสาส์น มุกดาหาร,ผลิตแอสฟัลท์ติกคอนกรีต,2566,หนองแวง,นิคมคำสร้อย,19760000,19201,5004
58,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ดนุสิริกำพลการโยธา จำกัด,ผลิตแอสฟัลท์ติดคอนกรีต,2554,มุกดาหาร,เมืองมุกดาหาร,72100000,19209,5004
59,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัดชัยมงคลมุกดาหาร,ผสมผลิตภัณฑ์จากปิโตรเลี่ยมกับหินเพื่อใช้ในงานก่อสร้างผิวถนน,2549,ศรีบุญเรือง,เมืองมุกดาหาร,30000000,19209,5004
60,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด,ผลิตยางเครปและยางสับ,2566,บางทรายใหญ่,เมืองมุกดาหาร,1440000000,22191,5202
61,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท พุทธรักษา ไทยรับเบอร์ จำกัด,ทำยางเครปและแผ่นรมควันอัดก้อน,2550,หนองแคน,ดงหลวง,101800000,22191,5203
62,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,กลุ่มเกษตรกรทำสวนยางพาราบ้านหนองบอน,ทำยางเครป,2566,นาสะเม็ง,ดอนตาล,1600000,22191,5203
63,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ทรัสต์ รับเบอร์ อินดัสตรี จำกัด,ทำน้ำยางข้น ทำผลิตภัณฑ์ยางพารา เช่น ถุงมือแพทย์ หมอน เป็นต้น,2556,กกแดง,นิคมคำสร้อย,62000000,22191,5203
64,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท อินฟินิท รับเบอร์ จำกัด,ผลิตยางเครพรมควัน,2563,กกแดง,นิคมคำสร้อย,37600000,22191,5203
65,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท รับเบอร์แลนด์ โปรดักส์ จำกัด,"ผลิตยางเครป, ยางแท่ง เอสทีอาร์ 20, ยางผสม",2554,บางทรายใหญ่,เมืองมุกดาหาร,230000000,22191,5203
66,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ธงทอง รับเบอร์ จำกัด,"การทำยางเครป, ยางเครปอบแห้ง, ยางผสม (Compound Rubber) , ยางแท่ง",2556,โพนทราย,เมืองมุกดาหาร,46500000,22191,5203
67,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,ทำยางเครป,2561,คำป่าหลาย,เมืองมุกดาหาร,2500000,22191,5203
68,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท นาคิเทค จำกัด,ผลิตผลิตภัณฑ์จากยางธรรมชาติ และส่งออกผลิตภัณฑ์ยางพารา,2560,คำป่าหลาย,เมืองมุกดาหาร,198600000,22191,5203
69,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท เอ็นเทคโพลิเมอร์ จำกัด,"ผลิตยางแท่ง STR, Mixture Rubber (ยางผสมสารเคมี) Block Rubber",2554,คำป่าหลาย,เมืองมุกดาหาร,1020000000,22191,5203
70,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท มุกดาหาร พลาสติก จำกัด,การทำภาชนะบรรจุภัณฑ์จากพลาสติก,2559,คำป่าหลาย,เมืองมุกดาหาร,7500000,22220,5304
71,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,พาวเวอร์พี แอนด์รีไซเคิล,ทำถุงพลาสติก,2536,คำอาฮวน,เมืองมุกดาหาร,6000000,22220,5304
72,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ดีดี พลาสติก จำกัด,การทำภาชนะบรรจุภัณฑ์จากพลาสติก,2562,ชะโนด,หว้านใหญ่,20000000,22220,5304
73,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ว่านใหญ่เอ็นเตอร์ไพรส์ จำกัด,ทำเม็ดพลาสติก,2564,คำป่าหลาย,เมืองมุกดาหาร,2500000,22230,5305
74,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,เจริญอิฐแดง,ผลิตอิฐดินเผา,2564,มุกดาหาร,เมืองมุกดาหาร,20225000,23921,5600
75,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ดีโฮมคอนกรีต มุกดาหาร สาขา1,ผลิตคอนกรีตผสมเสร็จ,2564,หนองเอี่ยน,คำชะอี,13000000,23953,5801
76,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด สามอาร์ ซีเมนต์,ผลิตคอนกรีตผสมเสร็จ,2561,หนองเอี่ยน,คำชะอี,6000000,23953,5801
77,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บิ๊กศิริมาศ,ผลิตคอนกรีตผสมเสร็จ,2559,ดงหลวง,ดงหลวง,3700000,23953,5801
78,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,สินเจริญ,ผลิตคอนกรีตผสมเสร็จ,2562,ดอนตาล,ดอนตาล,3500000,23953,5801
79,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ดอนตาลคอนกรีต,ผลิตคอนกรีตผสมเสร็จ,2564,ดอนตาล,ดอนตาล,3150000,23953,5801
80,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ทรัพย์ไพบูลย์ วัสดุก่อสร้าง,ผลิตคอนกรีตผสมเสร็จ,2565,หนองแวง,นิคมคำสร้อย,8000000,23953,5801
81,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ป่งแดงการช่าง,ทำผลิตภัณฑ์คอนกรีต,2564,หนองแวง,นิคมคำสร้อย,3100000,23953,5801
82,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด มุกดาหาร บีเอ็มซี คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,2558,คำอาฮวน,เมืองมุกดาหาร,10200000,23953,5801
83,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท สามน้ำวิศวกรรม จำกัด,ผลิตคอนกรีตผสมเสร็จ,2564,มุกดาหาร,เมืองมุกดาหาร,8000000,23953,5801
84,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ดีโฮมคอนกรีตมุกดาหาร จำกัด,ผลิตคอนกรีตผสมเสร็จ,2558,มุกดาหาร,เมืองมุกดาหาร,9200000,23951,5801
85,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด เอส.พี. คอนกรีตมุกดาหาร,ผลิตคอนกรีตผสมเสร็จ,2558,มุกดาหาร,เมืองมุกดาหาร,10000000,23953,5801
86,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด เค เค มุกดาหารก่อสร้าง,ผลิตภัณฑ์คอนกรีตสำเร็จรูป,2554,กุดแข้,เมืองมุกดาหาร,2200000,23953,5801
87,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท คิงส์ คอนกรีต มุกดาหาร จำกัด,ผลิตคอนกรีตผสมเสร็จ,2559,คำอาฮวน,เมืองมุกดาหาร,11200000,23951,5801
88,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,คอนกรีตผสมเสร็จ มุกดาหาร 3,ผลิตคอนกรีตผสมเสร็จ,2554,มุกดาหาร,เมืองมุกดาหาร,3000000,23953,5801
89,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท กู๊ด บิวดิ้ง ดีไซน์ จำกัด,ทำผลิตภัณฑ์คอนกรีตผสม,2565,บางทรายใหญ่,เมืองมุกดาหาร,25000000,23951,5801
90,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ป.วัสดุ มุกดาหาร จำกัด,ทำผลิตภัณฑ์คอนกรีตผสม,2565,มุกดาหาร,เมืองมุกดาหาร,4500000,23951,5801
91,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ซี เอ็ม เค เอ็นจิเนียริ่ง กรุ๊ป,ผลิตผลิตภัณฑ์คอนกรีต เช่น เสา คานสำเร็จรูป แผ่นพื้นสำเร็จรูป ท่อ และท่อคอนกรีตอัดแรง ฯลฯ,2543,ศรีบุญเรือง,เมืองมุกดาหาร,11500000,23953,5801
92,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด มุกดาหารพัฒนาก่อสร้าง,ผลิตคอนกรีตผสมเสร็จ,2563,โพนทราย,เมืองมุกดาหาร,12700000,23951,5801
93,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ริมโขง คอนกรีต จำกัด,"ผลิตคอนกรีตผสมเสร็จ,ซีเมนต์บล๊อก และผลิตภัณฑ์จากคอนกรีตอื่นๆ",2539,บางทรายใหญ่,เมืองมุกดาหาร,11700000,23953,5801
