จำนวน,_id,ปี,ประเภท
 -   ,40,2566,รถยนต์รับจ้างสามล้อ
6,41,2562,รถยนต์บริการธุรกิจ
3,42,2563,รถยนต์บริการธุรกิจ
3,43,2564,รถยนต์บริการธุรกิจ
2,44,2565,รถยนต์บริการธุรกิจ
2,45,2566,รถยนต์บริการธุรกิจ
2,46,2562,รถยนต์บริการทัศนาจร
2,47,2563,รถยนต์บริการทัศนาจร
2,48,2564,รถยนต์บริการทัศนาจร
2,49,2565,รถยนต์บริการทัศนาจร
1,50,2566,รถยนต์บริการทัศนาจร
 -   ,51,2562,รถยนต์บริการให้เช่า
 -   ,52,2563,รถยนต์บริการให้เช่า
 -   ,53,2564,รถยนต์บริการให้เช่า
 -   ,54,2565,รถยนต์บริการให้เช่า
 -   ,55,2566,รถยนต์บริการให้เช่า
"429,078",56,2562,รถจักรยานยนต์
"431,821",57,2563,รถจักรยานยนต์
"437,857",58,2564,รถจักรยานยนต์
"453,887",59,2565,รถจักรยานยนต์
"472,172",60,2566,รถจักรยานยนต์
"3,121",61,2562,รถแทรกเตอร์
"3,378",62,2563,รถแทรกเตอร์
"3,720",63,2564,รถแทรกเตอร์
"4,080",64,2565,รถแทรกเตอร์
"4,436",65,2566,รถแทรกเตอร์
154,66,2562,รถบดถนน
175,67,2563,รถบดถนน
187,68,2564,รถบดถนน
188,69,2565,รถบดถนน
199,70,2566,รถบดถนน
7,71,2562,รถใช้งานเกษตรกรรม
7,72,2563,รถใช้งานเกษตรกรรม
5,73,2564,รถใช้งานเกษตรกรรม
5,74,2565,รถใช้งานเกษตรกรรม
5,75,2566,รถใช้งานเกษตรกรรม
29,76,2562,รถพ่วง
33,77,2563,รถพ่วง
40,78,2564,รถพ่วง
40,79,2565,รถพ่วง
40,80,2566,รถพ่วง
"1,289",81,2562,รถจักรยานยนต์สาธารณะ
"1,189",82,2563,รถจักรยานยนต์สาธารณะ
995,83,2564,รถจักรยานยนต์สาธารณะ
983,84,2565,รถจักรยานยนต์สาธารณะ
859,85,2566,รถจักรยานยนต์สาธารณะ
1129,86,2562,รถโดยสารประจำทาง
1096,87,2563,รถโดยสารประจำทาง
1063,88,2564,รถโดยสารประจำทาง
1016,89,2565,รถโดยสารประจำทาง
962,90,2566,รถโดยสารประจำทาง
1358,91,2562,รถโดยสารไม่ประจำทาง
1399,92,2563,รถโดยสารไม่ประจำทาง
1443,93,2564,รถโดยสารไม่ประจำทาง
1546,94,2565,รถโดยสารไม่ประจำทาง
1585,95,2566,รถโดยสารไม่ประจำทาง
267,96,2562,รถโดยสารส่วนบุคคล
269,97,2563,รถโดยสารส่วนบุคคล
276,98,2564,รถโดยสารส่วนบุคคล
271,99,2565,รถโดยสารส่วนบุคคล
331,100,2566,รถโดยสารส่วนบุคคล
13110,101,2562,รถบรรทุกไม่ประจำทาง
13646,102,2563,รถบรรทุกไม่ประจำทาง
14267,103,2564,รถบรรทุกไม่ประจำทาง
14952,104,2565,รถบรรทุกไม่ประจำทาง
15649,105,2566,รถบรรทุกไม่ประจำทาง
12538,106,2562,รถบรรทุกส่วนบุคคล
10522,107,2563,รถบรรทุกส่วนบุคคล
12520,108,2564,รถบรรทุกส่วนบุคคล
12520,109,2565,รถบรรทุกส่วนบุคคล
12559,110,2566,รถบรรทุกส่วนบุคคล
