ประเภท,_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,ปีก่อตั้ง
ก่อผลกระทบด้านฝุ่น,47,2568,ห้างหุ้นส่วนจำกัด อุดมชัยค้าไม้,เลื่อย ไส ซอย เซาะร่องหรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,วัดหลวง,โพนพิสัย,2542
ไม่ก่อผลกระทบด้านฝุ่น,48,2568,วิศิษฐ,ทำน้ำแข็งก้อนเล็ก,กุดบง,โพนพิสัย,2544
ก่อผลกระทบด้านฝุ่น,49,2568,บริษัท อุดรสหโชค จำกัด,"ดูดทราย (ทะเบียนเรือเลขที่ 354300926,597000355)",วัดหลวง,โพนพิสัย,2548
ก่อผลกระทบด้านฝุ่น,50,2568,ศ.อำนาจ,ทำวงกบ ประตู หน้าต่าง และเครื่องเรือนเครื่องใช้จากไม้ และเผาถ่านจากไม้,ชุมช้าง,โพนพิสัย,2549
ก่อผลกระทบด้านฝุ่น,51,2568,บริษัท จงรัก คอนกรีต จำกัด (สาขา 2),ผลิตคอนกรีตผสมเสร็จ,จุมพล,โพนพิสัย,2552
ก่อผลกระทบด้านฝุ่น,52,2568,ห้างหุ้นส่วนจำกัด เอ.เอส.เอ็นคอนกรีต 2009,ผลิตคอนกรีตผสมเสร็จ,จุมพล,โพนพิสัย,2552
ก่อผลกระทบด้านฝุ่น,53,2568,บริษัท ร่มโพธิ์ศรีสุริยะ จำกัด,ร่อน หรือคัด ทรายหรือกรวด,กุดบง,โพนพิสัย,2553
ก่อผลกระทบด้านฝุ่น,54,2568,บริษัท ศิริสุทโธค้ากรวดทราย จำกัด,ดูดทราย,กุดบง,โพนพิสัย,2553
ก่อผลกระทบด้านฝุ่น,55,2568,โรงโม่กรวดจิรชยา,โม่ บด หรือย่อยหินกรวด,จุมพล,โพนพิสัย,2556
ก่อผลกระทบด้านฝุ่น,56,2568,ห้างหุ้นส่วนจำกัด บุญธรรม 2556,ผลิตคอนกรีตผสมเสร็จ,ชุมช้าง,โพนพิสัย,2556
ก่อผลกระทบด้านฝุ่น,57,2568,บริษัท อุดรสหโชค จำกัด,โม่ บด หรือย่อยหินกรวด,วัดหลวง,โพนพิสัย,2556
ก่อผลกระทบด้านฝุ่น,58,2568,พนาวรรณค้าไม้,ทำวงกบ ประตู-หน้าต่าง บานประตู-หน้าต่าง และเครื่องเรือนเครื่องใช้จากไม้,จุมพล,โพนพิสัย,2557
ไม่ก่อผลกระทบด้านฝุ่น,59,2568,โรงน้ำแข็งเสริมสุข,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิตเพิ่มขึ้น 60 เมตริกตัน/วัน รวมเป็น 75 เมตริกตัน/วัน),จุมพล,โพนพิสัย,2558
ก่อผลกระทบด้านฝุ่น,60,2568,บริษัท ร่มโพธิ์ศรีสุริยะ จำกัด,ผลิตคอนกรีตผสมเสร็จ,วัดหลวง,โพนพิสัย,2558
ก่อผลกระทบด้านฝุ่น,61,2568,ท่าทรายเชิดชัย,ดูดทราย (ทะเบียนเรือเลขที่ 557000234),กุดบง,โพนพิสัย,2560
