จำนวน,ที่มา,_id,ปี,อำเภอ,พืช,หน่วย
157.00,สำนักงานเกษตรจังหวัดอ่างทอง,53,2561,โพธิ์ทอง,มะกรูด,ไร่
102.00,สำนักงานเกษตรจังหวัดอ่างทอง,54,2561,แสวงหา,มะกรูด,ไร่
14.00,สำนักงานเกษตรจังหวัดอ่างทอง,55,2561,วิเศษชัยชาญ,มะกรูด,ไร่
21.00,สำนักงานเกษตรจังหวัดอ่างทอง,56,2561,สามโก้,มะกรูด,ไร่
46.00,สำนักงานเกษตรจังหวัดอ่างทอง,57,2561,เมืองอ่างทอง,ตะไคร้,ไร่
24.00,สำนักงานเกษตรจังหวัดอ่างทอง,58,2561,ไชโย,ตะไคร้,ไร่
58.00,สำนักงานเกษตรจังหวัดอ่างทอง,59,2561,ป่าโมก,ตะไคร้,ไร่
452.00,สำนักงานเกษตรจังหวัดอ่างทอง,60,2561,โพธิ์ทอง,ตะไคร้,ไร่
39.00,สำนักงานเกษตรจังหวัดอ่างทอง,61,2561,แสวงหา,ตะไคร้,ไร่
8.25,สำนักงานเกษตรจังหวัดอ่างทอง,62,2561,วิเศษชัยชาญ,ตะไคร้,ไร่
17.00,สำนักงานเกษตรจังหวัดอ่างทอง,63,2561,สามโก้,ตะไคร้,ไร่
20.00,สำนักงานเกษตรจังหวัดอ่างทอง,64,2561,เมืองอ่างทอง,กะเพรา,ไร่
15.00,สำนักงานเกษตรจังหวัดอ่างทอง,65,2561,ไชโย,กะเพรา,ไร่
105.00,สำนักงานเกษตรจังหวัดอ่างทอง,66,2561,ป่าโมก,กะเพรา,ไร่
1.00,สำนักงานเกษตรจังหวัดอ่างทอง,67,2561,โพธิ์ทอง,กะเพรา,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,68,2561,แสวงหา,กะเพรา,ไร่
29.00,สำนักงานเกษตรจังหวัดอ่างทอง,69,2561,วิเศษชัยชาญ,กะเพรา,ไร่
101.00,สำนักงานเกษตรจังหวัดอ่างทอง,70,2561,สามโก้,กะเพรา,ไร่
132.00,สำนักงานเกษตรจังหวัดอ่างทอง,71,2561,เมืองอ่างทอง,กล้วยหอม,ไร่
37.50,สำนักงานเกษตรจังหวัดอ่างทอง,72,2561,ไชโย,กล้วยหอม,ไร่
314.00,สำนักงานเกษตรจังหวัดอ่างทอง,73,2561,ป่าโมก,กล้วยหอม,ไร่
118.00,สำนักงานเกษตรจังหวัดอ่างทอง,74,2561,โพธิ์ทอง,กล้วยหอม,ไร่
121.00,สำนักงานเกษตรจังหวัดอ่างทอง,75,2561,แสวงหา,กล้วยหอม,ไร่
52.00,สำนักงานเกษตรจังหวัดอ่างทอง,76,2561,วิเศษชัยชาญ,กล้วยหอม,ไร่
6.00,สำนักงานเกษตรจังหวัดอ่างทอง,77,2561,สามโก้,กล้วยหอม,ไร่
"1,818.00",สำนักงานเกษตรจังหวัดอ่างทอง,78,2562,เมืองอ่างทอง,มะม่วง,ไร่
652.00,สำนักงานเกษตรจังหวัดอ่างทอง,79,2562,ไชโย,มะม่วง,ไร่
"1,238.00",สำนักงานเกษตรจังหวัดอ่างทอง,80,2562,ป่าโมก,มะม่วง,ไร่
"4,573.50",สำนักงานเกษตรจังหวัดอ่างทอง,81,2562,โพธิ์ทอง,มะม่วง,ไร่
"1,610.00",สำนักงานเกษตรจังหวัดอ่างทอง,82,2562,แสวงหา,มะม่วง,ไร่
"3,792.00",สำนักงานเกษตรจังหวัดอ่างทอง,83,2562,วิเศษชัยชาญ,มะม่วง,ไร่
"7,146.00",สำนักงานเกษตรจังหวัดอ่างทอง,84,2562,สามโก้,มะม่วง,ไร่
"3,633.00",สำนักงานเกษตรจังหวัดอ่างทอง,85,2562,เมืองอ่างทอง,กล้วยน้ำว้า,ไร่
"1,764.00",สำนักงานเกษตรจังหวัดอ่างทอง,86,2562,ไชโย,กล้วยน้ำว้า,ไร่
"1,611.00",สำนักงานเกษตรจังหวัดอ่างทอง,87,2562,ป่าโมก,กล้วยน้ำว้า,ไร่
"4,517.00",สำนักงานเกษตรจังหวัดอ่างทอง,88,2562,โพธิ์ทอง,กล้วยน้ำว้า,ไร่
"1,093.00",สำนักงานเกษตรจังหวัดอ่างทอง,89,2562,แสวงหา,กล้วยน้ำว้า,ไร่
"2,322.50",สำนักงานเกษตรจังหวัดอ่างทอง,90,2562,วิเศษชัยชาญ,กล้วยน้ำว้า,ไร่
208.00,สำนักงานเกษตรจังหวัดอ่างทอง,91,2562,สามโก้,กล้วยน้ำว้า,ไร่
182.00,สำนักงานเกษตรจังหวัดอ่างทอง,92,2562,เมืองอ่างทอง,มะพร้าว,ไร่
193.00,สำนักงานเกษตรจังหวัดอ่างทอง,93,2562,ไชโย,มะพร้าว,ไร่
298.00,สำนักงานเกษตรจังหวัดอ่างทอง,94,2562,ป่าโมก,มะพร้าว,ไร่
124.00,สำนักงานเกษตรจังหวัดอ่างทอง,95,2562,โพธิ์ทอง,มะพร้าว,ไร่
131.00,สำนักงานเกษตรจังหวัดอ่างทอง,96,2562,แสวงหา,มะพร้าว,ไร่
249.25,สำนักงานเกษตรจังหวัดอ่างทอง,97,2562,วิเศษชัยชาญ,มะพร้าว,ไร่
141.75,สำนักงานเกษตรจังหวัดอ่างทอง,98,2562,สามโก้,มะพร้าว,ไร่
168.00,สำนักงานเกษตรจังหวัดอ่างทอง,99,2562,เมืองอ่างทอง,มะนาว,ไร่
111.00,สำนักงานเกษตรจังหวัดอ่างทอง,100,2562,ไชโย,มะนาว,ไร่
52.00,สำนักงานเกษตรจังหวัดอ่างทอง,101,2562,ป่าโมก,มะนาว,ไร่
422.00,สำนักงานเกษตรจังหวัดอ่างทอง,102,2562,โพธิ์ทอง,มะนาว,ไร่
492.00,สำนักงานเกษตรจังหวัดอ่างทอง,103,2562,แสวงหา,มะนาว,ไร่
324.00,สำนักงานเกษตรจังหวัดอ่างทอง,104,2562,วิเศษชัยชาญ,มะนาว,ไร่
238.00,สำนักงานเกษตรจังหวัดอ่างทอง,105,2562,สามโก้,มะนาว,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,106,2562,เมืองอ่างทอง,อ้อยโรงงาน,ไร่
110.00,สำนักงานเกษตรจังหวัดอ่างทอง,107,2562,ไชโย,อ้อยโรงงาน,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,108,2562,ป่าโมก,อ้อยโรงงาน,ไร่
"1,934.00",สำนักงานเกษตรจังหวัดอ่างทอง,109,2562,โพธิ์ทอง,อ้อยโรงงาน,ไร่
"7,609.00",สำนักงานเกษตรจังหวัดอ่างทอง,110,2562,แสวงหา,อ้อยโรงงาน,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,111,2562,วิเศษชัยชาญ,อ้อยโรงงาน,ไร่
251.50,สำนักงานเกษตรจังหวัดอ่างทอง,112,2562,สามโก้,อ้อยโรงงาน,ไร่
238.00,สำนักงานเกษตรจังหวัดอ่างทอง,113,2562,เมืองอ่างทอง,ข่า,ไร่
2.25,สำนักงานเกษตรจังหวัดอ่างทอง,114,2562,ไชโย,ข่า,ไร่
27.00,สำนักงานเกษตรจังหวัดอ่างทอง,115,2562,ป่าโมก,ข่า,ไร่
"1,297.00",สำนักงานเกษตรจังหวัดอ่างทอง,116,2562,โพธิ์ทอง,ข่า,ไร่
668.00,สำนักงานเกษตรจังหวัดอ่างทอง,117,2562,แสวงหา,ข่า,ไร่
16.00,สำนักงานเกษตรจังหวัดอ่างทอง,118,2562,วิเศษชัยชาญ,ข่า,ไร่
127.50,สำนักงานเกษตรจังหวัดอ่างทอง,119,2562,สามโก้,ข่า,ไร่
66.50,สำนักงานเกษตรจังหวัดอ่างทอง,120,2562,เมืองอ่างทอง,ชะอม,ไร่
24.50,สำนักงานเกษตรจังหวัดอ่างทอง,121,2562,ไชโย,ชะอม,ไร่
26.00,สำนักงานเกษตรจังหวัดอ่างทอง,122,2562,ป่าโมก,ชะอม,ไร่
834.50,สำนักงานเกษตรจังหวัดอ่างทอง,123,2562,โพธิ์ทอง,ชะอม,ไร่
29.00,สำนักงานเกษตรจังหวัดอ่างทอง,124,2562,แสวงหา,ชะอม,ไร่
371.00,สำนักงานเกษตรจังหวัดอ่างทอง,125,2562,วิเศษชัยชาญ,ชะอม,ไร่
6.00,สำนักงานเกษตรจังหวัดอ่างทอง,126,2562,สามโก้,ชะอม,ไร่
156.75,สำนักงานเกษตรจังหวัดอ่างทอง,127,2562,เมืองอ่างทอง,มะกรูด,ไร่
54.00,สำนักงานเกษตรจังหวัดอ่างทอง,128,2562,ไชโย,มะกรูด,ไร่
78.00,สำนักงานเกษตรจังหวัดอ่างทอง,129,2562,ป่าโมก,มะกรูด,ไร่
471.00,สำนักงานเกษตรจังหวัดอ่างทอง,130,2562,โพธิ์ทอง,มะกรูด,ไร่
125.00,สำนักงานเกษตรจังหวัดอ่างทอง,131,2562,แสวงหา,มะกรูด,ไร่
174.50,สำนักงานเกษตรจังหวัดอ่างทอง,132,2562,วิเศษชัยชาญ,มะกรูด,ไร่
42.00,สำนักงานเกษตรจังหวัดอ่างทอง,133,2562,สามโก้,มะกรูด,ไร่
213.00,สำนักงานเกษตรจังหวัดอ่างทอง,134,2562,เมืองอ่างทอง,ตะไคร้,ไร่
40.00,สำนักงานเกษตรจังหวัดอ่างทอง,135,2562,ไชโย,ตะไคร้,ไร่
74.00,สำนักงานเกษตรจังหวัดอ่างทอง,136,2562,ป่าโมก,ตะไคร้,ไร่
"1,072.50",สำนักงานเกษตรจังหวัดอ่างทอง,137,2562,โพธิ์ทอง,ตะไคร้,ไร่
116.00,สำนักงานเกษตรจังหวัดอ่างทอง,138,2562,แสวงหา,ตะไคร้,ไร่
72.00,สำนักงานเกษตรจังหวัดอ่างทอง,139,2562,วิเศษชัยชาญ,ตะไคร้,ไร่
26.50,สำนักงานเกษตรจังหวัดอ่างทอง,140,2562,สามโก้,ตะไคร้,ไร่
77.00,สำนักงานเกษตรจังหวัดอ่างทอง,141,2562,เมืองอ่างทอง,กะเพรา,ไร่
15.00,สำนักงานเกษตรจังหวัดอ่างทอง,142,2562,ไชโย,กะเพรา,ไร่
47.00,สำนักงานเกษตรจังหวัดอ่างทอง,143,2562,ป่าโมก,กะเพรา,ไร่
25.00,สำนักงานเกษตรจังหวัดอ่างทอง,144,2562,โพธิ์ทอง,กะเพรา,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,145,2562,แสวงหา,กะเพรา,ไร่
160.75,สำนักงานเกษตรจังหวัดอ่างทอง,146,2562,วิเศษชัยชาญ,กะเพรา,ไร่
53.75,สำนักงานเกษตรจังหวัดอ่างทอง,147,2562,สามโก้,กะเพรา,ไร่
323.00,สำนักงานเกษตรจังหวัดอ่างทอง,148,2562,เมืองอ่างทอง,กล้วยหอม,ไร่
69.50,สำนักงานเกษตรจังหวัดอ่างทอง,149,2562,ไชโย,กล้วยหอม,ไร่
197.00,สำนักงานเกษตรจังหวัดอ่างทอง,150,2562,ป่าโมก,กล้วยหอม,ไร่
263.00,สำนักงานเกษตรจังหวัดอ่างทอง,151,2562,โพธิ์ทอง,กล้วยหอม,ไร่
207.00,สำนักงานเกษตรจังหวัดอ่างทอง,152,2562,แสวงหา,กล้วยหอม,ไร่
91.25,สำนักงานเกษตรจังหวัดอ่างทอง,153,2562,วิเศษชัยชาญ,กล้วยหอม,ไร่
14.25,สำนักงานเกษตรจังหวัดอ่างทอง,154,2562,สามโก้,กล้วยหอม,ไร่
"1,369.00",สำนักงานเกษตรจังหวัดอ่างทอง,155,2563,เมืองอ่างทอง,มะม่วง,ไร่
619.00,สำนักงานเกษตรจังหวัดอ่างทอง,156,2563,ไชโย,มะม่วง,ไร่
"1,655.00",สำนักงานเกษตรจังหวัดอ่างทอง,157,2563,ป่าโมก,มะม่วง,ไร่
"2,610.50",สำนักงานเกษตรจังหวัดอ่างทอง,158,2563,โพธิ์ทอง,มะม่วง,ไร่
"2,801.00",สำนักงานเกษตรจังหวัดอ่างทอง,159,2563,แสวงหา,มะม่วง,ไร่
"4,646.25",สำนักงานเกษตรจังหวัดอ่างทอง,160,2563,วิเศษชัยชาญ,มะม่วง,ไร่
"4,372.75",สำนักงานเกษตรจังหวัดอ่างทอง,161,2563,สามโก้,มะม่วง,ไร่
"3,318.00",สำนักงานเกษตรจังหวัดอ่างทอง,162,2563,เมืองอ่างทอง,กล้วยน้ำว้า,ไร่
"1,577.50",สำนักงานเกษตรจังหวัดอ่างทอง,163,2563,ไชโย,กล้วยน้ำว้า,ไร่
"2,551.00",สำนักงานเกษตรจังหวัดอ่างทอง,164,2563,ป่าโมก,กล้วยน้ำว้า,ไร่
"3,778.00",สำนักงานเกษตรจังหวัดอ่างทอง,165,2563,โพธิ์ทอง,กล้วยน้ำว้า,ไร่
"2,018.00",สำนักงานเกษตรจังหวัดอ่างทอง,166,2563,แสวงหา,กล้วยน้ำว้า,ไร่
"2,426.25",สำนักงานเกษตรจังหวัดอ่างทอง,167,2563,วิเศษชัยชาญ,กล้วยน้ำว้า,ไร่
237.75,สำนักงานเกษตรจังหวัดอ่างทอง,168,2563,สามโก้,กล้วยน้ำว้า,ไร่
201.00,สำนักงานเกษตรจังหวัดอ่างทอง,169,2563,เมืองอ่างทอง,มะพร้าว,ไร่
202.50,สำนักงานเกษตรจังหวัดอ่างทอง,170,2563,ไชโย,มะพร้าว,ไร่
298.00,สำนักงานเกษตรจังหวัดอ่างทอง,171,2563,ป่าโมก,มะพร้าว,ไร่
107.00,สำนักงานเกษตรจังหวัดอ่างทอง,172,2563,โพธิ์ทอง,มะพร้าว,ไร่
190.00,สำนักงานเกษตรจังหวัดอ่างทอง,173,2563,แสวงหา,มะพร้าว,ไร่
307.25,สำนักงานเกษตรจังหวัดอ่างทอง,174,2563,วิเศษชัยชาญ,มะพร้าว,ไร่
118.25,สำนักงานเกษตรจังหวัดอ่างทอง,175,2563,สามโก้,มะพร้าว,ไร่
130.00,สำนักงานเกษตรจังหวัดอ่างทอง,176,2563,เมืองอ่างทอง,มะนาว,ไร่
92.00,สำนักงานเกษตรจังหวัดอ่างทอง,177,2563,ไชโย,มะนาว,ไร่
52.00,สำนักงานเกษตรจังหวัดอ่างทอง,178,2563,ป่าโมก,มะนาว,ไร่
341.50,สำนักงานเกษตรจังหวัดอ่างทอง,179,2563,โพธิ์ทอง,มะนาว,ไร่
906.00,สำนักงานเกษตรจังหวัดอ่างทอง,180,2563,แสวงหา,มะนาว,ไร่
453.00,สำนักงานเกษตรจังหวัดอ่างทอง,181,2563,วิเศษชัยชาญ,มะนาว,ไร่
133.50,สำนักงานเกษตรจังหวัดอ่างทอง,182,2563,สามโก้,มะนาว,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,183,2563,เมืองอ่างทอง,อ้อยโรงงาน,ไร่
104.00,สำนักงานเกษตรจังหวัดอ่างทอง,184,2563,ไชโย,อ้อยโรงงาน,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,185,2563,ป่าโมก,อ้อยโรงงาน,ไร่
"2,485.00",สำนักงานเกษตรจังหวัดอ่างทอง,186,2563,โพธิ์ทอง,อ้อยโรงงาน,ไร่
"9,296.00",สำนักงานเกษตรจังหวัดอ่างทอง,187,2563,แสวงหา,อ้อยโรงงาน,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,188,2563,วิเศษชัยชาญ,อ้อยโรงงาน,ไร่
234.00,สำนักงานเกษตรจังหวัดอ่างทอง,189,2563,สามโก้,อ้อยโรงงาน,ไร่
215.00,สำนักงานเกษตรจังหวัดอ่างทอง,190,2563,เมืองอ่างทอง,ข่า,ไร่
2.25,สำนักงานเกษตรจังหวัดอ่างทอง,191,2563,ไชโย,ข่า,ไร่
50.00,สำนักงานเกษตรจังหวัดอ่างทอง,192,2563,ป่าโมก,ข่า,ไร่
"1,806.00",สำนักงานเกษตรจังหวัดอ่างทอง,193,2563,โพธิ์ทอง,ข่า,ไร่
381.00,สำนักงานเกษตรจังหวัดอ่างทอง,194,2563,แสวงหา,ข่า,ไร่
15.25,สำนักงานเกษตรจังหวัดอ่างทอง,195,2563,วิเศษชัยชาญ,ข่า,ไร่
93.25,สำนักงานเกษตรจังหวัดอ่างทอง,196,2563,สามโก้,ข่า,ไร่
68.50,สำนักงานเกษตรจังหวัดอ่างทอง,197,2563,เมืองอ่างทอง,ชะอม,ไร่
25.50,สำนักงานเกษตรจังหวัดอ่างทอง,198,2563,ไชโย,ชะอม,ไร่
36.00,สำนักงานเกษตรจังหวัดอ่างทอง,199,2563,ป่าโมก,ชะอม,ไร่
"1,155.50",สำนักงานเกษตรจังหวัดอ่างทอง,200,2563,โพธิ์ทอง,ชะอม,ไร่
90.00,สำนักงานเกษตรจังหวัดอ่างทอง,201,2563,แสวงหา,ชะอม,ไร่
219.50,สำนักงานเกษตรจังหวัดอ่างทอง,202,2563,วิเศษชัยชาญ,ชะอม,ไร่
5.50,สำนักงานเกษตรจังหวัดอ่างทอง,203,2563,สามโก้,ชะอม,ไร่
103.75,สำนักงานเกษตรจังหวัดอ่างทอง,204,2563,เมืองอ่างทอง,มะกรูด,ไร่
56.00,สำนักงานเกษตรจังหวัดอ่างทอง,205,2563,ไชโย,มะกรูด,ไร่
78.00,สำนักงานเกษตรจังหวัดอ่างทอง,206,2563,ป่าโมก,มะกรูด,ไร่
521.00,สำนักงานเกษตรจังหวัดอ่างทอง,207,2563,โพธิ์ทอง,มะกรูด,ไร่
208.00,สำนักงานเกษตรจังหวัดอ่างทอง,208,2563,แสวงหา,มะกรูด,ไร่
225.50,สำนักงานเกษตรจังหวัดอ่างทอง,209,2563,วิเศษชัยชาญ,มะกรูด,ไร่
21.25,สำนักงานเกษตรจังหวัดอ่างทอง,210,2563,สามโก้,มะกรูด,ไร่
136.00,สำนักงานเกษตรจังหวัดอ่างทอง,211,2563,เมืองอ่างทอง,ตะไคร้,ไร่
29.25,สำนักงานเกษตรจังหวัดอ่างทอง,212,2563,ไชโย,ตะไคร้,ไร่
79.00,สำนักงานเกษตรจังหวัดอ่างทอง,213,2563,ป่าโมก,ตะไคร้,ไร่
"1,045.00",สำนักงานเกษตรจังหวัดอ่างทอง,214,2563,โพธิ์ทอง,ตะไคร้,ไร่
158.00,สำนักงานเกษตรจังหวัดอ่างทอง,215,2563,แสวงหา,ตะไคร้,ไร่
112.75,สำนักงานเกษตรจังหวัดอ่างทอง,216,2563,วิเศษชัยชาญ,ตะไคร้,ไร่
30.75,สำนักงานเกษตรจังหวัดอ่างทอง,217,2563,สามโก้,ตะไคร้,ไร่
48.00,สำนักงานเกษตรจังหวัดอ่างทอง,218,2563,เมืองอ่างทอง,กะเพรา,ไร่
10.00,สำนักงานเกษตรจังหวัดอ่างทอง,219,2563,ไชโย,กะเพรา,ไร่
51.00,สำนักงานเกษตรจังหวัดอ่างทอง,220,2563,ป่าโมก,กะเพรา,ไร่
26.00,สำนักงานเกษตรจังหวัดอ่างทอง,221,2563,โพธิ์ทอง,กะเพรา,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,222,2563,แสวงหา,กะเพรา,ไร่
165.75,สำนักงานเกษตรจังหวัดอ่างทอง,223,2563,วิเศษชัยชาญ,กะเพรา,ไร่
16.25,สำนักงานเกษตรจังหวัดอ่างทอง,224,2563,สามโก้,กะเพรา,ไร่
167.00,สำนักงานเกษตรจังหวัดอ่างทอง,225,2563,เมืองอ่างทอง,กล้วยหอม,ไร่
36.00,สำนักงานเกษตรจังหวัดอ่างทอง,226,2563,ไชโย,กล้วยหอม,ไร่
81.00,สำนักงานเกษตรจังหวัดอ่างทอง,227,2563,ป่าโมก,กล้วยหอม,ไร่
144.00,สำนักงานเกษตรจังหวัดอ่างทอง,228,2563,โพธิ์ทอง,กล้วยหอม,ไร่
112.00,สำนักงานเกษตรจังหวัดอ่างทอง,229,2563,แสวงหา,กล้วยหอม,ไร่
90.50,สำนักงานเกษตรจังหวัดอ่างทอง,230,2563,วิเศษชัยชาญ,กล้วยหอม,ไร่
6.25,สำนักงานเกษตรจังหวัดอ่างทอง,231,2563,สามโก้,กล้วยหอม,ไร่
"1,966.00",สำนักงานเกษตรจังหวัดอ่างทอง,232,2564,เมืองอ่างทอง,มะม่วง,ไร่
638.00,สำนักงานเกษตรจังหวัดอ่างทอง,233,2564,ไชโย,มะม่วง,ไร่
"1,332.00",สำนักงานเกษตรจังหวัดอ่างทอง,234,2564,ป่าโมก,มะม่วง,ไร่
"3,463.00",สำนักงานเกษตรจังหวัดอ่างทอง,235,2564,โพธิ์ทอง,มะม่วง,ไร่
"2,936.00",สำนักงานเกษตรจังหวัดอ่างทอง,236,2564,แสวงหา,มะม่วง,ไร่
"4,664.75",สำนักงานเกษตรจังหวัดอ่างทอง,237,2564,วิเศษชัยชาญ,มะม่วง,ไร่
"4,552.25",สำนักงานเกษตรจังหวัดอ่างทอง,238,2564,สามโก้,มะม่วง,ไร่
"4,986.00",สำนักงานเกษตรจังหวัดอ่างทอง,239,2564,เมืองอ่างทอง,กล้วยน้ำว้า,ไร่
"1,543.50",สำนักงานเกษตรจังหวัดอ่างทอง,240,2564,ไชโย,กล้วยน้ำว้า,ไร่
"2,299.00",สำนักงานเกษตรจังหวัดอ่างทอง,241,2564,ป่าโมก,กล้วยน้ำว้า,ไร่
"4,198.00",สำนักงานเกษตรจังหวัดอ่างทอง,242,2564,โพธิ์ทอง,กล้วยน้ำว้า,ไร่
"1,499.00",สำนักงานเกษตรจังหวัดอ่างทอง,243,2564,แสวงหา,กล้วยน้ำว้า,ไร่
"2,072.25",สำนักงานเกษตรจังหวัดอ่างทอง,244,2564,วิเศษชัยชาญ,กล้วยน้ำว้า,ไร่
237.75,สำนักงานเกษตรจังหวัดอ่างทอง,245,2564,สามโก้,กล้วยน้ำว้า,ไร่
