ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
360,สำนักงานขนส่งจังหวัดมหาสารคาม,39,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,40,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
19,สำนักงานขนส่งจังหวัดมหาสารคาม,41,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
8,สำนักงานขนส่งจังหวัดมหาสารคาม,42,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
8,สำนักงานขนส่งจังหวัดมหาสารคาม,43,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
3,สำนักงานขนส่งจังหวัดมหาสารคาม,44,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
932,สำนักงานขนส่งจังหวัดมหาสารคาม,45,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
618,สำนักงานขนส่งจังหวัดมหาสารคาม,46,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
314,สำนักงานขนส่งจังหวัดมหาสารคาม,47,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,48,2566,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
20,สำนักงานขนส่งจังหวัดมหาสารคาม,49,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
14,สำนักงานขนส่งจังหวัดมหาสารคาม,50,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
1,สำนักงานขนส่งจังหวัดมหาสารคาม,51,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
5,สำนักงานขนส่งจังหวัดมหาสารคาม,52,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
836,สำนักงานขนส่งจังหวัดมหาสารคาม,53,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
536,สำนักงานขนส่งจังหวัดมหาสารคาม,54,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
300,สำนักงานขนส่งจังหวัดมหาสารคาม,55,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,56,2567,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
