พื้นที่เก็บเกี่ยว,_id,หน่วย(บาท),พืชเศรษฐกิจ,ปี,มูลค่า,อำเภอ,หน่วย(ไร่),หน่วย(ตัน),ครัวเรือนเกษตรกร,หน่วย(ครัวเรือน),หน่วย(บาท_ตัน),ราคาหน้าฟาร์ม,ปริมาณผลผลิต
857,16,ล้านบาท,กล้วยไม้ตัดดอก,2568,13.66,กำแพงแสน,ไร่,ตัน,54,ครัวเรือน,บาท_ตัน,56940,2399.6
0,17,ล้านบาท,ขมิ้นชัน,2568,0,กำแพงแสน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,18,ล้านบาท,บัวบก,2568,0,กำแพงแสน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
26668,19,ล้านบาท,ข้าว,2568,134.8,นครชัยศรี,ไร่,ตัน,1667,ครัวเรือน,บาท_ตัน,5810,23201
45,20,ล้านบาท,อ้อยโรงงาน,2568,1793.03,นครชัยศรี,ไร่,ตัน,1,ครัวเรือน,บาท_ตัน,1200,1299296
955.25,21,ล้านบาท,ส้มโอ,2568,125.78,นครชัยศรี,ไร่,ตัน,232,ครัวเรือน,บาท_ตัน,57750,2178
1589,22,ล้านบาท,ฝรั่ง,2568,260.16,นครชัยศรี,ไร่,ตัน,379,ครัวเรือน,บาท_ตัน,19750,13172.81
2488.5,23,ล้านบาท,มะพร้าวอ่อน,2568,100.41,นครชัยศรี,ไร่,ตัน,652,ครัวเรือน,บาท_ตัน,9890,10153.08
2513.5,24,ล้านบาท,คะน้า,2568,87.09,นครชัยศรี,ไร่,ตัน,107,ครัวเรือน,บาท_ตัน,21520,4046.74
1885,25,ล้านบาท,กล้วยไม้ตัดดอก,2568,12.51,นครชัยศรี,ไร่,ตัน,115,ครัวเรือน,บาท_ตัน,41490,3016
0,26,ล้านบาท,ขมิ้นชัน,2568,0,นครชัยศรี,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,27,ล้านบาท,บัวบก,2568,0,นครชัยศรี,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
13783,28,ล้านบาท,ข้าว,2568,57.68,ดอนตูม,ไร่,ตัน,988,ครัวเรือน,บาท_ตัน,5580,10337
20,29,ล้านบาท,อ้อยโรงงาน,2568,0.25,ดอนตูม,ไร่,ตัน,3,ครัวเรือน,บาท_ตัน,1230,200
174.5,30,ล้านบาท,ส้มโอ,2568,97.01,ดอนตูม,ไร่,ตัน,9,ครัวเรือน,บาท_ตัน,65460,1482
95.25,31,ล้านบาท,ฝรั่ง,2568,9.81,ดอนตูม,ไร่,ตัน,34,ครัวเรือน,บาท_ตัน,23530,416.71
1878.75,32,ล้านบาท,มะพร้าวอ่อน,2568,69.13,ดอนตูม,ไร่,ตัน,95,ครัวเรือน,บาท_ตัน,12820,5392.01
1173,33,ล้านบาท,คะน้า,2568,49.55,ดอนตูม,ไร่,ตัน,128,ครัวเรือน,บาท_ตัน,15360,3225.75
411,34,ล้านบาท,กล้วยไม้ตัดดอก,2568,7.79,ดอนตูม,ไร่,ตัน,15,ครัวเรือน,บาท_ตัน,55760,1397.4
30,35,ล้านบาท,ขมิ้นชัน,2568,1.05,ดอนตูม,ไร่,ตัน,20,ครัวเรือน,บาท_ตัน,32380,32.5
0,36,ล้านบาท,บัวบก,2568,0,ดอนตูม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
136500,37,ล้านบาท,ข้าว,2568,681.08,บางเลน,ไร่,ตัน,7328,ครัวเรือน,บาท_ตัน,6160,110565
40,38,ล้านบาท,อ้อยโรงงาน,2568,0.62,บางเลน,ไร่,ตัน,2,ครัวเรือน,บาท_ตัน,1200,520
204,39,ล้านบาท,ส้มโอ,2568,33.66,บางเลน,ไร่,ตัน,37,ครัวเรือน,บาท_ตัน,51230,657
347.5,40,ล้านบาท,ฝรั่ง,2568,30.49,บางเลน,ไร่,ตัน,50,ครัวเรือน,บาท_ตัน,24100,1265.04
896,41,ล้านบาท,มะพร้าวอ่อน,2568,98.62,บางเลน,ไร่,ตัน,170,ครัวเรือน,บาท_ตัน,12710,7759.36
1420,42,ล้านบาท,คะน้า,2568,44.95,บางเลน,ไร่,ตัน,103,ครัวเรือน,บาท_ตัน,14930,3010.4
3947,43,ล้านบาท,กล้วยไม้ตัดดอก,2568,112.01,บางเลน,ไร่,ตัน,144,ครัวเรือน,บาท_ตัน,48100,23287.3
0,44,ล้านบาท,ขมิ้นชัน,2568,0,บางเลน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
538,45,ล้านบาท,บัวบก,2568,59.29,บางเลน,ไร่,ตัน,246,ครัวเรือน,บาท_ตัน,18260,3247
5271,46,ล้านบาท,ข้าว,2568,25.65,สามพราน,ไร่,ตัน,299,ครัวเรือน,บาท_ตัน,6160,4164
0,47,ล้านบาท,อ้อยโรงงาน,2568,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
2232.5,48,ล้านบาท,ส้มโอ,2568,265.04,สามพราน,ไร่,ตัน,1189,ครัวเรือน,บาท_ตัน,58200,4554
4554.86,49,ล้านบาท,ฝรั่ง,2568,253.61,สามพราน,ไร่,ตัน,1239,ครัวเรือน,บาท_ตัน,26140,9701.85
6575.79,50,ล้านบาท,มะพร้าวอ่อน,2568,210.96,สามพราน,ไร่,ตัน,1696,ครัวเรือน,บาท_ตัน,10450,20187.68
0,51,ล้านบาท,คะน้า,2568,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,42520,0
1937.67,52,ล้านบาท,กล้วยไม้ตัดดอก,2568,24.72,สามพราน,ไร่,ตัน,250,ครัวเรือน,บาท_ตัน,,5813.01
0,53,ล้านบาท,ขมิ้นชัน,2568,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,54,ล้านบาท,บัวบก,2568,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
11016,55,ล้านบาท,ข้าว,2568,53.27,พุทธมณฑล,ไร่,ตัน,660,ครัวเรือน,บาท_ตัน,5970,8923
0,56,ล้านบาท,อ้อยโรงงาน,2568,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
144.46,57,ล้านบาท,ส้มโอ,2568,52.37,พุทธมณฑล,ไร่,ตัน,16,ครัวเรือน,บาท_ตัน,92690,565
5,58,ล้านบาท,ฝรั่ง,2568,1.52,พุทธมณฑล,ไร่,ตัน,2,ครัวเรือน,บาท_ตัน,27730,54.95
162,59,ล้านบาท,มะพร้าวอ่อน,2568,6.87,พุทธมณฑล,ไร่,ตัน,60,ครัวเรือน,บาท_ตัน,4510,1522.8
0,60,ล้านบาท,คะน้า,2568,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,41940,0
609,61,ล้านบาท,กล้วยไม้ตัดดอก,2568,10.98,พุทธมณฑล,ไร่,ตัน,27,ครัวเรือน,บาท_ตัน,,2618.7
0,62,ล้านบาท,ขมิ้นชัน,2568,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,63,ล้านบาท,บัวบก,2568,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
9986,64,ล้านบาท,ข้าว,2567,69.69,เมืองนครปฐม,ไร่,ตัน,705,ครัวเรือน,บาท_ตัน,9069,7684
19679,65,ล้านบาท,อ้อยโรงงาน,2567,147.67,เมืองนครปฐม,ไร่,ตัน,712,ครัวเรือน,บาท_ตัน,1200,123058
57,66,ล้านบาท,ส้มโอ,2567,10.53,เมืองนครปฐม,ไร่,ตัน,20,ครัวเรือน,บาท_ตัน,69276,152
668,67,ล้านบาท,ฝรั่ง,2567,69.89,เมืองนครปฐม,ไร่,ตัน,145,ครัวเรือน,บาท_ตัน,19940,3505
1901,68,ล้านบาท,มะพร้าวอ่อน,2567,92.94,เมืองนครปฐม,ไร่,ตัน,278,ครัวเรือน,บาท_ตัน,13390,6941
1801,69,ล้านบาท,คะน้า,2567,57.68,เมืองนครปฐม,ไร่,ตัน,173,ครัวเรือน,บาท_ตัน,18850,3060
623,70,ล้านบาท,กล้วยไม้ตัดดอก,2567,57.9,เมืองนครปฐม,ไร่,ตัน,39,ครัวเรือน,บาท_ตัน,46618,1242
66,71,ล้านบาท,ขมิ้นชัน,2567,1.56,เมืองนครปฐม,ไร่,ตัน,23,ครัวเรือน,บาท_ตัน,20000,78
0,72,ล้านบาท,บัวบก,2567,0,เมืองนครปฐม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
23029,73,ล้านบาท,ข้าว,2567,163.25,กำแพงแสน,ไร่,ตัน,1093,ครัวเรือน,บาท_ตัน,9060,18019
66769,74,ล้านบาท,อ้อยโรงงาน,2567,1207.91,กำแพงแสน,ไร่,ตัน,2161,ครัวเรือน,บาท_ตัน,1380,875295
41,75,ล้านบาท,ส้มโอ,2567,4.77,กำแพงแสน,ไร่,ตัน,21,ครัวเรือน,บาท_ตัน,68143,70
148,76,ล้านบาท,ฝรั่ง,2567,9.54,กำแพงแสน,ไร่,ตัน,42,ครัวเรือน,บาท_ตัน,29720,321
417,77,ล้านบาท,มะพร้าวอ่อน,2567,13.8,กำแพงแสน,ไร่,ตัน,101,ครัวเรือน,บาท_ตัน,14212,971
552,78,ล้านบาท,คะน้า,2567,10.61,กำแพงแสน,ไร่,ตัน,43,ครัวเรือน,บาท_ตัน,13329,796
677,79,ล้านบาท,กล้วยไม้ตัดดอก,2567,200.2,กำแพงแสน,ไร่,ตัน,54,ครัวเรือน,บาท_ตัน,74368,2692
0,80,ล้านบาท,ขมิ้นชัน,2567,0,กำแพงแสน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,81,ล้านบาท,บัวบก,2567,0,กำแพงแสน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
27913,82,ล้านบาท,ข้าว,2567,216.99,นครชัยศรี,ไร่,ตัน,1634,ครัวเรือน,บาท_ตัน,9890,21940
36,83,ล้านบาท,อ้อยโรงงาน,2567,0.86,นครชัยศรี,ไร่,ตัน,1,ครัวเรือน,บาท_ตัน,1194,720
1159,84,ล้านบาท,ส้มโอ,2567,81.64,นครชัยศรี,ไร่,ตัน,228,ครัวเรือน,บาท_ตัน,69422,1176
1842,85,ล้านบาท,ฝรั่ง,2567,340.39,นครชัยศรี,ไร่,ตัน,380,ครัวเรือน,บาท_ตัน,22050,15437
2982,86,ล้านบาท,มะพร้าวอ่อน,2567,161.67,นครชัยศรี,ไร่,ตัน,652,ครัวเรือน,บาท_ตัน,13850,11673
3355,87,ล้านบาท,คะน้า,2567,153.3,นครชัยศรี,ไร่,ตัน,108,ครัวเรือน,บาท_ตัน,26670,5748
1841,88,ล้านบาท,กล้วยไม้ตัดดอก,2567,201.8,นครชัยศรี,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,51309,3933
0,89,ล้านบาท,ขมิ้นชัน,2567,0,นครชัยศรี,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,90,ล้านบาท,บัวบก,2567,0,นครชัยศรี,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
13715,91,ล้านบาท,ข้าว,2567,105.21,ดอนตูม,ไร่,ตัน,1096,ครัวเรือน,บาท_ตัน,9570,10994
20,92,ล้านบาท,อ้อยโรงงาน,2567,0.02,ดอนตูม,ไร่,ตัน,3,ครัวเรือน,บาท_ตัน,1000,20
175,93,ล้านบาท,ส้มโอ,2567,0,ดอนตูม,ไร่,ตัน,9,ครัวเรือน,บาท_ตัน,0,0
71,94,ล้านบาท,ฝรั่ง,2567,7.56,ดอนตูม,ไร่,ตัน,27,ครัวเรือน,บาท_ตัน,24625,307
3517,95,ล้านบาท,มะพร้าวอ่อน,2567,20.35,ดอนตูม,ไร่,ตัน,92,ครัวเรือน,บาท_ตัน,14789,1376
1152,96,ล้านบาท,คะน้า,2567,32.28,ดอนตูม,ไร่,ตัน,147,ครัวเรือน,บาท_ตัน,13661,2363
430,97,ล้านบาท,กล้วยไม้ตัดดอก,2567,59.6,ดอนตูม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,57529,1036
15,98,ล้านบาท,ขมิ้นชัน,2567,0,ดอนตูม,ไร่,ตัน,20,ครัวเรือน,บาท_ตัน,0,0
0,99,ล้านบาท,บัวบก,2567,0,ดอนตูม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
138224,100,ล้านบาท,ข้าว,2567,1185.73,บางเลน,ไร่,ตัน,6968,ครัวเรือน,บาท_ตัน,10510,112819
45,101,ล้านบาท,อ้อยโรงงาน,2567,0.62,บางเลน,ไร่,ตัน,2,ครัวเรือน,บาท_ตัน,1192,520
284,102,ล้านบาท,ส้มโอ,2567,5.04,บางเลน,ไร่,ตัน,37,ครัวเรือน,บาท_ตัน,54783,92
249,103,ล้านบาท,ฝรั่ง,2567,36.98,บางเลน,ไร่,ตัน,50,ครัวเรือน,บาท_ตัน,22841,1619
1873,104,ล้านบาท,มะพร้าวอ่อน,2567,49.08,บางเลน,ไร่,ตัน,170,ครัวเรือน,บาท_ตัน,15120,3246
2091,105,ล้านบาท,คะน้า,2567,60.59,บางเลน,ไร่,ตัน,104,ครัวเรือน,บาท_ตัน,15351,3947
3901,106,ล้านบาท,กล้วยไม้ตัดดอก,2567,1082.01,บางเลน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,39790,27193
0,107,ล้านบาท,ขมิ้นชัน,2567,0,บางเลน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
419,108,ล้านบาท,บัวบก,2567,54.31,บางเลน,ไร่,ตัน,246,ครัวเรือน,บาท_ตัน,22068,2461
5320,109,ล้านบาท,ข้าว,2567,39.57,สามพราน,ไร่,ตัน,343,ครัวเรือน,บาท_ตัน,9841,4021
0,110,ล้านบาท,อ้อยโรงงาน,2567,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
5281,111,ล้านบาท,ส้มโอ,2567,292.66,สามพราน,ไร่,ตัน,1201,ครัวเรือน,บาท_ตัน,74849,3910
5066,112,ล้านบาท,ฝรั่ง,2567,280.26,สามพราน,ไร่,ตัน,1253,ครัวเรือน,บาท_ตัน,30500,9189
8411,113,ล้านบาท,มะพร้าวอ่อน,2567,182.53,สามพราน,ไร่,ตัน,1669,ครัวเรือน,บาท_ตัน,16130,11316
2,114,ล้านบาท,คะน้า,2567,0.1,สามพราน,ไร่,ตัน,1,ครัวเรือน,บาท_ตัน,20000,5
2030,115,ล้านบาท,กล้วยไม้ตัดดอก,2567,227.28,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,50630,4489
0,116,ล้านบาท,ขมิ้นชัน,2567,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,117,ล้านบาท,บัวบก,2567,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
11317,118,ล้านบาท,ข้าว,2567,72.43,พุทธมณฑล,ไร่,ตัน,573,ครัวเรือน,บาท_ตัน,8000,9054
0,119,ล้านบาท,อ้อยโรงงาน,2567,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
165,120,ล้านบาท,ส้มโอ,2567,27.42,พุทธมณฑล,ไร่,ตัน,16,ครัวเรือน,บาท_ตัน,72540,378
30,121,ล้านบาท,ฝรั่ง,2567,5,พุทธมณฑล,ไร่,ตัน,6,ครัวเรือน,บาท_ตัน,25000,200
198,122,ล้านบาท,มะพร้าวอ่อน,2567,17.16,พุทธมณฑล,ไร่,ตัน,72,ครัวเรือน,บาท_ตัน,16774,1023
0,123,ล้านบาท,คะน้า,2567,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
439,124,ล้านบาท,กล้วยไม้ตัดดอก,2567,60.33,พุทธมณฑล,ไร่,ตัน,31,ครัวเรือน,บาท_ตัน,49169,1227
0,125,ล้านบาท,ขมิ้นชัน,2567,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,126,ล้านบาท,บัวบก,2567,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
9967,127,ล้านบาท,ข้าว,2566,53.75,เมืองนครปฐม,ไร่,ตัน,670,ครัวเรือน,บาท_ตัน,7210,7455
13060,128,ล้านบาท,อ้อยโรงงาน,2566,208.51,เมืองนครปฐม,ไร่,ตัน,341,ครัวเรือน,บาท_ตัน,1160,179751
44.25,129,ล้านบาท,ส้มโอ,2566,2.68,เมืองนครปฐม,ไร่,ตัน,19,ครัวเรือน,บาท_ตัน,59510,45
751.25,130,ล้านบาท,ฝรั่ง,2566,65.29,เมืองนครปฐม,ไร่,ตัน,201,ครัวเรือน,บาท_ตัน,20700,3154
1593,131,ล้านบาท,มะพร้าวอ่อน,2566,87.16,เมืองนครปฐม,ไร่,ตัน,259,ครัวเรือน,บาท_ตัน,10000,8716
1732,132,ล้านบาท,คะน้า,2566,59.61,เมืองนครปฐม,ไร่,ตัน,170,ครัวเรือน,บาท_ตัน,17830,3343
653,133,ล้านบาท,กล้วยไม้ตัดดอก,2566,63.24,เมืองนครปฐม,ไร่,ตัน,52,ครัวเรือน,บาท_ตัน,48870,1294
108,134,ล้านบาท,ขมิ้นชัน,2566,2.25,เมืองนครปฐม,ไร่,ตัน,28,ครัวเรือน,บาท_ตัน,39470,57
0,135,ล้านบาท,บัวบก,2566,0,เมืองนครปฐม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
24200,136,ล้านบาท,ข้าว,2566,122.14,กำแพงแสน,ไร่,ตัน,1986,ครัวเรือน,บาท_ตัน,7010,17424
54865,137,ล้านบาท,อ้อยโรงงาน,2566,0.56,กำแพงแสน,ไร่,ตัน,1558,ครัวเรือน,บาท_ตัน,1410,788410
25.5,138,ล้านบาท,ส้มโอ,2566,2.25,กำแพงแสน,ไร่,ตัน,14,ครัวเรือน,บาท_ตัน,72360,31
95,139,ล้านบาท,ฝรั่ง,2566,7.59,กำแพงแสน,ไร่,ตัน,47,ครัวเรือน,บาท_ตัน,23580,322
259.5,140,ล้านบาท,มะพร้าวอ่อน,2566,7.58,กำแพงแสน,ไร่,ตัน,100,ครัวเรือน,บาท_ตัน,11900,637.3
379,141,ล้านบาท,คะน้า,2566,8.55,กำแพงแสน,ไร่,ตัน,45,ครัวเรือน,บาท_ตัน,13480,635
894,142,ล้านบาท,กล้วยไม้ตัดดอก,2566,100.46,กำแพงแสน,ไร่,ตัน,65,ครัวเรือน,บาท_ตัน,67870,1480
0,143,ล้านบาท,ขมิ้นชัน,2566,0,กำแพงแสน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,144,ล้านบาท,บัวบก,2566,0,กำแพงแสน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
32680,145,ล้านบาท,ข้าว,2566,179.44,นครชัยศรี,ไร่,ตัน,1681,ครัวเรือน,บาท_ตัน,7140,25131
36,146,ล้านบาท,อ้อยโรงงาน,2566,1111.66,นครชัยศรี,ไร่,ตัน,1,ครัวเรือน,บาท_ตัน,1200,450
933,147,ล้านบาท,ส้มโอ,2566,81.22,นครชัยศรี,ไร่,ตัน,160,ครัวเรือน,บาท_ตัน,64730,1255
1465,148,ล้านบาท,ฝรั่ง,2566,114.99,นครชัยศรี,ไร่,ตัน,379,ครัวเรือน,บาท_ตัน,18470,6226
2410,149,ล้านบาท,มะพร้าวอ่อน,2566,119.13,นครชัยศรี,ไร่,ตัน,641,ครัวเรือน,บาท_ตัน,8250,14440
2630,150,ล้านบาท,คะน้า,2566,117.41,นครชัยศรี,ไร่,ตัน,105,ครัวเรือน,บาท_ตัน,23260,5048
2025,151,ล้านบาท,กล้วยไม้ตัดดอก,2566,202.47,นครชัยศรี,ไร่,ตัน,115,ครัวเรือน,บาท_ตัน,51460,3935
0,152,ล้านบาท,ขมิ้นชัน,2566,0,นครชัยศรี,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,153,ล้านบาท,บัวบก,2566,0,นครชัยศรี,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
16084,154,ล้านบาท,ข้าว,2566,90.69,ดอนตูม,ไร่,ตัน,1025,ครัวเรือน,บาท_ตัน,7820,11597
20,155,ล้านบาท,อ้อยโรงงาน,2566,0.54,ดอนตูม,ไร่,ตัน,2,ครัวเรือน,บาท_ตัน,1500,242
78,156,ล้านบาท,ส้มโอ,2566,10.18,ดอนตูม,ไร่,ตัน,12,ครัวเรือน,บาท_ตัน,69860,146
57,157,ล้านบาท,ฝรั่ง,2566,3.53,ดอนตูม,ไร่,ตัน,23,ครัวเรือน,บาท_ตัน,20500,172
273,158,ล้านบาท,มะพร้าวอ่อน,2566,13.97,ดอนตูม,ไร่,ตัน,77,ครัวเรือน,บาท_ตัน,9470,1476
1206,159,ล้านบาท,คะน้า,2566,34,ดอนตูม,ไร่,ตัน,210,ครัวเรือน,บาท_ตัน,14400,2361
513,160,ล้านบาท,กล้วยไม้ตัดดอก,2566,35.01,ดอนตูม,ไร่,ตัน,17,ครัวเรือน,บาท_ตัน,42570,822.3
0,161,ล้านบาท,ขมิ้นชัน,2566,0,ดอนตูม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,162,ล้านบาท,บัวบก,2566,0,ดอนตูม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
155686,163,ล้านบาท,ข้าว,2566,984.75,บางเลน,ไร่,ตัน,7216,ครัวเรือน,บาท_ตัน,8290,118788
45,164,ล้านบาท,อ้อยโรงงาน,2566,0.56,บางเลน,ไร่,ตัน,2,ครัวเรือน,บาท_ตัน,1000,563
167,165,ล้านบาท,ส้มโอ,2566,8.03,บางเลน,ไร่,ตัน,14,ครัวเรือน,บาท_ตัน,67580,119
251.5,166,ล้านบาท,ฝรั่ง,2566,18.88,บางเลน,ไร่,ตัน,59,ครัวเรือน,บาท_ตัน,20840,906
621,167,ล้านบาท,มะพร้าวอ่อน,2566,26.2,บางเลน,ไร่,ตัน,175,ครัวเรือน,บาท_ตัน,12840,2041
1516,168,ล้านบาท,คะน้า,2566,54.92,บางเลน,ไร่,ตัน,116,ครัวเรือน,บาท_ตัน,19420,2828
3589,169,ล้านบาท,กล้วยไม้ตัดดอก,2566,519.04,บางเลน,ไร่,ตัน,159,ครัวเรือน,บาท_ตัน,62030,8368
0,170,ล้านบาท,ขมิ้นชัน,2566,0,บางเลน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
402,171,ล้านบาท,บัวบก,2566,41.16,บางเลน,ไร่,ตัน,246,ครัวเรือน,บาท_ตัน,17320,2376.3
5717,172,ล้านบาท,ข้าว,2566,31.1,สามพราน,ไร่,ตัน,330,ครัวเรือน,บาท_ตัน,7390,4208
0,173,ล้านบาท,อ้อยโรงงาน,2566,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
2918,174,ล้านบาท,ส้มโอ,2566,229.94,สามพราน,ไร่,ตัน,717,ครัวเรือน,บาท_ตัน,72500,3172
4859,175,ล้านบาท,ฝรั่ง,2566,581.85,สามพราน,ไร่,ตัน,1230,ครัวเรือน,บาท_ตัน,27340,21282
5702,176,ล้านบาท,มะพร้าวอ่อน,2566,191.24,สามพราน,ไร่,ตัน,1615,ครัวเรือน,บาท_ตัน,10080,18972
22,177,ล้านบาท,คะน้า,2566,0.52,สามพราน,ไร่,ตัน,6,ครัวเรือน,บาท_ตัน,22610,23
2003,178,ล้านบาท,กล้วยไม้ตัดดอก,2566,230.5,สามพราน,ไร่,ตัน,264,ครัวเรือน,บาท_ตัน,50060,4604
0,179,ล้านบาท,ขมิ้นชัน,2566,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
0,180,ล้านบาท,บัวบก,2566,0,สามพราน,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
11668,181,ล้านบาท,ข้าว,2566,62.38,พุทธมณฑล,ไร่,ตัน,691,ครัวเรือน,บาท_ตัน,7100,8786
0,182,ล้านบาท,อ้อยโรงงาน,2566,0,พุทธมณฑล,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
110,183,ล้านบาท,ส้มโอ,2566,8.41,พุทธมณฑล,ไร่,ตัน,11,ครัวเรือน,บาท_ตัน,68180,123
25,184,ล้านบาท,ฝรั่ง,2566,2,พุทธมณฑล,ไร่,ตัน,7,ครัวเรือน,บาท_ตัน,25000,80
160,185,ล้านบาท,มะพร้าวอ่อน,2566,4.89,พุทธมณฑล,ไร่,ตัน,72,ครัวเรือน,บาท_ตัน,10020,488.3
2.75,186,ล้านบาท,คะน้า,2566,0.06,พุทธมณฑล,ไร่,ตัน,5,ครัวเรือน,บาท_ตัน,15000,4.125
440,187,ล้านบาท,กล้วยไม้ตัดดอก,2566,39.14,พุทธมณฑล,ไร่,ตัน,31,ครัวเรือน,บาท_ตัน,49480,791
