ประเภท,ที่มา,จำนวนรถจดทะเบียน,_id,ปี,ข้อมูล,หน่วย
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,15,2560,349,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,16,2560,"1,439",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,17,2561,509,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,18,2561,183,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,19,2561,312,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,20,2561,"1,376",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,21,2562,522,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,22,2562,158,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,23,2562,276,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,24,2562,"1,302",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,25,2563,529,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,26,2563,142,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,27,2563,257,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,28,2563,"1,224",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,29,2564,544,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,30,2564,121,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,31,2564,241,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,32,2564,"1,134",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,33,2565,530,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,34,2565,90,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,35,2565,220,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,36,2565,"1,031",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,37,2566,250,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,38,2566,87,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,39,2566,192,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,40,2566,"1,157",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,41,2567,460,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,42,2567,77,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,43,2567,170,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,44,2567,778,คัน
