FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
อินทร์บุรี-เขาทราย,20600000325343,จ3-9(1)-3/34นว,หนองบัว,นครสวรรค์,ห้างหุ้นส่วนจำกัด หนองบัวโรงสีแหลมทอง (2000),12,2908,ห้างหุ้นส่วนจำกัด โรงสีไฟบัวทอง,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 80 เกวียน/วัน,ดำเนินกิจการ,2023-04-18T21:00:05,100.60625,-,15.87603,-,หนองกลับ
เทพารักษ์,10110000125422,3-14-1/42สป,บางเสาธง,สมุทรปราการ,บริษัท สุวรรณ์ธารา จำกัด,1,2909,บริษัท สุวรรณธารา จำกัด,ผลิตน้ำแข็งก้อนเล็ก,ดำเนินกิจการ,2023-04-18T21:00:05,100.7808,128/778,13.5845833333333,NULL,บางเสาธง
สายเอเซีย  กม.123,10170000125434,3-55-1/43สห,พรหมบุรี,สิงห์บุรี,บริษัท คอมพาวด์เคลย์ จำกัด,2,2910,บริษัท คอมพาวด์เคลย์ จำกัด,ผลิตดินผสมสำเร็จรูป สำหรับผลิตผลิตภัณฑ์เครื่องปั้นดินเผา,ดำเนินกิจการ,2023-04-18T21:00:05,100.45293,99/1,14.75824,-,บ้านหม้อ
สายเอเซีย กม.70-71,10170100125433,3-74(3)-1/43สห,พรหมบุรี,สิงห์บุรี,บริษัท อาเชียน อินซูเลเตอร์ จำกัด (มหาชน),2,2911,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),ผลิตลูกถ้วยไฟฟ้า,ดำเนินกิจการ,2023-04-18T21:00:05,100.45272,"99,99/2",14.75918,NULL,บ้านหม้อ
พุทธมณฑลสาย 4,20730800325431,จ3-95(1)-3/43นฐ,สามพราน,นครปฐม,บริษัท อุ่สายสี่ จำกัด,7,2912,บริษัท อู่สายสี่ จำกัด,ซ่อมรถยนต์และเคาะพ่นสีรถยนต์,ดำเนินกิจการ,2023-04-18T21:00:05,100.32935,98/1,13.7372666666667,NULL,กระทุ่มล้ม
พุทธมณฑลสาย 4,20730600325433,จ3-64(13)-3/43นฐ,สามพราน,นครปฐม,นายวิเชียร เรืองเดชบุญฤทธิ์,7,2913,-,กลึง-เชื่อมโลหะ,ดำเนินกิจการ,2023-04-18T21:00:05,100.320366666667,19,13.7411666666667,วัดนครชื่นชุ่ม,กระทุ่มล้ม
บางมูลนาค-โพทะเล,20660000425436,จ3-58(1)-4/43พจ,โพทะเล,พิจิตร,ห้างหุ้นส่วนจำกัด ประวีณก่อสร้าง,8,2914,ห้างหุ้นส่วนจำกัด ประวีณก่อสร้าง,ผลิตคอนกรีตผสมเสร็จ,ดำเนินกิจการ,2023-04-18T21:00:05,100.33665,65/1,16.0475,NULL,ท่าบัว
พหลโยธิน กม.45,20131600125438,จ3-61-1/43ปท,คลองหลวง,ปทุมธานี,บริษัท แอ็ควานซ์ ทูลเทคโนโลยี จำกัด,13,2915,บริษัท แอ็ควานซ์ ทูลเทคโนโลยี จำกัด,ผลิตและซ่อมชิ้นส่วนเครื่องจักรอุตสาหกรรม,ดำเนินกิจการ,2023-04-18T21:00:05,100.61045,1045,14.11165,NULL,คลองหนึ่ง
สระบุรี-หล่มสัก,20670000125431,จ3-2(1)-1/43พช,วิเชียรบุรี,เพชรบูรณ์,นายสันต์ เดชะปิยะมิตร,8,2916,รังสรรค์พานิชย์,ไซโลอบเมล็ดพืช,ดำเนินกิจการ,2023-04-18T21:00:05,101.05352,NULL,15.50689,NULL,พุขาม
เพชรเกษม,20740700125435,จ3-32(1)-1/43สค,กระทุ่มแบน,สมุทรสาคร,นายไชยยันต์ อนันต์วัฒนสุข,7,2917,บริษัท ไชยทิพย์รุ่งเรือง จำกัด,"ผลิตกระเป๋า,เข็มขัด,สายนาฬิกาจากหนังสัตว์",ดำเนินกิจการ,2023-04-18T21:00:05,100.315133333333,1/57,13.7155333333333,เพชรเกษม 122,อ้อมน้อย
เทพารักษ์ กม.10,20110400725423,จ3-64(2)-7/42สป,บางพลี,สมุทรปราการ,นายจรัสพงษ์ เลาหประดิษฐ์สกุล,3,2918,ณัฐพลตะปู,ผลิตตะปู,ดำเนินกิจการ,2023-04-18T21:00:05,100.679083333333,150/29,13.6043,-,บางพลีใหญ่
เทพารักษ์ กม.16,20110002225426,จ3-64(13)-22/42สป,บางพลี,สมุทรปราการ,ห้างหุ้นส่วนจำกัด ซี แอนด์ เอ็น เอ็นจิเนียริ่ง,10,2919,ห้างหุ้นส่วนจำกัด ซี แอนด์ เอ็น เอ็นจิเนียริ่ง,รับจ้างกลึง เจาะ คว้าน กัด ไส และเชื่อมโลหะทั่วไป,ดำเนินกิจการ,2023-04-18T21:00:05,100.732033333333,33/64,13.59025,-,บางปลา
