ประเภทพืชเศรษฐกิจ,พื้นที่เพาะปลูก (ไร่),_id,ปี,ผลผลิต(ตัน),จำนวนครัวเรือน,อำเภอ,พื้นที่เก็บเกี่ยว (ไร่)
กล้วยหอมทอง,920,28,2566,2948,73,หนองหญ้าปล้อง,840
กล้วยน้ำว้า,2201,29,2566,3324,204,หนองหญ้าปล้อง,2201
มะพร้าวแก่,108,30,2566,61,48,หนองหญ้าปล้อง,76
ข้าวโพดเลี้ยงสัตว์,4584,31,2566,2398,111,หนองหญ้าปล้อง,4584
ชมพู่เพชรสายรุ้ง,0,32,2566,0,0,หนองหญ้าปล้อง,0
เกลือสมุทร,0,33,2566,0,0,หนองหญ้าปล้อง,0
ข้าวนาปี,17430,34,2566,12479,1388,ชะอำ,17430
ข้าวนาปรัง,13150,35,2566,9023,990,ชะอำ,13140
อ้อยโรงงาน,35350,36,2566,287299,355,ชะอำ,35350
สับปะรดโรงงาน,19562,37,2566,47031,245,ชะอำ,19392
มะนาว,483,38,2566,1136,139,ชะอำ,482
กล้วยหอมทอง,442,39,2566,1102,36,ชะอำ,442
กล้วยน้ำว้า,3741,40,2566,4287,639,ชะอำ,1604
มะพร้าวแก่,3750,41,2566,3195,368,ชะอำ,3740
ข้าวโพดเลี้ยงสัตว์,141,42,2566,66,12,ชะอำ,128
ชมพู่เพชรสายรุ้ง,6,43,2566,6,5,ชะอำ,6
เกลือสมุทร,27,44,2566,373,1,ชะอำ,27
ข้าวนาปี,50718,45,2566,38421,4542,ท่ายาง,50718
ข้าวนาปรัง,30480,46,2566,22325,3723,ท่ายาง,30454
อ้อยโรงงาน,10745,47,2566,98653,109,ท่ายาง,10745
สับปะรดโรงงาน,18356,48,2566,61448,518,ท่ายาง,18356
มะนาว,18810,49,2566,31449,3865,ท่ายาง,18085
กล้วยหอมทอง,6816,50,2566,16323,1142,ท่ายาง,6766
กล้วยน้ำว้า,15366,51,2566,28531,2345,ท่ายาง,15176
มะพร้าวแก่,2259,52,2566,1490.5,605,ท่ายาง,2206
ข้าวโพดเลี้ยงสัตว์,113,53,2566,81.35,9,ท่ายาง,113
ชมพู่เพชรสายรุ้ง,107,54,2566,144,37,ท่ายาง,107
เกลือสมุทร,0,55,2566,0,0,ท่ายาง,0
ข้าวนาปี,55660,56,2566,42114,4712,บ้านลาด,55660
ข้าวนาปรัง,38149,57,2566,28125,3819,บ้านลาด,38149
อ้อยโรงงาน,0,58,2566,0,0,บ้านลาด,0
สับปะรดโรงงาน,332,59,2566,996,14,บ้านลาด,332
มะนาว,1244.5,60,2566,2191.45,604,บ้านลาด,1244.5
กล้วยหอมทอง,608,61,2566,1770.6,328,บ้านลาด,518
กล้วยน้ำว้า,1375,62,2566,4632.6,851,บ้านลาด,1375
มะพร้าวแก่,873.25,63,2566,671.4,308,บ้านลาด,836.25
ข้าวโพดเลี้ยงสัตว์,0,64,2566,0,0,บ้านลาด,0
ชมพู่เพชรสายรุ้ง,18,65,2566,14.15,13,บ้านลาด,18
เกลือสมุทร,0,66,2566,0,0,บ้านลาด,0
ข้าวนาปี,11351,67,2566,8637,545,บ้านแหลม,11351
ข้าวนาปรัง,1561,68,2566,1175,44,บ้านแหลม,1561
อ้อยโรงงาน,0,69,2566,0,0,บ้านแหลม,0
สับปะรดโรงงาน,0,70,2566,0,0,บ้านแหลม,0
มะนาว,1,71,2566,0.5,1,บ้านแหลม,1
กล้วยหอมทอง,0,72,2566,0,0,บ้านแหลม,0
กล้วยน้ำว้า,11,73,2566,1.8,8,บ้านแหลม,11
มะพร้าวแก่,3987,74,2566,3587.5,489,บ้านแหลม,3986
ข้าวโพดเลี้ยงสัตว์,0,75,2566,0,0,บ้านแหลม,0
ชมพู่เพชรสายรุ้ง,14,76,2566,2,9,บ้านแหลม,14
เกลือสมุทร,17798,77,2566,284771,209,บ้านแหลม,17798
ข้าวนาปี,2369,78,2566,1255,239,แก่งกระจาน,2369
ข้าวนาปรัง,105,79,2566,68,12,แก่งกระจาน,105
อ้อยโรงงาน,950,80,2566,4057,11,แก่งกระจาน,530
สับปะรดโรงงาน,15677,81,2566,6032,589,แก่งกระจาน,2520
มะนาว,16203,82,2566,12268,1844,แก่งกระจาน,10439
กล้วยหอมทอง,1750,83,2566,977,269,แก่งกระจาน,824
กล้วยน้ำว้า,13498,84,2566,11135,1849,แก่งกระจาน,7851
มะพร้าวแก่,211,85,2566,113,89,แก่งกระจาน,149
ข้าวโพดเลี้ยงสัตว์,65,86,2566,39,5,แก่งกระจาน,65
ชมพู่เพชรสายรุ้ง,7,87,2566,2,2,แก่งกระจาน,3
เกลือสมุทร,0,88,2566,0,0,แก่งกระจาน,0
ข้าวนาปี,78262,89,2567,58732,5018,เมืองเพชรบุรี,78262
ข้าวนาปรัง,61065,90,2567,45539,4212,เมืองเพชรบุรี,61065
อ้อยโรงงาน,0,91,2567,0,0,เมืองเพชรบุรี,0
สับปะรดโรงงาน,0,92,2567,0,0,เมืองเพชรบุรี,0
มะนาว,0,93,2567,0,0,เมืองเพชรบุรี,0
กล้วยหอมทอง,0,94,2567,0,0,เมืองเพชรบุรี,0
กล้วยน้ำว้า,0,95,2567,0,0,เมืองเพชรบุรี,0
มะพร้าวแก่,788,96,2567,730.3,134,เมืองเพชรบุรี,605
ข้าวโพดเลี้ยงสัตว์,0,97,2567,0,0,เมืองเพชรบุรี,0
ชมพู่เพชรสายรุ้ง,82,98,2567,112,80,เมืองเพชรบุรี,82
เกลือสมุทร,896,99,2567,13806,23,เมืองเพชรบุรี,896
ข้าวนาปี,48036,100,2567,32716.08,3051,เขาย้อย,48036
ข้าวนาปรัง,32649,101,2567,22883.25,2018,เขาย้อย,32649
อ้อยโรงงาน,859,102,2567,6864,5,เขาย้อย,859
สับปะรดโรงงาน,0,103,2567,0,0,เขาย้อย,0
มะนาว,0,104,2567,0,0,เขาย้อย,0
กล้วยหอมทอง,0,105,2567,0,0,เขาย้อย,0
กล้วยน้ำว้า,0,106,2567,0,0,เขาย้อย,0
มะพร้าวแก่,2161,107,2567,962.07,298,เขาย้อย,1365
ข้าวโพดเลี้ยงสัตว์,21,108,2567,12,3,เขาย้อย,21
ชมพู่เพชรสายรุ้ง,0,109,2567,0,0,เขาย้อย,0
เกลือสมุทร,0,110,2567,0,0,เขาย้อย,0
ข้าวนาปี,1709,111,2567,1033,276,หนองหญ้าปล้อง,1709
ข้าวนาปรัง,52,112,2567,33,10,หนองหญ้าปล้อง,52
อ้อยโรงงาน,8872,113,2567,83265,62,หนองหญ้าปล้อง,8872
สับปะรดโรงงาน,0,114,2567,0,0,หนองหญ้าปล้อง,0
มะนาว,0,115,2567,0,0,หนองหญ้าปล้อง,0
กล้วยหอมทอง,0,116,2567,0,0,หนองหญ้าปล้อง,0
กล้วยน้ำว้า,0,117,2567,0,0,หนองหญ้าปล้อง,0
มะพร้าวแก่,142,118,2567,125.5,36,หนองหญ้าปล้อง,142
ข้าวโพดเลี้ยงสัตว์,4338,119,2567,2610,133,หนองหญ้าปล้อง,4338
ชมพู่เพชรสายรุ้ง,0,120,2567,0,0,หนองหญ้าปล้อง,0
เกลือสมุทร,0,121,2567,0,0,หนองหญ้าปล้อง,0
ข้าวนาปี,18407,122,2567,13027.75,1380,ชะอำ,18407
ข้าวนาปรัง,6165,123,2567,4287,550,ชะอำ,6165
อ้อยโรงงาน,28350,124,2567,214750,186,ชะอำ,26850
สับปะรดโรงงาน,0,125,2567,0,0,ชะอำ,0
มะนาว,0,126,2567,0,0,ชะอำ,0
กล้วยหอมทอง,0,127,2567,0,0,ชะอำ,0
กล้วยน้ำว้า,0,128,2567,0,0,ชะอำ,0
มะพร้าวแก่,3750,129,2567,3027.29,368,ชะอำ,3672
ข้าวโพดเลี้ยงสัตว์,26,130,2567,14,1,ชะอำ,26
ชมพู่เพชรสายรุ้ง,3.5,131,2567,1,4,ชะอำ,3.5
เกลือสมุทร,27,132,2567,41,1,ชะอำ,27
ข้าวนาปี,47710,133,2567,34392.4,4299,ท่ายาง,47710
ข้าวนาปรัง,28139,134,2567,20691,3281,ท่ายาง,28139
อ้อยโรงงาน,4671,135,2567,37222,85,ท่ายาง,4671
สับปะรดโรงงาน,0,136,2567,0,0,ท่ายาง,0
มะนาว,0,137,2567,0,0,ท่ายาง,0
กล้วยหอมทอง,0,138,2567,0,0,ท่ายาง,0
กล้วยน้ำว้า,0,139,2567,0,0,ท่ายาง,0
มะพร้าวแก่,2054.5,140,2567,2060.7,555,ท่ายาง,2010.5
ข้าวโพดเลี้ยงสัตว์,41,141,2567,24,5,ท่ายาง,41
ชมพู่เพชรสายรุ้ง,92.5,142,2567,83,58,ท่ายาง,92.5
เกลือสมุทร,0,143,2567,0,0,ท่ายาง,0
ข้าวนาปี,52892,144,2567,38994,4638,บ้านลาด,52892
ข้าวนาปรัง,30400,145,2567,22865,4045,บ้านลาด,30400
อ้อยโรงงาน,0,146,2567,0,0,บ้านลาด,0
สับปะรดโรงงาน,0,147,2567,0,0,บ้านลาด,0
มะนาว,0,148,2567,0,0,บ้านลาด,0
กล้วยหอมทอง,0,149,2567,0,0,บ้านลาด,0
กล้วยน้ำว้า,0,150,2567,0,0,บ้านลาด,0
มะพร้าวแก่,836.25,151,2567,686,310,บ้านลาด,832.25
ข้าวโพดเลี้ยงสัตว์,0,152,2567,0,0,บ้านลาด,0
ชมพู่เพชรสายรุ้ง,13.75,153,2567,10,18,บ้านลาด,9.75
เกลือสมุทร,0,154,2567,0,0,บ้านลาด,0
ข้าวนาปี,11907,155,2567,7269.58,615,บ้านแหลม,11907
ข้าวนาปรัง,1350,156,2567,904.61,45,บ้านแหลม,1350
อ้อยโรงงาน,0,157,2567,0,0,บ้านแหลม,0
สับปะรดโรงงาน,0,158,2567,0,0,บ้านแหลม,0
มะนาว,0,159,2567,0,0,บ้านแหลม,0
กล้วยหอมทอง,0,160,2567,0,0,บ้านแหลม,0
กล้วยน้ำว้า,0,161,2567,0,0,บ้านแหลม,0
มะพร้าวแก่,4137,162,2567,4845.16,515,บ้านแหลม,4137
ข้าวโพดเลี้ยงสัตว์,0,163,2567,0,0,บ้านแหลม,0
ชมพู่เพชรสายรุ้ง,12.5,164,2567,7,21,บ้านแหลม,8
เกลือสมุทร,17798,165,2567,284768.02,209,บ้านแหลม,17798
ข้าวนาปี,2569,166,2567,1349,253,แก่งกระจาน,2569
ข้าวนาปรัง,98,167,2567,63,10,แก่งกระจาน,98
อ้อยโรงงาน,1100,168,2567,4698,11,แก่งกระจาน,680
สับปะรดโรงงาน,0,169,2567,0,0,แก่งกระจาน,0
มะนาว,0,170,2567,0,0,แก่งกระจาน,0
กล้วยหอมทอง,0,171,2567,0,0,แก่งกระจาน,0
กล้วยน้ำว้า,0,172,2567,0,0,แก่งกระจาน,0
มะพร้าวแก่,211,173,2567,105,89,แก่งกระจาน,149
ข้าวโพดเลี้ยงสัตว์,670,174,2567,646,5,แก่งกระจาน,670
ชมพู่เพชรสายรุ้ง,8.25,175,2567,6,4,แก่งกระจาน,8.25
เกลือสมุทร,0,176,2567,0,0,แก่งกระจาน,0
ข้าวนาปี,76968,177,2568,57503.96,5130,เมืองเพชรบุรี,76968
ข้าวนาปรัง,54083,178,2568,39859.19,3939,เมืองเพชรบุรี,54083
อ้อยโรงงาน,0,179,2568,0,0,เมืองเพชรบุรี,0
สับปะรดโรงงาน,0,180,2568,0,0,เมืองเพชรบุรี,0
มะนาว,0,181,2568,0,0,เมืองเพชรบุรี,0
กล้วยหอมทอง,0,182,2568,0,0,เมืองเพชรบุรี,0
กล้วยน้ำว้า,0,183,2568,0,0,เมืองเพชรบุรี,0
มะพร้าวแก่,956.25,184,2568,723.72,610,เมืองเพชรบุรี,931
ข้าวโพดเลี้ยงสัตว์,0,185,2568,0,0,เมืองเพชรบุรี,0
ชมพู่เพชรสายรุ้ง,82,186,2568,116.42,86,เมืองเพชรบุรี,82
เกลือสมุทร,895,187,2568,13841,27,เมืองเพชรบุรี,895
ข้าวนาปี,46985,188,2568,32435.55,3256,เขาย้อย,46985
ข้าวนาปรัง,34337,189,2568,23651.38,2120,เขาย้อย,34337
อ้อยโรงงาน,809,190,2568,64,4,เขาย้อย,9
สับปะรดโรงงาน,0,191,2568,0,0,เขาย้อย,0
มะนาว,0,192,2568,0,0,เขาย้อย,0
กล้วยหอมทอง,0,193,2568,0,0,เขาย้อย,0
กล้วยน้ำว้า,0,194,2568,0,0,เขาย้อย,0
มะพร้าวแก่,2247.25,195,2568,256,298,เขาย้อย,394
ข้าวโพดเลี้ยงสัตว์,23,196,2568,12.88,2,เขาย้อย,23
ชมพู่เพชรสายรุ้ง,0,197,2568,0,0,เขาย้อย,0
เกลือสมุทร,0,198,2568,0,0,เขาย้อย,0
ข้าวนาปี,1744,199,2568,1123,268,หนองหญ้าปล้อง,1744
ข้าวนาปรัง,463,200,2568,315,49,หนองหญ้าปล้อง,463
อ้อยโรงงาน,8791,201,2568,82642,62,หนองหญ้าปล้อง,8791
สับปะรดโรงงาน,0,202,2568,0,0,หนองหญ้าปล้อง,0
มะนาว,0,203,2568,0,0,หนองหญ้าปล้อง,0
กล้วยหอมทอง,0,204,2568,0,0,หนองหญ้าปล้อง,0
กล้วยน้ำว้า,0,205,2568,0,0,หนองหญ้าปล้อง,0
มะพร้าวแก่,179,206,2568,167,124,หนองหญ้าปล้อง,178
ข้าวโพดเลี้ยงสัตว์,4088,207,2568,2455,117,หนองหญ้าปล้อง,4088
ชมพู่เพชรสายรุ้ง,0,208,2568,0,0,หนองหญ้าปล้อง,0
เกลือสมุทร,0,209,2568,0,0,หนองหญ้าปล้อง,0
ข้าวนาปี,16327,210,2568,7240,1341,ชะอำ,16327
ข้าวนาปรัง,13088,211,2568,8854.11,1118,ชะอำ,13088
อ้อยโรงงาน,19450,212,2568,147225,179,ชะอำ,19450
สับปะรดโรงงาน,0,213,2568,0,0,ชะอำ,0
มะนาว,0,214,2568,0,0,ชะอำ,0
กล้วยหอมทอง,0,215,2568,0,0,ชะอำ,0
กล้วยน้ำว้า,0,216,2568,0,0,ชะอำ,0
มะพร้าวแก่,4424,217,2568,2927,1186,ชะอำ,3768
ข้าวโพดเลี้ยงสัตว์,245,218,2568,125,10,ชะอำ,245
ชมพู่เพชรสายรุ้ง,3,219,2568,1.6,5,ชะอำ,2
เกลือสมุทร,27,220,2568,41,1,ชะอำ,27
ข้าวนาปี,48577.11,221,2568,36044,4466,ท่ายาง,48577.11
ข้าวนาปรัง,42155,222,2568,30417,3996,ท่ายาง,42155
อ้อยโรงงาน,9771,223,2568,71519,88,ท่ายาง,9700
สับปะรดโรงงาน,0,224,2568,0,0,ท่ายาง,0
มะนาว,0,225,2568,0,0,ท่ายาง,0
กล้วยหอมทอง,0,226,2568,0,0,ท่ายาง,0
กล้วยน้ำว้า,0,227,2568,0,0,ท่ายาง,0
มะพร้าวแก่,1914,228,2568,1265.3,680,ท่ายาง,1691
ข้าวโพดเลี้ยงสัตว์,24,229,2568,15,5,ท่ายาง,24
ชมพู่เพชรสายรุ้ง,131.5,230,2568,151,51,ท่ายาง,109.5
เกลือสมุทร,0,231,2568,0,0,ท่ายาง,0
ข้าวนาปี,52464,232,2568,37794,6212,บ้านลาด,52464
ข้าวนาปรัง,32392,233,2568,22865,3834,บ้านลาด,32392
อ้อยโรงงาน,0,234,2568,0,0,บ้านลาด,0
สับปะรดโรงงาน,0,235,2568,0,0,บ้านลาด,0
มะนาว,0,236,2568,0,0,บ้านลาด,0
กล้วยหอมทอง,0,237,2568,0,0,บ้านลาด,0
กล้วยน้ำว้า,0,238,2568,0,0,บ้านลาด,0
มะพร้าวแก่,1092,239,2568,631,544,บ้านลาด,973
ข้าวโพดเลี้ยงสัตว์,5,240,2568,3,6,บ้านลาด,5
ชมพู่เพชรสายรุ้ง,15,241,2568,11.2,16,บ้านลาด,15
เกลือสมุทร,0,242,2568,0,0,บ้านลาด,0
ข้าวนาปี,11820,243,2568,7536,615,บ้านแหลม,11820
ข้าวนาปรัง,1496,244,2568,983.75,51,บ้านแหลม,1496
อ้อยโรงงาน,0,245,2568,0,0,บ้านแหลม,0
สับปะรดโรงงาน,0,246,2568,0,0,บ้านแหลม,0
มะนาว,0,247,2568,0,0,บ้านแหลม,0
กล้วยหอมทอง,0,248,2568,0,0,บ้านแหลม,0
กล้วยน้ำว้า,0,249,2568,0,0,บ้านแหลม,0
มะพร้าวแก่,5528,250,2568,4394.88,515,บ้านแหลม,4128
ข้าวโพดเลี้ยงสัตว์,0,251,2568,0,0,บ้านแหลม,0
ชมพู่เพชรสายรุ้ง,0,252,2568,0,0,บ้านแหลม,0
เกลือสมุทร,17798,253,2568,252672,209,บ้านแหลม,17798
ข้าวนาปี,2361.67,254,2568,1393.13,259,แก่งกระจาน,2361.67
ข้าวนาปรัง,450.96,255,2568,275.39,48,แก่งกระจาน,450.96
อ้อยโรงงาน,1750,256,2568,7128,11,แก่งกระจาน,1010
สับปะรดโรงงาน,0,257,2568,0,0,แก่งกระจาน,0
มะนาว,0,258,2568,0,0,แก่งกระจาน,0
กล้วยหอมทอง,0,259,2568,0,0,แก่งกระจาน,0
กล้วยน้ำว้า,0,260,2568,0,0,แก่งกระจาน,0
มะพร้าวแก่,808.25,261,2568,514,473,แก่งกระจาน,728.25
ข้าวโพดเลี้ยงสัตว์,280,262,2568,159,8,แก่งกระจาน,280
ชมพู่เพชรสายรุ้ง,9.25,263,2568,5.92,4,แก่งกระจาน,9.25
เกลือสมุทร,0,264,2568,0,0,แก่งกระจาน,0
