ค่าข้อมูล,ที่มา,_id,ปี,หน่วย,เพศ,ไตรมาส,รายการ,จังหวัด,ชั่วโมงทำงาน/สัปดาห์
211858,สำนักงานสถิติจังหวัดมหาสารคาม,83,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
176863,สำนักงานสถิติจังหวัดมหาสารคาม,84,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
3994,สำนักงานสถิติจังหวัดมหาสารคาม,85,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
3681,สำนักงานสถิติจังหวัดมหาสารคาม,86,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
313,สำนักงานสถิติจังหวัดมหาสารคาม,87,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
,สำนักงานสถิติจังหวัดมหาสารคาม,88,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,89,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,90,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
5794,สำนักงานสถิติจังหวัดมหาสารคาม,91,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
3542,สำนักงานสถิติจังหวัดมหาสารคาม,92,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
2251,สำนักงานสถิติจังหวัดมหาสารคาม,93,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
64780,สำนักงานสถิติจังหวัดมหาสารคาม,94,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
32923,สำนักงานสถิติจังหวัดมหาสารคาม,95,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
31857,สำนักงานสถิติจังหวัดมหาสารคาม,96,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
10352,สำนักงานสถิติจังหวัดมหาสารคาม,97,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
6276,สำนักงานสถิติจังหวัดมหาสารคาม,98,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
4076,สำนักงานสถิติจังหวัดมหาสารคาม,99,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
85312,สำนักงานสถิติจังหวัดมหาสารคาม,100,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
39002,สำนักงานสถิติจังหวัดมหาสารคาม,101,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
46311,สำนักงานสถิติจังหวัดมหาสารคาม,102,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
183655,สำนักงานสถิติจังหวัดมหาสารคาม,103,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
107748,สำนักงานสถิติจังหวัดมหาสารคาม,104,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
75907,สำนักงานสถิติจังหวัดมหาสารคาม,105,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
34834,สำนักงานสถิติจังหวัดมหาสารคาม,106,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
18686,สำนักงานสถิติจังหวัดมหาสารคาม,107,2565,คน,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
16148,สำนักงานสถิติจังหวัดมหาสารคาม,108,2565,คน,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
388539,สำนักงานสถิติจังหวัดมหาสารคาม,109,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
207583,สำนักงานสถิติจังหวัดมหาสารคาม,110,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
180957,สำนักงานสถิติจังหวัดมหาสารคาม,111,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
34554,สำนักงานสถิติจังหวัดมหาสารคาม,112,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
18757,สำนักงานสถิติจังหวัดมหาสารคาม,113,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
15797,สำนักงานสถิติจังหวัดมหาสารคาม,114,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
,สำนักงานสถิติจังหวัดมหาสารคาม,115,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,116,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,117,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
5686,สำนักงานสถิติจังหวัดมหาสารคาม,118,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
2665,สำนักงานสถิติจังหวัดมหาสารคาม,119,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
3021,สำนักงานสถิติจังหวัดมหาสารคาม,120,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
46538,สำนักงานสถิติจังหวัดมหาสารคาม,121,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
20791,สำนักงานสถิติจังหวัดมหาสารคาม,122,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
25747,สำนักงานสถิติจังหวัดมหาสารคาม,123,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
17917,สำนักงานสถิติจังหวัดมหาสารคาม,124,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
8243,สำนักงานสถิติจังหวัดมหาสารคาม,125,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
9674,สำนักงานสถิติจังหวัดมหาสารคาม,126,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
63281,สำนักงานสถิติจังหวัดมหาสารคาม,127,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
27464,สำนักงานสถิติจังหวัดมหาสารคาม,128,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
35817,สำนักงานสถิติจังหวัดมหาสารคาม,129,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
200757,สำนักงานสถิติจังหวัดมหาสารคาม,130,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
120097,สำนักงานสถิติจังหวัดมหาสารคาม,131,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
80660,สำนักงานสถิติจังหวัดมหาสารคาม,132,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
19805,สำนักงานสถิติจังหวัดมหาสารคาม,133,2566,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
9565,สำนักงานสถิติจังหวัดมหาสารคาม,134,2566,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
10241,สำนักงานสถิติจังหวัดมหาสารคาม,135,2566,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
