จังหวัด,_id,รอบการจัดเก็บข้อมูล,ชื่อโรงงานน้ำดื่ม,อำเภอ,ตำบล,ปีงบประมาณ
ศรีสะเกษ,100,6 เดือน,โรงน้ำดื่ม สวัสดิการพรานพยัคฆ์ 23,กันทรลักษ์,เมือง,2568
ศรีสะเกษ,101,6 เดือน,น้ำดื่ม พีซ วอเตอร์,กันทรลักษ์,สวนกล้วย,2568
ศรีสะเกษ,102,6 เดือน,โรงน้ำดื่ม กทบ.ระกา,ขุขันธ์,โคกเพชร,2568
ศรีสะเกษ,103,6 เดือน,บริษัท เอสเค เพียวดี จำกัด,ขุขันธ์,โคกเพชร,2568
ศรีสะเกษ,104,6 เดือน,กลุ่มออมทรัพย์เพื่อการผลิต,ขุขันธ์,โสน,2568
ศรีสะเกษ,105,6 เดือน,โรงน้ำดื่มพุฒซ้อน,ขุขันธ์,โสน,2568
ศรีสะเกษ,106,6 เดือน,นาเจริญพานิชย์,ขุขันธ์,โสน,2568
ศรีสะเกษ,107,6 เดือน,น้ำดื่ม ส่องแสง,ขุขันธ์,โสน,2568
ศรีสะเกษ,108,6 เดือน,นาวาวอเตอร์,ขุขันธ์,ใจดี,2568
ศรีสะเกษ,109,6 เดือน,โรงน้ำฐณดล น้ำดื่ม,ขุขันธ์,ใจดี,2568
ศรีสะเกษ,110,6 เดือน,โรงงานน้ำดื่ม อำไพ,ขุขันธ์,กันทรารมย์,2568
ศรีสะเกษ,111,6 เดือน,น้ำดื่ม ไลค์,ขุขันธ์,จะกง,2568
ศรีสะเกษ,112,6 เดือน,เจเอ็นน้ำดื่ม,ขุขันธ์,จะกง,2568
ศรีสะเกษ,113,6 เดือน,พีเค วอเตอร์,ขุขันธ์,จะกง,2568
ศรีสะเกษ,114,6 เดือน,น้ำดื่ม กิ่งทอง,ขุขันธ์,ตาอุด,2568
ศรีสะเกษ,115,6 เดือน,น้ำดื่มกวางขาว,ขุขันธ์,นิคมพัฒนา,2568
ศรีสะเกษ,116,6 เดือน,บริษัท ธนศิริกุล จำกัด,ขุขันธ์,นิคมพัฒนา,2568
