ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ,จังหวัด
" 58,906 "," 66,945 ",ทำงานบ้าน,18,2565," 49,721 "," 62,131 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 46,436 "," 49,428 ",เรียนหนังสือ,19,2565," 45,743 "," 42,572 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 23,395 "," 24,923 ",เรียนหนังสือ,20,2565," 22,875 "," 22,954 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 23,042 "," 24,505 ",เรียนหนังสือ,21,2565," 22,869 "," 19,619 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 93,122 "," 86,779 ",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,22,2565," 86,655 "," 81,346 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 40,693 "," 39,653 ",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,23,2565," 34,950 "," 33,948 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 52,429 "," 47,126 ",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,24,2565," 51,705 "," 47,399 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 22,175 "," 19,522 ",อื่น ๆ,25,2565," 22,858 "," 21,162 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 11,310 "," 12,852 ",อื่น ๆ,26,2565," 11,334 "," 11,547 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 10,865 "," 6,669 ",อื่น ๆ,27,2565," 11,524 "," 9,614 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"425,291"," 428,370 ",กำลังแรงงานรวม,28,2566,"424,582","425,051",รวม,กำลังแรงงาน,สระบุรี
"238,132"," 237,832 ",กำลังแรงงานรวม,29,2566,"239,332","242,997",ชาย                         ,กำลังแรงงาน,สระบุรี
"187,159"," 190,538 ",กำลังแรงงานรวม,30,2566,"185,251","182,055",หญิง                        ,กำลังแรงงาน,สระบุรี
"419,096"," 417,998 ",ผู้มีงานทำ,31,2566,"420,184","414,172",รวม,กำลังแรงงาน,สระบุรี
"234,113"," 231,325 ",ผู้มีงานทำ,32,2566,"235,874","235,907",ชาย                         ,กำลังแรงงาน,สระบุรี
"184,983"," 186,673 ",ผู้มีงานทำ,33,2566,"184,309","178,265",หญิง                        ,กำลังแรงงาน,สระบุรี
"2,776"," 9,909 ",ผู้ว่างงาน,34,2566,"4,399","9,768",รวม,กำลังแรงงาน,สระบุรี
"2,299"," 6,043 ",ผู้ว่างงาน,35,2566,"3,457","6,753",ชาย                         ,กำลังแรงงาน,สระบุรี
477," 3,866 ",ผู้ว่างงาน,36,2566,941,"3,016",หญิง                        ,กำลังแรงงาน,สระบุรี
"3,419", 463 ,รอฤดูกาล,37,2566,,"1,111",รวม,กำลังแรงงาน,สระบุรี
"1,720", 463 ,รอฤดูกาล,38,2566,,337,ชาย                         ,กำลังแรงงาน,สระบุรี
"1,699",,รอฤดูกาล,39,2566,,774,หญิง                        ,กำลังแรงงาน,สระบุรี
"231,864"," 226,202 ",ผู้ไม่อยู่ในกำลังแรงงานรวม,40,2566,"231,793","230,448",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"80,596"," 79,446 ",ผู้ไม่อยู่ในกำลังแรงงานรวม,41,2566,"78,949","74,796",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"151,268"," 146,756 ",ผู้ไม่อยู่ในกำลังแรงงานรวม,42,2566,"152,843","155,651",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"75,377"," 67,581 ",ทำงานบ้าน,43,2566,"78,225","76,090",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"4,709"," 4,512 ",ทำงานบ้าน,44,2566,"5,972","5,720",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"70,668"," 63,069 ",ทำงานบ้าน,45,2566,"72,253","70,370",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"49,956"," 47,603 ",เรียนหนังสือ,46,2566,"46,900","46,053",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"25,549"," 23,889 ",เรียนหนังสือ,47,2566,"23,879","24,066",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"24,407"," 23,714 ",เรียนหนังสือ,48,2566,"23,021","21,987",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"92,387"," 94,393 ",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,49,2566,"89,463","88,748",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"41,875"," 42,583 ",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,50,2566,"37,974","35,615",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"50,511"," 51,810 ",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,51,2566,"51,488","53,133",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"14,145"," 16,626 ",อื่น ๆ,52,2566,"17,205","19,557",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"8,463"," 8,463 ",อื่น ๆ,53,2566,"11,123","9,395",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
"5,682"," 8,163 ",อื่น ๆ,54,2566,"6,081","10,162",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
