เดือน,จำนวน,ที่มา,จังหวัด,_id,ข้อมูล,ปีงบประมาณ,หน่วย
กุมภาพันธ์,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,17,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
มีนาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,18,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
เมษายน,12,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,19,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
พฤษภาคม,14,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,20,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
มิถุนายน,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,21,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
กรกฎาคม,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,22,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
สิงหาคม,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,23,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
กันยายน,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,24,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
ตุลาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,25,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2569,แห่ง
พฤศจิกายน,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,26,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2569,แห่ง
ธันวาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,27,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2569,แห่ง
มกราคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,28,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2569,แห่ง
กุมภาพันธ์,8,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,29,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2569,แห่ง
มีนาคม,12,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,30,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2569,แห่ง
เมษายน,14,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,31,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2569,แห่ง
