เดือน,จำนวนโรงงาน,ที่มา,_id,ปี,อำเภอ,จังหวัด,หน่วย
รวม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,32,2567,ตากใบ,นราธิวาส,โรงงาน
รวม,62,สนง.อุตสาหกรรมจังหวัดนราธิวาส,33,2568,เมือง,นราธิวาส,โรงงาน
รวม,16,สนง.อุตสาหกรรมจังหวัดนราธิวาส,34,2568,ยี่งอ,นราธิวาส,โรงงาน
รวม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,35,2568,บาเจาะ,นราธิวาส,โรงงาน
รวม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,36,2568,สุไหงปาดี,นราธิวาส,โรงงาน
รวม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,37,2568,สไหง-โกลก,นราธิวาส,โรงงาน
รวม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,38,2568,เจาะไอร้อง,นราธิวาส,โรงงาน
รวม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,39,2568,แว้ง,นราธิวาส,โรงงาน
รวม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,40,2568,สุคีริน,นราธิวาส,โรงงาน
รวม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,41,2568,ระแงะ,นราธิวาส,โรงงาน
รวม,6,สนง.อุตสาหกรรมจังหวัดนราธิวาส,42,2568,จะแนะ,นราธิวาส,โรงงาน
รวม,8,สนง.อุตสาหกรรมจังหวัดนราธิวาส,43,2568,ศรีสาคร,นราธิวาส,โรงงาน
รวม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,44,2568,รือเสาะ,นราธิวาส,โรงงาน
รวม,21,สนง.อุตสาหกรรมจังหวัดนราธิวาส,45,2568,ตากใบ,นราธิวาส,โรงงาน
มกราคม,53,สนง.อุตสาหกรรมจังหวัดนราธิวาส,46,2567,เมือง,นราธิวาส,โรงงาน
มกราคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,47,2567,ตากใบ,นราธิวาส,โรงงาน
มกราคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,48,2567,บาเจาะ,นราธิวาส,โรงงาน
มกราคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,49,2567,ยี่งอ,นราธิวาส,โรงงาน
มกราคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,50,2567,ระแงะ,นราธิวาส,โรงงาน
มกราคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,51,2567,รือเสาะ,นราธิวาส,โรงงาน
มกราคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,52,2567,ศรีสาคร,นราธิวาส,โรงงาน
มกราคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,53,2567,สุคีริน,นราธิวาส,โรงงาน
มกราคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,2567,แว้ง,นราธิวาส,โรงงาน
มกราคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,55,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
มกราคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,56,2567,สุไหงปาดี,นราธิวาส,โรงงาน
มกราคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,57,2567,จะแนะ,นราธิวาส,โรงงาน
มกราคม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,58,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
กุมภาพันธ์,53,สนง.อุตสาหกรรมจังหวัดนราธิวาส,59,2567,เมือง,นราธิวาส,โรงงาน
กุมภาพันธ์,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,60,2567,ตากใบ,นราธิวาส,โรงงาน
กุมภาพันธ์,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,61,2567,บาเจาะ,นราธิวาส,โรงงาน
กุมภาพันธ์,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,62,2567,ยี่งอ,นราธิวาส,โรงงาน
กุมภาพันธ์,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,63,2567,ระแงะ,นราธิวาส,โรงงาน
กุมภาพันธ์,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,64,2567,รือเสาะ,นราธิวาส,โรงงาน
กุมภาพันธ์,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,65,2567,ศรีสาคร,นราธิวาส,โรงงาน
กุมภาพันธ์,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,66,2567,สุคีริน,นราธิวาส,โรงงาน
กุมภาพันธ์,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,67,2567,แว้ง,นราธิวาส,โรงงาน
กุมภาพันธ์,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,68,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
กุมภาพันธ์,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,69,2567,สุไหงปาดี,นราธิวาส,โรงงาน
กุมภาพันธ์,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,70,2567,จะแนะ,นราธิวาส,โรงงาน
กุมภาพันธ์,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,71,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
มีนาคม,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,72,2567,เมือง,นราธิวาส,โรงงาน
มีนาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,73,2567,ตากใบ,นราธิวาส,โรงงาน
มีนาคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,74,2567,บาเจาะ,นราธิวาส,โรงงาน
มีนาคม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,75,2567,ยี่งอ,นราธิวาส,โรงงาน
มีนาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,76,2567,ระแงะ,นราธิวาส,โรงงาน
มีนาคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,77,2567,รือเสาะ,นราธิวาส,โรงงาน
มีนาคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,78,2567,ศรีสาคร,นราธิวาส,โรงงาน
มีนาคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,79,2567,สุคีริน,นราธิวาส,โรงงาน
มีนาคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,80,2567,แว้ง,นราธิวาส,โรงงาน
มีนาคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,81,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
มีนาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,82,2567,สุไหงปาดี,นราธิวาส,โรงงาน
มีนาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,83,2567,จะแนะ,นราธิวาส,โรงงาน
มีนาคม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,84,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
เมษายน,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,85,2567,เมือง,นราธิวาส,โรงงาน
เมษายน,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,86,2567,ตากใบ,นราธิวาส,โรงงาน
เมษายน,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,87,2567,บาเจาะ,นราธิวาส,โรงงาน
เมษายน,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,88,2567,ยี่งอ,นราธิวาส,โรงงาน
เมษายน,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,89,2567,ระแงะ,นราธิวาส,โรงงาน
เมษายน,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,90,2567,รือเสาะ,นราธิวาส,โรงงาน
เมษายน,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,91,2567,ศรีสาคร,นราธิวาส,โรงงาน
เมษายน,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,92,2567,สุคีริน,นราธิวาส,โรงงาน
เมษายน,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,93,2567,แว้ง,นราธิวาส,โรงงาน
เมษายน,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,94,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
เมษายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,95,2567,สุไหงปาดี,นราธิวาส,โรงงาน
เมษายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,96,2567,จะแนะ,นราธิวาส,โรงงาน
เมษายน,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,97,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
พฤษภาคม,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,98,2567,เมือง,นราธิวาส,โรงงาน
พฤษภาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,99,2567,ตากใบ,นราธิวาส,โรงงาน
พฤษภาคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,100,2567,บาเจาะ,นราธิวาส,โรงงาน
พฤษภาคม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,101,2567,ยี่งอ,นราธิวาส,โรงงาน
พฤษภาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,102,2567,ระแงะ,นราธิวาส,โรงงาน
พฤษภาคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,103,2567,รือเสาะ,นราธิวาส,โรงงาน
พฤษภาคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,104,2567,ศรีสาคร,นราธิวาส,โรงงาน
พฤษภาคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,105,2567,สุคีริน,นราธิวาส,โรงงาน
พฤษภาคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,106,2567,แว้ง,นราธิวาส,โรงงาน
พฤษภาคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,107,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
พฤษภาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,108,2567,สุไหงปาดี,นราธิวาส,โรงงาน
พฤษภาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,109,2567,จะแนะ,นราธิวาส,โรงงาน
พฤษภาคม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,110,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
มิถุนายน,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,111,2567,เมือง,นราธิวาส,โรงงาน
มิถุนายน,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,112,2567,ตากใบ,นราธิวาส,โรงงาน
มิถุนายน,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,113,2567,บาเจาะ,นราธิวาส,โรงงาน
มิถุนายน,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,114,2567,ยี่งอ,นราธิวาส,โรงงาน
มิถุนายน,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,115,2567,ระแงะ,นราธิวาส,โรงงาน
มิถุนายน,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,116,2567,รือเสาะ,นราธิวาส,โรงงาน
มิถุนายน,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,117,2567,ศรีสาคร,นราธิวาส,โรงงาน
มิถุนายน,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,118,2567,สุคีริน,นราธิวาส,โรงงาน
มิถุนายน,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,119,2567,แว้ง,นราธิวาส,โรงงาน
มิถุนายน,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,120,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
มิถุนายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,121,2567,สุไหงปาดี,นราธิวาส,โรงงาน
มิถุนายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,122,2567,จะแนะ,นราธิวาส,โรงงาน
มิถุนายน,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,123,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
กรกฎาคม,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,124,2567,เมือง,นราธิวาส,โรงงาน
กรกฎาคม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,125,2567,ตากใบ,นราธิวาส,โรงงาน
กรกฎาคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,126,2567,บาเจาะ,นราธิวาส,โรงงาน
กรกฎาคม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,127,2567,ยี่งอ,นราธิวาส,โรงงาน
กรกฎาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,128,2567,ระแงะ,นราธิวาส,โรงงาน
กรกฎาคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,129,2567,รือเสาะ,นราธิวาส,โรงงาน
กรกฎาคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,130,2567,ศรีสาคร,นราธิวาส,โรงงาน
กรกฎาคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,131,2567,สุคีริน,นราธิวาส,โรงงาน
กรกฎาคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,132,2567,แว้ง,นราธิวาส,โรงงาน
กรกฎาคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,133,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
กรกฎาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,134,2567,สุไหงปาดี,นราธิวาส,โรงงาน
กรกฎาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,135,2567,จะแนะ,นราธิวาส,โรงงาน
กรกฎาคม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,136,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
สิงหาคม,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,137,2567,เมือง,นราธิวาส,โรงงาน
สิงหาคม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,138,2567,ตากใบ,นราธิวาส,โรงงาน
สิงหาคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,139,2567,บาเจาะ,นราธิวาส,โรงงาน
สิงหาคม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,140,2567,ยี่งอ,นราธิวาส,โรงงาน
สิงหาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,141,2567,ระแงะ,นราธิวาส,โรงงาน
สิงหาคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,142,2567,รือเสาะ,นราธิวาส,โรงงาน
สิงหาคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,143,2567,ศรีสาคร,นราธิวาส,โรงงาน
สิงหาคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,144,2567,สุคีริน,นราธิวาส,โรงงาน
สิงหาคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,145,2567,แว้ง,นราธิวาส,โรงงาน
สิงหาคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,146,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
สิงหาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,147,2567,สุไหงปาดี,นราธิวาส,โรงงาน
สิงหาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,148,2567,จะแนะ,นราธิวาส,โรงงาน
สิงหาคม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,149,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
กันยายน,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,150,2567,เมือง,นราธิวาส,โรงงาน
กันยายน,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,151,2567,ตากใบ,นราธิวาส,โรงงาน
กันยายน,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,152,2567,บาเจาะ,นราธิวาส,โรงงาน
กันยายน,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,153,2567,ยี่งอ,นราธิวาส,โรงงาน
กันยายน,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,154,2567,ระแงะ,นราธิวาส,โรงงาน
กันยายน,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,155,2567,รือเสาะ,นราธิวาส,โรงงาน
กันยายน,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,156,2567,ศรีสาคร,นราธิวาส,โรงงาน
กันยายน,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,157,2567,สุคีริน,นราธิวาส,โรงงาน
กันยายน,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,158,2567,แว้ง,นราธิวาส,โรงงาน
กันยายน,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,159,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
กันยายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,160,2567,สุไหงปาดี,นราธิวาส,โรงงาน
กันยายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,161,2567,จะแนะ,นราธิวาส,โรงงาน
กันยายน,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,162,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
ตุลาคม,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,163,2567,เมือง,นราธิวาส,โรงงาน
ตุลาคม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,164,2567,ตากใบ,นราธิวาส,โรงงาน
ตุลาคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,165,2567,บาเจาะ,นราธิวาส,โรงงาน
ตุลาคม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,166,2567,ยี่งอ,นราธิวาส,โรงงาน
ตุลาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,167,2567,ระแงะ,นราธิวาส,โรงงาน
ตุลาคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,168,2567,รือเสาะ,นราธิวาส,โรงงาน
ตุลาคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,169,2567,ศรีสาคร,นราธิวาส,โรงงาน
ตุลาคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,170,2567,สุคีริน,นราธิวาส,โรงงาน
ตุลาคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,171,2567,แว้ง,นราธิวาส,โรงงาน
ตุลาคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,172,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
ตุลาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,173,2567,สุไหงปาดี,นราธิวาส,โรงงาน
ตุลาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,174,2567,จะแนะ,นราธิวาส,โรงงาน
ตุลาคม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,175,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
พฤศจิกายน,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,176,2567,เมือง,นราธิวาส,โรงงาน
พฤศจิกายน,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,177,2567,ตากใบ,นราธิวาส,โรงงาน
พฤศจิกายน,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,178,2567,บาเจาะ,นราธิวาส,โรงงาน
พฤศจิกายน,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,179,2567,ยี่งอ,นราธิวาส,โรงงาน
พฤศจิกายน,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,180,2567,ระแงะ,นราธิวาส,โรงงาน
พฤศจิกายน,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,181,2567,รือเสาะ,นราธิวาส,โรงงาน
พฤศจิกายน,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,182,2567,ศรีสาคร,นราธิวาส,โรงงาน
พฤศจิกายน,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,183,2567,สุคีริน,นราธิวาส,โรงงาน
พฤศจิกายน,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,184,2567,แว้ง,นราธิวาส,โรงงาน
พฤศจิกายน,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,185,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
พฤศจิกายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,186,2567,สุไหงปาดี,นราธิวาส,โรงงาน
พฤศจิกายน,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,187,2567,จะแนะ,นราธิวาส,โรงงาน
พฤศจิกายน,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,188,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
ธันวาคม,54,สนง.อุตสาหกรรมจังหวัดนราธิวาส,189,2567,เมือง,นราธิวาส,โรงงาน
ธันวาคม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,190,2567,ตากใบ,นราธิวาส,โรงงาน
ธันวาคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,191,2567,บาเจาะ,นราธิวาส,โรงงาน
ธันวาคม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,192,2567,ยี่งอ,นราธิวาส,โรงงาน
ธันวาคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,193,2567,ระแงะ,นราธิวาส,โรงงาน
ธันวาคม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,194,2567,รือเสาะ,นราธิวาส,โรงงาน
ธันวาคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,195,2567,ศรีสาคร,นราธิวาส,โรงงาน
ธันวาคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,196,2567,สุคีริน,นราธิวาส,โรงงาน
ธันวาคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,197,2567,แว้ง,นราธิวาส,โรงงาน
ธันวาคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,198,2567,สุไหงโก-ลก,นราธิวาส,โรงงาน
ธันวาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,199,2567,สุไหงปาดี,นราธิวาส,โรงงาน
ธันวาคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,200,2567,จะแนะ,นราธิวาส,โรงงาน
ธันวาคม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,201,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
มกราคม,55,สนง.อุตสาหกรรมจังหวัดนราธิวาส,202,2568,เมือง,นราธิวาส,โรงงาน
มกราคม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,203,2568,ตากใบ,นราธิวาส,โรงงาน
มกราคม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,204,2568,บาเจาะ,นราธิวาส,โรงงาน
มกราคม,15,สนง.อุตสาหกรรมจังหวัดนราธิวาส,205,2568,ยี่งอ,นราธิวาส,โรงงาน
มกราคม,17,สนง.อุตสาหกรรมจังหวัดนราธิวาส,206,2568,ระแงะ,นราธิวาส,โรงงาน
มกราคม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,207,2568,รือเสาะ,นราธิวาส,โรงงาน
มกราคม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,208,2568,ศรีสาคร,นราธิวาส,โรงงาน
มกราคม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,209,2568,สุคีริน,นราธิวาส,โรงงาน
มกราคม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,210,2568,แว้ง,นราธิวาส,โรงงาน
มกราคม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,211,2568,สุไหงโก-ลก,นราธิวาส,โรงงาน
มกราคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,212,2568,สุไหงปาดี,นราธิวาส,โรงงาน
มกราคม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,213,2568,จะแนะ,นราธิวาส,โรงงาน
