_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,อำเภอ,จังหวัด,ผู้ประกอบการ
19,2566,สังคมพืชผล,กระเทาะเปลือกเมล็ดพืช ตากเมล็ดพืช และเก็บรักษาในโกดัง,เมืองแพร่,แพร่,นายสังคม โนจักร
20,2566,,ขุดดิน,เมืองแพร่,แพร่,นางกันยารัตน์ วงค์ตุ้ย
21,2566,ทองเจริญ,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 8 เกวียน/วัน,เมืองแพร่,แพร่,นางสาวกัลยา อ่อนน้อม
22,2566,โรงสีชัยเจริญ,สีข้าว กำลังสีสูงสุด 20 เกวียน/วัน,เมืองแพร่,แพร่,นายฤทธิ์ชัย อ่อนน้อม
23,2566,บริษัท ข้าวทิพย์ แพร่ จำกัด,สีข้าว( กำลังการผลิต 60 เกวียน/วัน),เมืองแพร่,แพร่,บริษัท ข้าวทิพย์ แพร่ จำกัด
24,2566,เอส.พี.ชิพเปอร์,สับ บด ย่อย เศษไม้ และสิ่งปฎิกูลไม้,เมืองแพร่,แพร่,นางสาวนิตยา หมื่นโฮ้ง
25,2566,บริษัท สปาทีม จำกัด,ผลิตคอนกรีตผสมเสร็จ และผลิตภัณฑ์คอนกรีต เช่น ท่อคอนกรีตเสริมเหล็ก,เมืองแพร่,แพร่,บริษัท สปาทีม จำกัด
26,2566,บริษัท ตึกเหลืองค้าวัสดุก่อสร้าง จำกัด,ทำคอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,บริษัท ตึกเหลืองค้าวัสดุก่อสร้าง จำกัด
27,2566,โรงงานคอนกรีตผสมเสร็จ แพร่,ทำคอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด
28,2566,บริษัท สุทธิภัทร สตีล จำกัด,อัดเศษโลหะ,เมืองแพร่,แพร่,บริษัท สุทธิภัทร สตีล จำกัด
29,2566,น้ำแข็งสล่าจ้อ,ทำน้ำแข็งก้อนเล็ก,เมืองแพร่,แพร่,นายเมืองอินทร์ ฟุ่มเฟือย
30,2566,ห้างหุ้นส่วนจำกัด เอส แอนด์ เอส คิทเช่นแวร์,ทำและอบเครื่องใช้หรือภาชนะบรรจุ เช่น เขียง ขัน โอ ช้อน จาน และผลิตภัณฑ์เครื่องใช้ในครัวเรือน จากไม้นอกประเภทหวงห้ามของทางราชการทุกชนิด,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด เอส แอนด์ เอส คิทเช่นแวร์
31,2566,แพร่ทนงศักดิ์ ก่อสร้าง,ผลิตคอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,นายทนงศักดิ์ แดงใจ
32,2566,บริษัท ไอคิว กู๊ด จำกัด (สหกรณ์ผู้เลี้ยงผึ้งจังหวัดแพร่ จำกัด),ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ กำลังการผลิต 2.4948 เมกะวัตต์,เมืองแพร่,แพร่,บริษัท ไอคิว กู๊ด จำกัด
33,2566,บริษัท ไอคิว กู๊ด จำกัด,ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ กำลังการผลิต 2.5014 เมกะวัตต์,เมืองแพร่,แพร่,บริษัท ไอคิว กู๊ด จำกัด
34,2566,สถานีบ่มใบยาแม่หล่าย,บ่มใบยาสูบ,เมืองแพร่,แพร่,นายปรัชญา กันทาธรรม
35,2566,บริษัท แพร่พืชไร่ จำกัด,อบพืชหรือเมล็ดพืช พืชผลทางการเกษตร,เมืองแพร่,แพร่,บริษัท แพร่พืชไร่ จำกัด
36,2566,เกษตรสิน,เก็บรักษา ลำเลียงเมล็ดพืช หรือผลิตผลจากพืชในโกดัง และร่อนคัดแยกขนาดของผลิตผลเกษตรกรรม,เมืองแพร่,แพร่,นายเอกภาพ อู่โชตนานนท์
37,2566,บริษัท คชาธารก่อสร้าง จำกัด,"ดูด, ขุดลอก, ร่อนคัด, ลำเลียงทรายและกรวด ใบอนุญาตใช้เรือเลขที่ 3454, 00654",เมืองแพร่,แพร่,บริษัท คชาธารก่อสร้าง จำกัด
38,2566,น้ำทองฟาร์ม,ฆ่าสัตว์ ชำแหละสุกร,เมืองแพร่,แพร่,สิบตรี ประดิษฐ์ ศศิภัทรกุล
39,2566,แพร่ฟาร์ม,โรงฆ่า ชำแหละ และตัดแต่งสุกร,เมืองแพร่,แพร่,นายประดิษฐ์ ศศิภัทรกุล
40,2566,บริษัท แพร่รุ่งเรือง อินเตอร์ไรซ์ 2007 จำกัด,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 400 เกวียน/วัน และอบเมล็ดพืช เช่น ข้าวเปลือก ฯลฯ,เมืองแพร่,แพร่,บริษัท แพร่รุ่งเรือง อินเตอร์ไรซ์ 2007 จำกัด
41,2566,ห้างหุ้นส่วนจำกัด แม่หล่าย,ผลิตน้ำแข็งก้อนเล็ก กำลังผลิตวันละ 30ตัน,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แม่หล่าย
42,2566,สามตอบดไม้,บด สับ ย่อย เศษไม้ และสิ่งปฏิกูลไม้,เมืองแพร่,แพร่,นายเศรษฐพันธ์ แตงร้าน
43,2566,อู่ศิริมนต์ชัย เมืองแพร่,เคาะ พ่นสีรถยนต์,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด ศิริมนต์ชัย เมืองแพร่
44,2566,บริษัท แสงภูมิ จำกัด (สาขา2),ทำผลิตภัณฑ์คอนกรีต,เมืองแพร่,แพร่,บริษัท แสงภูมิ จำกัด (สาขา2)
45,2566,ท่าทรายสาโรจน์,คัดกรวดทราย,เมืองแพร่,แพร่,นางเสาวภา ศุภศิริ
46,2566,บริษัท ไทยเอเซียไรซ์โปรดักส์ จำกัด,ผลิตแป้งเหลวสำเร็จรูป สำหรับทำก๋วยเตี๋ยวจากข้าวจ้าว,เมืองแพร่,แพร่,บริษัท ไทยเอเซียไรซ์โปรดักส์ จำกัด
47,2566,,ทำตะเกียบ ไม้เสียบอาหาร และผลิตภัณฑ์จากไม้ไผ่,เมืองแพร่,แพร่,นางถนอมศรี อินทร์วิรุฬห์
48,2566,,ทำเฟอร์นิเจอร์เครื่องเรือน เครื่องใช้ และส่วนประกอบอาคารบ้านเรือน จากไม้,เมืองแพร่,แพร่,นายชูชาติ ถิ่นเมือง
49,2566,สุภาภรณ์รีไซเคิล,บด ย่อย และล้างพลาสติก,เมืองแพร่,แพร่,นางสุภาภรณ์ ถิ่นจอม
50,2566,บริษัท เอส.ที.ซี. คอนกรีต จำกัด,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,บริษัท เอส.ที.ซี. คอนกรีต จำกัด
51,2566,ห้างหุ้นส่วนจำกัด ถิ่นรุ่งเรือง,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด ถิ่นรุ่งเรือง
52,2566,ห้างหุ้นส่วนจำกัด ถิ่นรุ่งเรือง,ทำคอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด ถิ่นรุ่งเรือง
53,2566,ห้างหุ้นส่วนจำกัด ประภาสิริ ก่อสร้าง,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด ประภาสิริ ก่อสร้าง
54,2566,บริษัท แพร่บรรจุภัณฑ์ จำกัด,ทำผลิตภัณฑ์โลหะและอุปกรณ์เครื่องจักร,เมืองแพร่,แพร่,บริษัท แพร่บรรจุภัณฑ์ จำกัด
55,2566,วังหงษ์ท่าทราย,ดูดทราย,เมืองแพร่,แพร่,นางศรีพูน นรรัตน์
56,2566,บริษัท คชาธารก่อสร้าง จำกัด,ดูดกรวดทรายในแม่น้ำ,เมืองแพร่,แพร่,บริษัท คชาธารก่อสร้าง จำกัด
57,2566,อุดมทรัพย์,ขุด ดูด กรวดทรายในแม่น้ำ,เมืองแพร่,แพร่,นายเอกชัย หงส์อ้าย
58,2566,แพร่ค้าของเก่า,บด ล้างพลาสติก,เมืองแพร่,แพร่,นางรุ่งทิพย์ ทนันไชย
59,2566,,ทำชิ้นส่วนหรืออุปกรณ์ผลิตภัณฑ์เกี่ยวกับโลหะภาชนะบรรจุ เช่น กรงใส่สัตว์เลี้ยง,เมืองแพร่,แพร่,นางอำพร ปราบหงษ์
60,2566,,ทำเฟอร์นิเจอร์ เครื่องเรือน เครื่องใช้ และส่วนประกอบของอาคารบ้านเรือน จากไม้,เมืองแพร่,แพร่,นายสมบูรณ์ แก้ววิเชียร
61,2566,บริษัท แพร่วิศวกรรม จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แพร่วิศวกรรม
62,2566,บริษัท แพร่วิศวกรรม จำกัด,ทำผลิตภัณฑ์คอนกรีต เช่น ท่อขนาดต่าง ๆ เสาไฟฟ้า คอนกรีตอัดแรง เสาเข็มคอนกรีตอัดแรง ฯลฯ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แพร่วิศวกรรม
63,2566,ชูไกรทองคอนกรีต,ทำผลิตภัณฑ์คอนกรีต เช่น คอนกรีตบล๊อค ท่อระบายน้ำ เสา แผ่นพื้นสำเร็จ วงส้วม,เมืองแพร่,แพร่,บริษัท ชูไกรทองพาณิชย์ จำกัด
64,2566,ห้างหุ้นส่วนจำกัด แพร่คอนกรีต,ทำคอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แพร่คอนกรีต
65,2566,ท่าทรายวินัย,"เกี่ยวกับกรวด ทราย (ร่อนและคัดกรวดทราย) ได้เดือนละ 3,000 ลูกบาศก์เมตร",เมืองแพร่,แพร่,นางกัลยารัตน์ กุมรัมย์
66,2566,บริษัท น้ำแข็งทองธานี จำกัด,ทำน้ำแข็งได้วันละ 437 ซอง และทำน้ำแข็งก้อนเล็ก 158.51 ตัน,เมืองแพร่,แพร่,บริษัท น้ำแข็งทองธานี จำกัด
67,2566,โรงน้ำแข็งบุญบอล,ผลิตน้ำแข็งก้อนเล็ก,เมืองแพร่,แพร่,นางมาลีรัตน์ ทับทิม
68,2566,บริษัท เวสต์ อินดัสตรี้ คอร์ปอเรชั่น จำกัด,ตัดเย็บเสื้อผ้าส่งออก (จำนวนจักรเย็บผ้า 100 เครื่อง) และปักผ้า,เมืองแพร่,แพร่,บริษัท เวสต์ อินดัสตรี้ คอร์ปอเรชั่น จำกัด
69,2566,,หลอมหล่อเหล็ก เช่น หัวเตาแก๊ส,เมืองแพร่,แพร่,นางสาวนิรมล ภัทรชัยพร
70,2566,แพร่บริการแก๊ส,ทำโครงเตาแก๊ส,เมืองแพร่,แพร่,นายชัยรัตน์ ภัทรชัยพร
71,2566,ห้างหุ้นส่วนจำกัด แพร่วัฒนกิจ,กลึง-เชื่อมโลหะ ทำโครงเหล็ก อุปกรณ์ใช้ในการจราจร เช่น แผ่นป้าย เสาไฟทางแยก เหล็กกันทางโค้ง แผ่นป้ายฯลฯ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แพร่วัฒนกิจ
72,2566,ห้างหุ้นส่วนจำกัด ส.สมพิศทรายทอง,ขุดกรวดทรายในแม่น้ำ และร่อนคัดกรวดทราย,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด ส.สมพิศทรายทอง
73,2566,ท่าทรายพงษ์สวัสดิ์,ดูดกรวด ทราย,เมืองแพร่,แพร่,นายสวัสดิ์ แนวณรงค์
74,2566,ท่าทรายท่าขวัญทอง,ดูดทราย,เมืองแพร่,แพร่,นางสาวสุจินดา วันมหาใจ
75,2566,ห้างหุ้นส่วนจำกัด แพร่ดอนทรายทอง,ดูดทราย,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แพร่ดอนทรายทอง
76,2566,ส.ทรายทอง,ขุด หรือดูด ทรายกรวด,เมืองแพร่,แพร่,นายเสน่ห์ จันทร์เสนา
77,2566,โรงสีสุรศักดิ์ (หนานอุ๊) วงศ์ศิริ,สีข้าว (กำลังสีสูงสุด 100 เกวียน/วัน),เมืองแพร่,แพร่,นายสุรศักดิ์ วงศ์ศิริ
78,2566,บริษัท ลิงโก้ จัมพ์ จำกัด,ทำเครื่องเรือน สิ่งตกแต่งภายในอาคารบ้านเรือน จากไม้,เมืองแพร่,แพร่,บริษัท ลิงโก้ จั๊มพ์ จำกัด
79,2566,ห้างหุ้นส่วนจำกัด แพร่เมืองไม้,ผลิตเครื่องใช้ในครัวเรือน เช่น กระทะ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แพร่เมืองไม้
80,2566,,สีข้าว,เมืองแพร่,แพร่,นายบดินทร์ อิ่นโดด
81,2566,บูม แบม การพิมพ์,พิมพ์ผ้า,เมืองแพร่,แพร่,นายชาตรี ทุ่งสงค์
82,2566,ห้างหุ้นส่วนจำกัด พรไพรวัลย์ ซัพพลาย,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด พรไพรวัลย์ซัพพลาย
83,2566,บริษัท พี พี ดี แพร่รีไซเคิล จำกัด,ตัด อัดเศษโลหะ อัดเศษกระดาษ,เมืองแพร่,แพร่,บริษัท พี พี ดี แพร่รีไซเคิล จำกัด
84,2566,โรงสีคนอง,สีข้าว กำลังสุงสุด 20 เกวียน / วัน,เมืองแพร่,แพร่,นายคนอง วุฒิ
85,2566,จวงจันทร์พาณิชย์,ทำน้ำแข็งก้อนเล็ก,เมืองแพร่,แพร่,นายเดชาวัต วิเชียรกันทา
86,2566,ตลาดกลางสหกรณ์การเกษตรร้องกวาง จำกัด,อบพืชหรือเมล็ดพืช,ร้องกวาง,แพร่,สหกรณ์การเกษตรร้องกวาง จำกัด
87,2566,บริษัท บ้านประทับใจ จำกัด,รับซื้อ-ขายสินค้าพืชไร่,ร้องกวาง,แพร่,นางหล่าน วัฒนาโกศัย
88,2566,บริษัท คชาธารก่อสร้าง จำกัด,โม่ บด ย่อยหิน,ร้องกวาง,แพร่,บริษัท คชาธารก่อสร้าง จำกัด
89,2566,บริษัท แพร่ศิลา จำกัด,โม่ บด หรือย่อยหิน,ร้องกวาง,แพร่,บริษัท แพร่ศิลา จำกัด
90,2566,ห้างหุ้นส่วนจำกัด โทเบโก้,ทำกระเป๋า รองเท้า เข็มขัด ด้วยหนังสัตว์และหนังเทียม,ร้องกวาง,แพร่,บริษัท ดีฟ เอสแอลจี จำกัด
91,2566,โรงเลื่อย หน่วยที่ 4,แปรรูปไม้เพื่อจำหน่าย ทำเครื่องเรือน เครื่องใช้ภายในบ้านเรือนฯ,ร้องกวาง,แพร่,องค์การอุตสาหกรรมป่าไม้
92,2566,โรงงานผลิตภัณฑ์ไม้ที่ 1,ประดิษฐกรรมไม้,ร้องกวาง,แพร่,องค์การอุตสาหกรรมป่าไม้
93,2566,โรงงานผลิตภัณฑ์ไม้ที่ 4,แปรรูปไม้เพื่อประดิษฐกรรม,ร้องกวาง,แพร่,องค์การอุตสาหกรรมป่าไม้
94,2566,โรงงานแปรรูปไม้ที่ 1,แปรรูปไม้เพื่อประดิษฐกรรม,ร้องกวาง,แพร่,องค์การอุตสาหกรรมป่าไม้
95,2566,โรงงานแปรรูปไม้ที่ 2,แปรรูปไม้เพื่อประดิษฐกรรม,ร้องกวาง,แพร่,องค์การอุตสาหกรรมป่าไม้
96,2566,โรงงานผลิตภัณฑ์ไม้ที่ 2,ประดิษฐกรรมไม้,ร้องกวาง,แพร่,องค์การอุตสาหกรรมป่าไม้
97,2566,โรงงานผลิตภัณฑ์ไม้ที่ 3,แปรรุปไม้เพื่อประดิษฐกรรม,ร้องกวาง,แพร่,องค์การอุตสาหกรรมป่าไม้
98,2566,บริษัท แพร่วิศวกรรม จำกัด,ทำคอนกรีตผสมเสร็จ,ร้องกวาง,แพร่,ห้างหุ้นส่วนจำกัด แพร่วิศวกรรม
99,2566,โรงกลึงเพชรเจริญ,ซ่อมส่วนประกอบของรถยนต์,ร้องกวาง,แพร่,นายวิสิทธิ์ บรรจุ
100,2566,,บ่มใบยาสูบ อบพืช และเมล็ดพืช,ร้องกวาง,แพร่,นายอุทัย สิทธิหาญ
101,2566,,อบพืช เมล็ดพืช,ร้องกวาง,แพร่,นายพัฒนศักดิ์ โห่ล์เพ็ขร์
102,2566,บริษัท ซุ่นเฮงหลีรุ่งเรืองทรัพย์ จำกัด,อบ เก็บรักษาเมล็ดพืช ในไซโลโกดัง,ร้องกวาง,แพร่,บริษัท ซุนเฮงหลีรุ่งเรืองทรัพย์ จำกัด
103,2566,ห้างหุ้นส่วนจำกัด แพร่รัตนไชย,อบพืช เมล็ดพืช และเก็บรักษาในโกดัง,ร้องกวาง,แพร่,ห้างหุ้นส่วนจำกัด แพร่รัตนไชย
104,2566,สหกรณ์การเกษตรร้องกวาง จำกัด,อบ ร่อน คัด และแยกคุณภาพผลิตผลทางการเกษตร,ร้องกวาง,แพร่,สหกรณ์การเกษตรร้องกวาง จำกัด
105,2566,ตลาดกลางสหกรณ์การเกษตรร้องกวาง จำกัด,อบพืชหรือเมล็ดพืชและเก็บรักษาในโกดัง,ร้องกวาง,แพร่,สหกรณ์การเกษตรร้องกวาง จำกัด
106,2566,บริษัท ชนธัญรุ่งเรืองกิจ จำกัด,ผลิตน้ำแข็งหลอด 70 ตัน/วัน,ร้องกวาง,แพร่,บริษัท ชนธัญรุ่งเรืองกิจ จำกัด
107,2566,ห้างหุ้นส่วนจำกัด ส.มรกตทรัพย์ค้าไม้,เลื่อยไม้,ร้องกวาง,แพร่,ห้างหุ้นส่วนจำกัด ส.มรกตทรัพย์ค้าไม้
108,2566,บริษัท มิตรรุ่งเรืองพืชผล จำกัด,กะเทาะเปลือกถั่ว สีข้าวโพด นึ่งถั่ว,ร้องกวาง,แพร่,บริษัท มิตรรุ่งเรืองพืชผล จำกัด
109,2566,ห้างหุ้นส่วนจำกัด อรุณสว่าง,ทำคอนกรีตผสมเสร็จ,ร้องกวาง,แพร่,ห้างหุ้นส่วนจำกัด อรุณสว่าง
110,2566,สถานีบ่มใบยายางโพธิ์,บ่มใบยาสูบ,ร้องกวาง,แพร่,ห้างหุ้นส่วนจำกัด แพร่เกษตรทอง
111,2566,สมชายพืชไร่,อบพืชหรือเมล็ดพืช,ร้องกวาง,แพร่,นางรำไพ เกิดปานทอง
112,2566,โรงงานปรับปรุงสภาพเมล็ดพันธุ์,คัด ร่อน แยกขนาด คุณภาพของผลิตผลทางการเกษตรและเก็บรักษาในโกดัง,ร้องกวาง,แพร่,ศูนย์เมล็ดพันธุ์ข้าวแพร่
113,2566,ห้างหุ้นส่วนจำกัด เอส เอส แพร่ฟอกย้อม,ฟอก ย้อมสี เครื่องนุ่งห่ม เช่น เสื้อกางเกง,ร้องกวาง,แพร่,ห้างหุ้นส่วนจำกัด เอส เอส แพร่ฟอกย้อม
114,2566,วิสาหกิจชุมชนพัฒนาทรัพยากรและคุณภาพชีวิตอำเภอสอง,ผลิตชิ้นไม้สับเปลี่ยนเป็นเชื้อเพลิงจากไม้ยางพาราและไม้ที่ปลูกขึ้น 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,ร้องกวาง,แพร่,วิสาหกิจชุมชนพัฒนาทรัพยากรและคุณภาพชีวิตอำเภอสอง
115,2566,วิสาหกิจชุมชนพัฒนาทรัพยากรฯ,สับไม้(เศษวัสดุเหลือใช้),ร้องกวาง,แพร่,วิสาหกิจชุมชนพัฒนาทรัพยากรฯ
116,2566,บริษัท แพร่ธำรงวิทย์ จำกัด,ผสมยางแอสฟัลท์,ร้องกวาง,แพร่,บริษัท แพร่ธำรงวิทย์ จำกัด
117,2566,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด,ทำคอนกรีตผสมเสร็จ,ร้องกวาง,แพร่,ห้างหุ้นส่วนจำกัด เอ็นพี วัสดุก่อสร้าง
118,2566,บริษัท แม่กระทิง เพาเวอร์ จำกัด,โรงงานผลิต ส่ง และจำหน่ายพลังงานไฟฟ้า,ร้องกวาง,แพร่,บริษัท แม่กระทิง เพาเวอร์ จำกัด
119,2566,บริษัท แอลทีจี เอ็นไวรอลเมนทัลเทคโนโลยี่ จำกัด,บดอัด ซังข้าวโพด,ร้องกวาง,แพร่,นางวรรณา รังษี
120,2566,ไซโลสุขเกษตร,อบพืช หรือเมล็ดพืช และเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโลโกดัง,ร้องกวาง,แพร่,นางทองสุก อยู่วัฒนา
121,2566,,ร่อน หรือคัดแยก กรวด หรือ ทราย หรือดิน,ร้องกวาง,แพร่,นายกู้น้อย เล้าตระกูล
122,2566,,ผลิตน้ำแข็งหลอด,ร้องกวาง,แพร่,นางสาวรวีวรรณ  ไทรฟัก
123,2566,,บด สับ และย่อยไม้ เศษวัชพืช,ร้องกวาง,แพร่,บริษัท กรีน เพลเลท จำกัด
124,2566,รุ่งกิตต์รีไซเคิล,อัดกระดาษ บดล้าง พลาสติก ตัดอัดโลหะ,ร้องกวาง,แพร่,นายอรุณกิตต์ โฆษิตานนท์
125,2566,ท่าข้าวนาหม้อ,เก็บเมล็ดพืชในไซโล โกดัง,ลอง,แพร่,นายบุญยืน พลอินต๊ะ
126,2566,,เก็บเมล็ดพืชในไซโล,ลอง,แพร่,นายชูรส คุณาคำ
127,2566,,สับ บด ย่อย เศษไม้ จากสิ่งปฏิกูลไม้,ลอง,แพร่,นางกรัญญา หน่อคำ
128,2566,บริษัท เจเอ ทรัพย์ไพศาล จำกัด,สับ บด ย่อยเศษไม้,ลอง,แพร่,บริษัท เจเอ ทรัพย์ไพศาล จำกัด
129,2566,,สับ บด ย่อยไม้ (เศษวัสดุเหลือใช้),ลอง,แพร่,นายอัครพัชร์ จารุรัชต์
130,2566,,สับเศษไม้ไผ่,ลอง,แพร่,นางสาวนรารัตน์ นนท์คลัง
131,2566,บริษัท พีพี.คอนกรีต (2015) จำกัด,ทำคอนกรีตผสมเสร็จ,ลอง,แพร่,บริษัท พีพี.คอนกรีต (2015) จำกัด
132,2566,บริษัท พีแอลซี คอนกรีต จำกัด,ทำคอนกรีตผสมเสร็จ,ลอง,แพร่,บริษัท พีแอลซี คอนกรีต จำกัด
133,2566,บริษัท พีพี.คอนกรีต (2015) จำกัด,ทำผลิตภัณฑ์คอนกรีต เช่น ท่อคอนกรีตอัดแรง ฯลฯ,ลอง,แพร่,บริษัท พีพี.คอนกรีต (2015) จำกัด
134,2566,,โม่ บด หรือย่อยหิน,ลอง,แพร่,ห้างหุ้นส่วนจำกัด แพร่วิศวกรรม
135,2566,เวียงต้าการเกษตร,บด สับ ย่อย เศษไม้ และสิ่งปฏิกูลไม้,ลอง,แพร่,นายอภิรักษ์ กองตา
136,2566,ห้างหุ้นส่วนจำกัด น้ำแข็งทิพย์ (ลอง),ผลิตน้ำแข็งหลอด (กำลังการผลิตสูงสุด 40 ตัน/วัน),ลอง,แพร่,ห้างหุ้นส่วนจำกัด น้ำแข็งทิพย์ (ลอง)
137,2566,บริษัท ไผ่กาญจน์ จำกัด,ทำผลิตภัณฑ์จากไม้ไผ่ ด้วยการอบ และตบแต่ง,ลอง,แพร่,บริษัท ไผ่กาญจน์ จำกัด
138,2566,บริษัท แพร่วนาวรรณ จำกัด,ทำกระดาษไหว้เจ้า,ลอง,แพร่,บริษัท แพร่วนาวรรณ จำกัด
139,2566,บริษัท ดีบีบี คอนกรีต จำกัด,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,ลอง,แพร่,บริษัท ดีบีบี คอนกรีต จำกัด
