VALUE,AREA,SOURCE,_id,SEX,UNIT,REGION,YEAR
22.10,รวม,สำนักงานสถิติแห่งชาติ,21,หญิง,ร้อยละ,ภาคเหนือ,2557
7.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,22,รวม,ร้อยละ,ภาคเหนือ,2557
7.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,23,ชาย,ร้อยละ,ภาคเหนือ,2557
7.50,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,24,หญิง,ร้อยละ,ภาคเหนือ,2557
15.10,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,25,รวม,ร้อยละ,ภาคเหนือ,2557
15.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,26,ชาย,ร้อยละ,ภาคเหนือ,2557
14.60,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,27,หญิง,ร้อยละ,ภาคเหนือ,2557
35.90,รวม,สำนักงานสถิติแห่งชาติ,28,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
37.20,รวม,สำนักงานสถิติแห่งชาติ,29,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
34.10,รวม,สำนักงานสถิติแห่งชาติ,30,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
9.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,31,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
9.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,32,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
9.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,33,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
26.60,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,34,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
28.00,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,35,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
24.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,36,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2557
13.20,รวม,สำนักงานสถิติแห่งชาติ,37,รวม,ร้อยละ,ภาคใต้,2557
12.80,รวม,สำนักงานสถิติแห่งชาติ,38,ชาย,ร้อยละ,ภาคใต้,2557
13.70,รวม,สำนักงานสถิติแห่งชาติ,39,หญิง,ร้อยละ,ภาคใต้,2557
3.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,40,รวม,ร้อยละ,ภาคใต้,2557
3.50,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,41,ชาย,ร้อยละ,ภาคใต้,2557
3.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,42,หญิง,ร้อยละ,ภาคใต้,2557
9.60,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,43,รวม,ร้อยละ,ภาคใต้,2557
9.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,44,ชาย,ร้อยละ,ภาคใต้,2557
9.90,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,45,หญิง,ร้อยละ,ภาคใต้,2557
35.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,46,รวม,ร้อยละ,ทั่วประเทศ,2558
34.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,47,ชาย,ร้อยละ,ทั่วประเทศ,2558
36.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,48,หญิง,ร้อยละ,ทั่วประเทศ,2558
65.00,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,49,รวม,ร้อยละ,ทั่วประเทศ,2558
65.60,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,50,ชาย,ร้อยละ,ทั่วประเทศ,2558
64.00,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,51,หญิง,ร้อยละ,ทั่วประเทศ,2558
5.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,52,รวม,ร้อยละ,กรุงเทพมหานคร,2558
5.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,53,ชาย,ร้อยละ,กรุงเทพมหานคร,2558
5.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,54,หญิง,ร้อยละ,กรุงเทพมหานคร,2558
24.40,รวม,สำนักงานสถิติแห่งชาติ,55,รวม,ร้อยละ,ภาคกลาง,2558
23.20,รวม,สำนักงานสถิติแห่งชาติ,56,ชาย,ร้อยละ,ภาคกลาง,2558
26.00,รวม,สำนักงานสถิติแห่งชาติ,57,หญิง,ร้อยละ,ภาคกลาง,2558
8.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,58,ชาย,ร้อยละ,ภาคกลาง,2558
10.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,59,หญิง,ร้อยละ,ภาคกลาง,2558
14.90,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,60,รวม,ร้อยละ,ภาคกลาง,2558
14.50,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,61,ชาย,ร้อยละ,ภาคกลาง,2558
15.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,62,หญิง,ร้อยละ,ภาคกลาง,2558
22.70,รวม,สำนักงานสถิติแห่งชาติ,63,รวม,ร้อยละ,ภาคเหนือ,2558
22.60,รวม,สำนักงานสถิติแห่งชาติ,64,ชาย,ร้อยละ,ภาคเหนือ,2558
22.90,รวม,สำนักงานสถิติแห่งชาติ,65,หญิง,ร้อยละ,ภาคเหนือ,2558
7.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,66,รวม,ร้อยละ,ภาคเหนือ,2558
7.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,67,ชาย,ร้อยละ,ภาคเหนือ,2558
7.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,68,หญิง,ร้อยละ,ภาคเหนือ,2558
15.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,69,รวม,ร้อยละ,ภาคเหนือ,2558
15.60,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,70,ชาย,ร้อยละ,ภาคเหนือ,2558
15.20,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,71,หญิง,ร้อยละ,ภาคเหนือ,2558
34.00,รวม,สำนักงานสถิติแห่งชาติ,72,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
35.50,รวม,สำนักงานสถิติแห่งชาติ,73,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
31.90,รวม,สำนักงานสถิติแห่งชาติ,74,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
8.80,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,75,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
9.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,76,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
8.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,77,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
25.20,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,78,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
26.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,79,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
23.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,80,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2558
13.20,รวม,สำนักงานสถิติแห่งชาติ,81,รวม,ร้อยละ,ภาคใต้,2558
13.00,รวม,สำนักงานสถิติแห่งชาติ,82,ชาย,ร้อยละ,ภาคใต้,2558
13.60,รวม,สำนักงานสถิติแห่งชาติ,83,หญิง,ร้อยละ,ภาคใต้,2558
3.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,84,รวม,ร้อยละ,ภาคใต้,2558
3.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,85,ชาย,ร้อยละ,ภาคใต้,2558
3.80,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,86,หญิง,ร้อยละ,ภาคใต้,2558
9.50,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,87,รวม,ร้อยละ,ภาคใต้,2558
9.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,88,ชาย,ร้อยละ,ภาคใต้,2558
9.80,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,89,หญิง,ร้อยละ,ภาคใต้,2558
34.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,90,รวม,ร้อยละ,ทั่วประเทศ,2559
33.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,91,ชาย,ร้อยละ,ทั่วประเทศ,2559
35.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,92,หญิง,ร้อยละ,ทั่วประเทศ,2559
65.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,93,รวม,ร้อยละ,ทั่วประเทศ,2559
66.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,94,ชาย,ร้อยละ,ทั่วประเทศ,2559
64.10,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,95,หญิง,ร้อยละ,ทั่วประเทศ,2559
5.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,96,รวม,ร้อยละ,กรุงเทพมหานคร,2559
5.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,97,ชาย,ร้อยละ,กรุงเทพมหานคร,2559
4.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,98,หญิง,ร้อยละ,กรุงเทพมหานคร,2559
23.70,รวม,สำนักงานสถิติแห่งชาติ,99,รวม,ร้อยละ,ภาคกลาง,2559
22.20,รวม,สำนักงานสถิติแห่งชาติ,100,ชาย,ร้อยละ,ภาคกลาง,2559
25.70,รวม,สำนักงานสถิติแห่งชาติ,101,หญิง,ร้อยละ,ภาคกลาง,2559
9.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,102,รวม,ร้อยละ,ภาคกลาง,2559
8.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,103,ชาย,ร้อยละ,ภาคกลาง,2559
10.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,104,หญิง,ร้อยละ,ภาคกลาง,2559
14.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,105,รวม,ร้อยละ,ภาคกลาง,2559
13.90,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,106,ชาย,ร้อยละ,ภาคกลาง,2559
14.80,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,107,หญิง,ร้อยละ,ภาคกลาง,2559
23.10,รวม,สำนักงานสถิติแห่งชาติ,108,รวม,ร้อยละ,ภาคเหนือ,2559
23.40,รวม,สำนักงานสถิติแห่งชาติ,109,ชาย,ร้อยละ,ภาคเหนือ,2559
22.80,รวม,สำนักงานสถิติแห่งชาติ,110,หญิง,ร้อยละ,ภาคเหนือ,2559
7.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,111,รวม,ร้อยละ,ภาคเหนือ,2559
9.50,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,112,รวม,ร้อยละ,ภาคกลาง,2558
7.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,113,ชาย,ร้อยละ,ภาคเหนือ,2559
7.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,114,หญิง,ร้อยละ,ภาคเหนือ,2559
15.80,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,115,รวม,ร้อยละ,ภาคเหนือ,2559
16.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,116,ชาย,ร้อยละ,ภาคเหนือ,2559
15.10,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,117,หญิง,ร้อยละ,ภาคเหนือ,2559
34.60,รวม,สำนักงานสถิติแห่งชาติ,118,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
35.90,รวม,สำนักงานสถิติแห่งชาติ,119,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
32.90,รวม,สำนักงานสถิติแห่งชาติ,120,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
8.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,121,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
9.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,122,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
8.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,123,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
26.00,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,124,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
26.90,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,125,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
24.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,126,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2559
13.20,รวม,สำนักงานสถิติแห่งชาติ,127,รวม,ร้อยละ,ภาคใต้,2559
12.80,รวม,สำนักงานสถิติแห่งชาติ,128,ชาย,ร้อยละ,ภาคใต้,2559
13.70,รวม,สำนักงานสถิติแห่งชาติ,129,หญิง,ร้อยละ,ภาคใต้,2559
3.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,130,รวม,ร้อยละ,ภาคใต้,2559
3.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,131,ชาย,ร้อยละ,ภาคใต้,2559
4.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,132,หญิง,ร้อยละ,ภาคใต้,2559
9.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,133,รวม,ร้อยละ,ภาคใต้,2559
9.10,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,134,ชาย,ร้อยละ,ภาคใต้,2559
9.50,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,135,หญิง,ร้อยละ,ภาคใต้,2559
34.80,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,136,รวม,ร้อยละ,ทั่วประเทศ,2560
33.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,137,ชาย,ร้อยละ,ทั่วประเทศ,2560
36.80,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,138,หญิง,ร้อยละ,ทั่วประเทศ,2560
65.20,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,139,รวม,ร้อยละ,ทั่วประเทศ,2560
66.60,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,140,ชาย,ร้อยละ,ทั่วประเทศ,2560
63.20,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,141,หญิง,ร้อยละ,ทั่วประเทศ,2560
6.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,142,รวม,ร้อยละ,กรุงเทพมหานคร,2560
5.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,143,ชาย,ร้อยละ,กรุงเทพมหานคร,2560
6.50,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,144,หญิง,ร้อยละ,กรุงเทพมหานคร,2560
22.30,รวม,สำนักงานสถิติแห่งชาติ,145,รวม,ร้อยละ,ภาคกลาง,2560
21.80,รวม,สำนักงานสถิติแห่งชาติ,146,ชาย,ร้อยละ,ภาคกลาง,2560
23.10,รวม,สำนักงานสถิติแห่งชาติ,147,หญิง,ร้อยละ,ภาคกลาง,2560
8.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,148,รวม,ร้อยละ,ภาคกลาง,2560
8.10,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,149,ชาย,ร้อยละ,ภาคกลาง,2560
9.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,150,หญิง,ร้อยละ,ภาคกลาง,2560
13.60,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,151,รวม,ร้อยละ,ภาคกลาง,2560
13.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,152,ชาย,ร้อยละ,ภาคกลาง,2560
13.50,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,153,หญิง,ร้อยละ,ภาคกลาง,2560
22.60,รวม,สำนักงานสถิติแห่งชาติ,154,รวม,ร้อยละ,ภาคเหนือ,2560
23.00,รวม,สำนักงานสถิติแห่งชาติ,155,ชาย,ร้อยละ,ภาคเหนือ,2560
22.20,รวม,สำนักงานสถิติแห่งชาติ,156,หญิง,ร้อยละ,ภาคเหนือ,2560
7.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,157,รวม,ร้อยละ,ภาคเหนือ,2560
7.10,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,158,ชาย,ร้อยละ,ภาคเหนือ,2560
7.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,159,หญิง,ร้อยละ,ภาคเหนือ,2560
15.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,160,รวม,ร้อยละ,ภาคเหนือ,2560
15.90,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,161,ชาย,ร้อยละ,ภาคเหนือ,2560
14.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,162,หญิง,ร้อยละ,ภาคเหนือ,2560
35.80,รวม,สำนักงานสถิติแห่งชาติ,163,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
36.50,รวม,สำนักงานสถิติแห่งชาติ,164,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
34.70,รวม,สำนักงานสถิติแห่งชาติ,165,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
9.10,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,166,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
9.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,167,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
9.10,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,168,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
26.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,169,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
27.50,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,170,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
25.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,171,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2560
13.10,รวม,สำนักงานสถิติแห่งชาติ,172,รวม,ร้อยละ,ภาคใต้,2560
12.80,รวม,สำนักงานสถิติแห่งชาติ,173,ชาย,ร้อยละ,ภาคใต้,2560
13.50,รวม,สำนักงานสถิติแห่งชาติ,174,หญิง,ร้อยละ,ภาคใต้,2560
3.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,175,รวม,ร้อยละ,ภาคใต้,2560
3.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,176,ชาย,ร้อยละ,ภาคใต้,2560
4.10,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,177,หญิง,ร้อยละ,ภาคใต้,2560
9.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,178,รวม,ร้อยละ,ภาคใต้,2560
9.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,179,ชาย,ร้อยละ,ภาคใต้,2560
9.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,180,หญิง,ร้อยละ,ภาคใต้,2560
35.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,181,รวม,ร้อยละ,ทั่วประเทศ,2561
33.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,182,ชาย,ร้อยละ,ทั่วประเทศ,2561
36.70,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,183,หญิง,ร้อยละ,ทั่วประเทศ,2561
65.00,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,184,รวม,ร้อยละ,ทั่วประเทศ,2561
66.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,185,ชาย,ร้อยละ,ทั่วประเทศ,2561
63.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,186,หญิง,ร้อยละ,ทั่วประเทศ,2561
6.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,187,รวม,ร้อยละ,กรุงเทพมหานคร,2561
5.80,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,188,ชาย,ร้อยละ,กรุงเทพมหานคร,2561
6.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,189,หญิง,ร้อยละ,กรุงเทพมหานคร,2561
22.00,รวม,สำนักงานสถิติแห่งชาติ,190,รวม,ร้อยละ,ภาคกลาง,2561
21.50,รวม,สำนักงานสถิติแห่งชาติ,191,ชาย,ร้อยละ,ภาคกลาง,2561
22.70,รวม,สำนักงานสถิติแห่งชาติ,192,หญิง,ร้อยละ,ภาคกลาง,2561
8.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,193,รวม,ร้อยละ,ภาคกลาง,2561
8.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,194,ชาย,ร้อยละ,ภาคกลาง,2561
9.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,195,หญิง,ร้อยละ,ภาคกลาง,2561
13.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,196,รวม,ร้อยละ,ภาคกลาง,2561
13.50,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,197,ชาย,ร้อยละ,ภาคกลาง,2561
13.30,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,198,หญิง,ร้อยละ,ภาคกลาง,2561
22.90,รวม,สำนักงานสถิติแห่งชาติ,199,รวม,ร้อยละ,ภาคเหนือ,2561
23.00,รวม,สำนักงานสถิติแห่งชาติ,200,ชาย,ร้อยละ,ภาคเหนือ,2561
22.80,รวม,สำนักงานสถิติแห่งชาติ,201,หญิง,ร้อยละ,ภาคเหนือ,2561
7.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,202,รวม,ร้อยละ,ภาคเหนือ,2561
6.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,203,ชาย,ร้อยละ,ภาคเหนือ,2561
7.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,204,หญิง,ร้อยละ,ภาคเหนือ,2561
15.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,205,รวม,ร้อยละ,ภาคเหนือ,2561
16.10,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,206,ชาย,ร้อยละ,ภาคเหนือ,2561
15.20,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,207,หญิง,ร้อยละ,ภาคเหนือ,2561
36.40,รวม,สำนักงานสถิติแห่งชาติ,208,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
36.90,รวม,สำนักงานสถิติแห่งชาติ,209,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
35.70,รวม,สำนักงานสถิติแห่งชาติ,210,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
9.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,211,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
9.40,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,212,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
9.50,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,213,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
27.00,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,214,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
27.50,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,215,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
26.20,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,216,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2561
12.70,รวม,สำนักงานสถิติแห่งชาติ,217,รวม,ร้อยละ,ภาคใต้,2561
12.80,รวม,สำนักงานสถิติแห่งชาติ,218,ชาย,ร้อยละ,ภาคใต้,2561
12.60,รวม,สำนักงานสถิติแห่งชาติ,219,หญิง,ร้อยละ,ภาคใต้,2561
3.80,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,220,รวม,ร้อยละ,ภาคใต้,2561
3.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,221,ชาย,ร้อยละ,ภาคใต้,2561
