_id,ลงวันที่,ต้นเรื่อง,ประกาศที่,เรื่อง
15,10 ก.พ.66,สน.ดบ.1-4,015/2566,กำหนดอัตราค่าบำรุงรักษาสิ่งอำนวยความสะดวกและค่าบริการสาธารณูปโภคในนิคมอุตสาหกรรมดับบลิวเอชเอ ระยอง 36
16,14 ก.พ.66,กพด.,016/2566,ประกวดราคาซื้อรถบรรทุกน้ำอเนกประสงค์ 6 ล้อ และอุปกรณ์สำหรับใช้ในการระงับเหตุอัคคีภัย ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
17,17 ก.พ.66,กพด.,017/2566,ประกวดราคาซื้อโครงการจัดซื้อหมึกปริ้นเตอร์ ประจำปีงบประมาณ 2566 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
18,20 ก.พ.66,กทบ.,018/2566,วันหยุดงานตามประเพณี (ฉบับที่ 2)
19,22 ก.พ.66,กทบ.,019/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งผู้ตรวจสอบภายใน 5 (ตำแหน่งที่ 1) เลขประจำอัตราที่ 44)
20,22 ก.พ.66,กทบ.,020/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งเลขานุการ 5 (ตำแหน่งที่ 2) เลขประจำอัตราที่ 74)
21,22 ก.พ.66,กทบ.,021/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักวิชาการคอมพิวเตอร์ 5 (ตำแหน่งที่ 3) เลขประจำอัตราที่ 105)
22,22 ก.พ.66,กทบ.,022/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักทรัพยากรบุคคล 5 (ตำแหน่งที่ 4) เลขประจำอัตราที่ 129)
23,22 ก.พ.66,กทบ.,023/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริหารพัสดุ 5 (ตำแหน่งที่ 5) เลขประจำอัตราที่ 153)
24,22 ก.พ.66,กทบ.,024/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริการการลงทุน 5 (ตำแหน่งที่ 6) เลขประจำอัตราที่ 178)
25,22 ก.พ.66,กทบ.,025/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริการการลงทุน 5 (ตำแหน่งที่ 7) เลขประจำอัตราที่ 185)
26,22 ก.พ.66,กทบ.,026/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งเศรษฐกร 5 (ตำแหน่งที่ 8) เลขประจำอัตราที่ 197)
27,22 ก.พ.66,กทบ.,027/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งเศรษฐกร 6 (ตำแหน่งที่ 9) (เลขประจำอัตราที่ 198)
28,22 ก.พ.66,กทบ.,028/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งเศรษฐกร 6 (ตำแหน่งที่ 10) (เลขประจำอัตราที่ 205)
29,22 ก.พ.66,กทบ.,029/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักวิเคราะห์ 6 (ตำแหน่งที่ 11) (เลขประจำอัตราที่ 206)
30,22 ก.พ.66,กทบ.,030/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 12) (เลขประจำอัตราที่ 228)
31,22 ก.พ.66,กทบ.,031/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 6 (ตำแหน่งที่ 13) (เลขประจำอัตราที่ 229)
32,22 ก.พ.66,กทบ.,032/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริหารการเงิน 5 (ตำแหน่งที่ 14) (เลขประจำอัตราที่ 242)
33,22 ก.พ.66,กทบ.,033/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบัญชี 5 (ตำแหน่งที่ 15) (เลขประจำอัตราที่ 255)
34,22 ก.พ.66,กทบ.,034/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 16) (เลขประจำอัตราที่ 301)
35,22 ก.พ.66,กทบ.,035/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักวิทยาศาสตร์ 6 (ตำแหน่งที่ 17) (เลขประจำอัตราที่ 327)
36,22 ก.พ.66,กทบ.,036/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริหารงานนิคมอุตสาหกรรม 5 (ตำแหน่งที่ 18) (เลขประจำอัตราที่ 374)
37,22 ก.พ.66,กทบ.,037/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 19) (เลขประจำอัตราที่ 391 และ 395)
38,22 ก.พ.66,กทบ.,038/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 20) (เลขประจำอัตราที่ 405)
39,22 ก.พ.66,กทบ.,039/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักวิทยาศาสตร์ 5 (ตำแหน่งที่ 25) (เลขประจำอัตราที่ 503)
40,22 ก.พ.66,กทบ.,040/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 6 (ตำแหน่งที่ 26) (เลขประจำอัตราที่ 525)
41,22 ก.พ.66,กทบ.,041/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 27) (เลขประจำอัตราที่ 526)
42,22 ก.พ.66,กทบ.,042/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 29) (เลขประจำอัตราที่ 557)
43,22 ก.พ.66,กทบ.,043/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริหารงานนิคมอุตสาหกรรม 5 (ตำแหน่งที่ 30) (เลขประจำอัตราที่ 558)
44,22 ก.พ.66,กทบ.,044/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักวิทยาศาสตร์ 5 (ตำแหน่งที่ 31) (เลขประจำอัตราที่ 563)
45,22 ก.พ.66,กทบ.,045/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริหารงานนิคมอุตสาหกรรม 5 (ตำแหน่งที่ 32) (เลขประจำอัตราที่ 567)
46,22 ก.พ.66,กทบ.,046/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 33) (เลขประจำอัตราที่ 569)
47,22 ก.พ.66,กทบ.,047/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งวิศวกร 5 (ตำแหน่งที่ 34) (เลขประจำอัตราที่ 587)
48,22 ก.พ.66,กทบ.,048/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักบริหารงานนิคมอุตสาหกรรม (ตำแหน่งที่ 35) (เลขประจำอัตราที่ 676)
49,22 ก.พ.66,กทบ.,049/2566,ผลการคัดเลือกบุคคลเพื่อบรรจุเป็นพนักงานตำแหน่งนักวิทยาศาสตร์ 5 (ตำแหน่งที่ 36) (เลขประจำอัตราที่ 643)
50,23 ก.พ.66,กพด.,050/2566,ประกวดราคาจ้างโครงการ I-EA-T Data-Driven Marketing ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
51,23 ก.พ.66,กพด.,051/2566,ประกวดราคาซื้อโครงการจัดซื้อเครื่องมือสำรวจทางวิศวกรรม จำนวน 4 รายการ ภายใต้โครงการซื้อเครื่องมือเพื่อยกระดับความสามารถในงานวิศวกรรมสำรวจ (Smart Survey Engineering) ประจำปีงบประมาณ 2566 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding) (ยกเลิก)
52,28 ก.พ.66,กพด.,052/2566,ประกวดราคาจัดซื้อทุนอุตุนิยมวิทยาทางทะเล ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding) (ยกเลิก)
53,28 ก.พ.66,สนฉ.,053/2566,การจำหน่ายพัสดุใช้แล้วโดยวิธีขายทอดตลาด
