วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
--,162,GI(E) 1-1475,บริษัท ไอเอซี แมนูแฟ็คเจอริ่ง (ไทยแลนด์) จำกัด,162,2568-01-08T00:00:00,ชลบุรี
--,163,GI(E) 1-1476,บริษัท โอเอะ (ไทยแลนด์) จำกัด,163,2568-01-08T00:00:00,ชลบุรี
--,164,GI(E) 1-1477,บริษัท โทโฮคุ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,164,2568-01-08T00:00:00,ชลบุรี
--,165,GI(E) 1-1478,บริษัท นิฮอน พาร์ทส์ (ประเทศไทย) จำกัด,165,2568-01-08T00:00:00,ชลบุรี
--,166,GI(E) 1-1479,บริษัท อุชิดะ-ซาโต เทค(ประเทศไทย) จำกัด,166,2568-01-08T00:00:00,ชลบุรี
--,167,GI(E) 1-1480,บริษัท ฟูโซะ ทิวบ์ พาร์ท (ประเทศไทย) จำกัด,167,2568-01-08T00:00:00,ชลบุรี
--,168,GI(E) 1-1481,บริษัท วาตานาเบ้ ฮีททรีทเม้นท์ จำกัด,168,2568-01-08T00:00:00,ชลบุรี
--,169,GI(E) 1-1482,บริษัท ซี.ไอ.กรุ๊ป จำกัด (มหาชน),169,2568-01-08T00:00:00,ชลบุรี
--,170,GI(E) 1-1483,บริษัท มีทัล ลาโบ (ไทยแลนด์) จำกัด,170,2568-01-08T00:00:00,ชลบุรี
--,171,GI(E) 1-1484,บริษัท แอสเทียร์ (ประเทศไทย) จำกัด,171,2568-01-08T00:00:00,ชลบุรี
--,172,GI(E) 1-1485,บริษัท ทสุตะ(ประเทศไทย)จำกัด,172,2568-01-08T00:00:00,ชลบุรี
--,173,GI(E) 1-1486,บริษัท ทีแอนด์จี เทคโนโลยี จำกัด,173,2568-01-08T00:00:00,ชลบุรี
--,174,GI(E) 1-1487,บริษัท วีเอสแอล ซิสเต็ม แมนนูแฟคเจอเรอร์ (ไทยแลนด์) จำกัด,174,2568-01-08T00:00:00,ชลบุรี
--,175,GI(E) 1-1488,บริษัท ไทย เค เจ เค จำกัด,175,2568-01-08T00:00:00,ชลบุรี
--,176,GI(E) 1-1489,บริษัท คิตะยามะ ฮีท ทรีทติ้ง จำกัด,176,2568-01-08T00:00:00,ชลบุรี
--,177,GI(E) 1-1490,บริษัท ทีที ออโตโมทีฟ สตีล (ไทยแลนด์) จำกัด,177,2568-01-08T00:00:00,ชลบุรี
--,178,GI(E) 1-1520,บริษัท ฮักซิน (ประเทศไทย) จำกัด,178,2568-05-08T00:00:00,ชลบุรี
--,179,GI(E) 1-1521,บริษัท พริซึ่ม เทเลคอม เอเซีย จำกัด,179,2568-05-08T00:00:00,ชลบุรี
--,180,GI(E) 1-1522,บริษัท เซล อินดัสทรี (ไทยแลนด์) จำกัด,180,2568-05-08T00:00:00,ชลบุรี
--,181,GI(E) 1-1536,บริษัท จี้ซิน อินดัสเตรียล (ประเทศไทย) จำกัด,181,2568-07-08T00:00:00,ชลบุรี
--,182,GI(E) 1-1537,บริษัท ศรีราชา ไฟร์บริค จำกัด,182,2568-07-08T00:00:00,ชลบุรี
--,183,GI(E) 1-1538,บริษัท ไตเต๋อ แบ๊กส์ (ประเทศไทย) จำกัด,183,2568-07-08T00:00:00,ชลบุรี
--,184,GI(E) 1-1539,บริษัท อีอีซี รีไซเคิล จำกัด,184,2568-07-08T00:00:00,ชลบุรี
--,185,GI(E) 1-1540,บริษัท อาฟเฟทโตะ เวิลด์ จำกัด,185,2568-07-08T00:00:00,ชลบุรี
--,186,GI(E) 1-1541,บริษัท ศุภผล โลหะกิจ จำกัด,186,2568-07-08T00:00:00,ชลบุรี
--,187,GI(E) 1-1542,บริษัท มินิกริป (ประเทศไทย) จำกัด,187,2568-07-08T00:00:00,ชลบุรี
--,188,GI(E) 1-1543,บริษัท ไบโอโกกรีน จำกัด,188,2568-07-08T00:00:00,ชลบุรี
--,189,GI(E) 1-1544,บริษัท แอ๊บโซลูทกรีน เอ็นเนอร์จี จำกัด,189,2568-07-08T00:00:00,ชลบุรี
--,190,GI(E) 1-1545,บริษัท เหอ ยี่ คลีน (ไทยแลนด์) จำกัด,190,2568-07-08T00:00:00,ชลบุรี
