จำนวน,ที่มา,_id,ปี,กรณี,รายการ,จังหวัด,หน่วย
8307,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,29,2565,เจ็บป่วย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
1361,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,30,2565,คลอดบุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
204,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,31,2565,ทุพพลภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
269,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,32,2565,ตาย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7214,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,33,2565,สงเคราะห์บุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
4867,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,34,2565,ชราภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
11128,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,35,2565,ว่างงาน,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7199,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,36,2566,เจ็บป่วย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
1464,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,37,2566,คลอดบุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
212,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,38,2566,ทุพพลภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
273,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,39,2566,ตาย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7318,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,40,2566,สงเคราะห์บุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
5840,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,41,2566,ชราภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
12546,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,42,2566,ว่างงาน,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7199,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,43,2567,เจ็บป่วย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
1464,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,44,2567,คลอดบุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
212,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,45,2567,ทุพพลภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
273,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,46,2567,ตาย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7318,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,47,2567,สงเคราะห์บุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
5840,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,48,2567,ชราภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
12546,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,49,2567,ว่างงาน,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
