﻿year,sex,quarter,_id,area,region,value,unit,age_group,source
2561,ชาย,ไตรมาส 1,94,ในเขตเทศบาล,กรุงเทพมหานคร,88.16,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,95,ในเขตเทศบาล,กรุงเทพมหานคร,93.7,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,96,ในเขตเทศบาล,กรุงเทพมหานคร,94.46,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,97,ในเขตเทศบาล,กรุงเทพมหานคร,96.11,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,98,ในเขตเทศบาล,กรุงเทพมหานคร,85.61,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,99,ในเขตเทศบาล,กรุงเทพมหานคร,28.59,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,100,ในเขตเทศบาล,กรุงเทพมหานคร,62.37,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,101,ในเขตเทศบาล,กรุงเทพมหานคร,8.78,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,102,ในเขตเทศบาล,กรุงเทพมหานคร,44.51,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,103,ในเขตเทศบาล,กรุงเทพมหานคร,85.87,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,104,ในเขตเทศบาล,กรุงเทพมหานคร,84.69,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,105,ในเขตเทศบาล,กรุงเทพมหานคร,80.14,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,106,ในเขตเทศบาล,กรุงเทพมหานคร,78.39,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,107,ในเขตเทศบาล,กรุงเทพมหานคร,64.64,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,108,ในเขตเทศบาล,กรุงเทพมหานคร,17.65,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,109,รวม,ภาคกลาง,69.61,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,110,รวม,ภาคกลาง,18.26,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,111,รวม,ภาคกลาง,65.1,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,112,รวม,ภาคกลาง,86.98,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,113,รวม,ภาคกลาง,89.01,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,114,รวม,ภาคกลาง,88.91,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,115,รวม,ภาคกลาง,87.29,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,116,รวม,ภาคกลาง,77.64,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
