ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,หน่วยวัด
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,38,2565,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,39,2565,หัวหิน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,40,2565,สามร้อยยอด,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,41,2566,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,42,2566,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,43,2566,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,44,2566,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,45,2566,บางสะพานน้อย,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,46,2566,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,47,2566,หัวหิน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,48,2566,สามร้อยยอด,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,49,2567,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,50,2567,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,51,2567,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,52,2567,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,53,2567,บางสะพานน้อย,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,54,2567,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,55,2567,หัวหิน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,56,2567,สามร้อยยอด,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,57,2568,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,58,2568,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,59,2568,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,60,2568,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,61,2568,บางสะพานน้อย,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,62,2568,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,63,2568,หัวหิน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,64,2568,สามร้อยยอด,แห่ง
