ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการข้อมูล,จังหวัด,หน่วย
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,20,2566,หัวไทร,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
3,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,21,2567,เชียรใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,22,2567,ทุ่งใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
0,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,23,2567,พระพรหม,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,24,2567,สิชล,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,25,2567,หัวไทร,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
3,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,26,2568,เชียรใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,27,2568,ทุ่งใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
0,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,28,2568,พระพรหม,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,29,2568,สิชล,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,30,2568,หัวไทร,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
