_id,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน
132,น.88-1/2540-ญหอ.,132,บริษัท โกลว์ เอสพีพี 1 จำกัด
133,น.88-1/2548-ญหอ.,133,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)
134,น.89-1/2547-ญหอ.,134,บริษัท เอ็ม ไอ จี โปรดักชั่น จำกัด
135,น.89-1/2549-ญหอ.,135,บริษัท ลินเด้ (ประเทศไทย) จำกัด (มหาชน)
136,น.90-1/2542-ญหอ.,136,บริษัท โกลว์ เอสพีพี 1 จำกัด
137,น.42(1)-1/2550-นหอ.,137,บริษัท จีซี ไกลคอล จำกัด
138,น.42(1)-1/2550-ญหอ.,138,บริษัท เอ็ชเอ็มซี โปลีเมอส์ จำกัด
139,น.42(1)-2/2548-ญหอ.,139,บริษัท พีทีที ฟีนอล จำกัด
140,น.42(1)-2/2556-ญหอ.,140,บริษัท เวนคอเรกซ์ (ไทยแลนด์) จำกัด
141,น.42(1)-3/2547-ญหอ.,141,บริษัท จีซี ไกลคอล จำกัด
142,น.42(1)-4/2539-ญหอ.,142,บริษัท วนชัย เคมีคอล อินดัสทรี่ส์ จำกัด
143,น.42(1)-4/2551-ญหอ.,143,บริษัท พีทีที ฟีนอล จำกัด
144,น.42(1)-5/2548-ญหอ.,144,บริษัท ไทย อีทอกซีเลท จำกัด
145,น.42(1)-5/2549-ญหอ.,145,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน)
146,น.42(1)-8/2539-ญหอ.,146,บริษัท ไทยอาซาฮีเคมีภัณฑ์ จำกัด
147,น.42(1)-10/2537-ญหอ.,147,บริษัท สยามสเตบิไลเซอร์ส แอนด์ เคมิคอลส์ จำกัด
148,น.42(1)-11/2537-ญหอ.,148,บริษัท เอเซีย ปิโตรเลียม (ไทยแลนด์) จำกัด
149,น.59-1/2554-ญหอ.,149,บริษัท เอ็นเอส-สยามยูไนเต็ดสตีล จำกัด
150,น.59-5/2540-ญหอ.,150,บริษัท เอ็นเอส บลูสโคป (ประเทศไทย) จำกัด
151,น.90-1/2554-ญหอ.,151,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)
152,3-90-11/63รย,152,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
153,3-90-12/63รย,153,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
154,น.89-325/2562-ญนพ.,154,บริษัท ลินเด้ ไฮโค จำกัด
155,3-9(2)-3/64รย,155,บริษัท สำปะหลังพัฒนา จำกัด
