_id,ข้อมูล,ตำบล,อำเภอ,รายการ,หน่วยวัด,จังหวัด
18,,ต.ไชยมงคล,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
19,1,ต.หนองบัวศาลา,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
20,3,ต.สุรนารี,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
21,,ต.สีมุม,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
22,,ต.ตลาด,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
23,,ต.พะเนา,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
24,,ต.หนองกระทุ่ม,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
25,,ต.หนองไข่น้ำ,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
26,,ต.แชะ,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
27,,ต.เฉลียง,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
28,,ต.ครบุรี,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
29,,ต.โคกกระชาย,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
30,,ต.จระเข้หิน,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
31,,ต.มาบตะโกเอน,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
32,,ต.อรพิมพ์,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
33,,ต.บ้านใหม่,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
34,,ต.ลำเพียก,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
35,,ต.ครบุรีใต้,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
36,,ต.ตะแบกบาน,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
37,,ต.สระวานพระยา,อ.ครบุรี,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
38,,ต.เสิงสาง,อ.เสิงสาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
39,,ต.สระตะเคียน,อ.เสิงสาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
40,,ต.โนนสมบูรณ์,อ.เสิงสาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
41,,ต.กุลโบสถ์,อ.เสิงสาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
42,,ต.สุขไพบูลย์,อ.เสิงสาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
43,,ต.บานราษฎร์,อ.เสิงสาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
44,,ต.เมืองคง,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
45,,ต.คูขาด,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
46,,ต.เทพาลัย,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
47,,ต.ตาจั่น,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
48,,ต.บานปรางค์,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
49,,ต.หนองมะนาว,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
50,,ต.หนองบัว,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
51,,ต.โนนเต็ง,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
52,,ต.ดอนใหญ่,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
53,,ต.ขามสมบูรณ์,อ.คง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
54,,ต.บ้านเหลื่อม,อ.บ้านเหลื่อม,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
55,,ต.วังโพธิ์,อ.บ้านเหลื่อม,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
56,,ต.โคกกระเบื้อง,อ.บ้านเหลื่อม,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
57,,ต.ช่อระกา,อ.บ้านเหลื่อม,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
58,,ต.จักราช,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
59,,ต.ทองหลาง,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
60,,ต.สีสุก,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
61,,ต.หนองขาม,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
62,,ต.หนองพลวง,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
63,,ต.ศรีละกอ,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
64,,ต.คลองเมือง,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
65,,ต.หินโคน,อ.จักราช,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
66,,ต.กระโทก,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
67,,ต.พลับพลา,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
68,1,ต.ท่าอ่าง,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
69,,ต.ทุ่งอรุณ,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
70,,ต.ท่าลาดขาว,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
71,,ต.ท่าจะหลุง,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
72,1,ต.ท่าเยี่ยม,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
73,1,ต.โชคชัย,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
74,,ต.ละลมใหม่พัฒนา,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
75,1,ต.ด่านเกวียน,อ.โชคชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
76,,ต.กุดพิมาน,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
77,,ต.ด่านขุนทด,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
78,,ต.ด่านนอก,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
79,,ต.ด่านใน,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
80,,ต.ตะเคียน,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
81,,ต.บ้านเก่า,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
82,,ต.บ้านแปรง,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
83,,ต.พันชนะ,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
84,,ต.สระจรเข้,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
85,,ต.หนองกราด,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
86,,ต.หนองบัวตะเกียด,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
87,,ต.หนองบัวละคร,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
88,,ต.หินดาด,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
89,,ต.ห้วยบง,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
90,,ต.โนนเมืองพัฒนา,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
91,,ต.หนองไทร,อ.ด่านขุนทด,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
92,,ต.โนนไทย,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
93,2,ต.ด่านจาก,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
94,,ต.กำปัง,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
95,,ต.สำโรง,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
96,,ต.ค้างพลู,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
97,,ต.บ้านวัง,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
98,,ต.บัลลังก์,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
99,,ต.สายออ,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
100,,ต.ถนนโพธิ์,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
101,,ต.มะค่า,อ.โนนไทย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
102,,ต.โนนสูง,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
103,,ต.ใหม่,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
104,,ต.โตนด,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
105,,ต.บิง,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
106,,ต.ดอนชมพู,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
107,,ต.ธารปราสาท,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
108,,ต.หลุมข้าว,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
109,,ต.มะค่า,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
110,,ต.พลสงคราม,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
111,,ต.จันอัด,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
112,,ต.ขามเฒ่า,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
113,,ต.ด่านคล้า,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
114,,ต.ลำคอหงษ์,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
115,,ต.เมืองปราสาท,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
116,,ต.ดอนหวาย,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
117,,ต.ลำมูล,อ.โนนสูง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
118,,ต.ขามสะแกแสง,อ.ขามสะแกแสง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
119,,ต.โนนเมือง,อ.ขามสะแกแสง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
120,,ต.เมืองนาท,อ.ขามสะแกแสง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
121,,ต.ชีวึก,อ.ขามสะแกแสง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
122,1,ต.พะงาด,อ.ขามสะแกแสง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
123,1,ต.หนองหัวฟาน,อ.ขามสะแกแสง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
124,,ต.เมืองเกษตร,อ.ขามสะแกแสง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
125,,ต.บัวใหญ่,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
126,,ต.ห้วยยาง,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
127,,ต.เสมาใหญ่,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
128,,ต.ดอนตะหนิน,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
129,,ต.หนองบัวสะอาด,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
130,,ต.โนนทองหลาง,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
131,,ต.กุดจอก,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
132,,ต.ด่านช้าง,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
133,,ต.ขุนทอง,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
134,,ต.หนองแจ้งใหญ่,อ.บัวใหญ่,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
135,,ต.ประทาย,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
136,,ต.กระทุ่มราย,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
137,,ต.วังไม้แดง,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
138,,ต.ตลาดไทร,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
139,,ต.หนองพลวง,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
140,,ต.หนองคาย,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
141,,ต.หันห้วยทราย,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
142,,ต.ดอนมัน,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
143,,ต.นางรำ,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
144,,ต.โนนเพ็ด,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
145,,ต.ทุ่งสว่าง,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
146,,ต.โคกกลาง,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
147,,ต.เมืองโดน,อ.ประทาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
148,1,ต.เมืองปัก,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
149,,ต.ตะคุ,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
150,,ต.โคกไทย,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
151,,ต.สำโรง,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
152,1,ต.ตะขบ,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
153,,ต.นกออก,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
154,,ต.ดอน,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
155,,ต.ตูม,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
156,1,ต.งิ้ว,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
157,,ต.สะแกราช,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
158,,ต.ลำนางแก้ว,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
159,,ต.ภูหลวง,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
160,,ต.ธงชัยเหนือ,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
161,,ต.สุขเกษม,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
162,,ต.เกษมทรัพย์,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
163,,ต.บ่อปลาทอง,อ.ปักธงชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
164,,ต.ในเมือง,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
165,,ต.สัมฤทธิ์,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
166,,ต.โบสถ์,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
167,,ต.กระเบื้องใหญ่,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
168,,ต.ท่าหลวง,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
169,,ต.รังกาใหญ่,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
170,,ต.ชีวาน,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
171,,ต.นิคมสร้างตนเอง,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
