_id,ปี,ร้อยละ,ประเภทค่าใช้จ่าย,ขนาดครัวเรือน(คน),หน่วย
46,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,8และมากกว่า,เปอร์เซ็นต์
47,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,8และมากกว่า,เปอร์เซ็นต์
48,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,8และมากกว่า,เปอร์เซ็นต์
49,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,8และมากกว่า,เปอร์เซ็นต์
50,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,8และมากกว่า,เปอร์เซ็นต์
51,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,8และมากกว่า,เปอร์เซ็นต์
52,2566,100,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,8และมากกว่า,เปอร์เซ็นต์
53,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
54,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
55,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
56,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
57,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
58,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
59,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
60,2566,100,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,8และมากกว่า,เปอร์เซ็นต์
