ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,อาชีพ
18884.34,22282.79,24,2565,19023.43,23097.66,หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
91342.32,85788.85,25,2565,95402.6,90888.58,รวม,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
61257.87,61126.85,26,2565,65465.57,62819.6,ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
30084.45,24662.0,27,2565,29937.04,28068.98,หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
57272.71,50398.58,28,2565,61531.17,52889.08,รวม,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
29724.63,25201.28,29,2565,28315.35,25007.86,ชาย                         ,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
27548.08,25197.3,30,2565,33215.82,27881.22,หญิง                        ,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
-,-,31,2565,-,-,รวม,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
-,-,32,2565,-,-,ชาย                         ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
-,-,33,2565,-,-,หญิง                        ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
419096.0,417998.0,34,2566,420184.0,414172.0,รวม,  สระบุรี                          ,ยอดรวม
234113.0,231325.0,35,2566,235874.0,235907.0,ชาย                         ,  สระบุรี                          ,ยอดรวม
184983.0,186673.0,36,2566,184309.0,178265.0,หญิง                        ,  สระบุรี                          ,ยอดรวม
8492.0,17411.0,37,2566,9731.0,15443.0,รวม,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
4570.0,11707.0,38,2566,5491.0,11938.0,ชาย                         ,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
3922.0,5704.0,39,2566,4240.0,3505.0,หญิง                        ,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
19637.0,17989.0,40,2566,20608.0,17304.0,รวม,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
7180.0,6068.0,41,2566,7794.0,5326.0,ชาย                         ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
12457.0,11921.0,42,2566,12814.0,11978.0,หญิง                        ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
26729.0,20084.0,43,2566,23714.0,22272.0,รวม,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
11578.0,8997.0,44,2566,13634.0,12452.0,ชาย                         ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
15152.0,11088.0,45,2566,10080.0,9820.0,หญิง                        ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
22148.0,23422.0,46,2566,18261.0,23548.0,รวม,  สระบุรี                          ,เสมียน
6177.0,5832.0,47,2566,4723.0,5496.0,ชาย                         ,  สระบุรี                          ,เสมียน
15972.0,17589.0,48,2566,13538.0,18052.0,หญิง                        ,  สระบุรี                          ,เสมียน
85696.0,89045.0,49,2566,79235.0,90651.0,รวม,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
31745.0,38256.0,50,2566,26641.0,39344.0,ชาย                         ,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
53591.0,50790.0,51,2566,52594.0,51307.0,หญิง                        ,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
56814.0,49338.0,52,2566,56600.0,43238.0,รวม,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
35890.0,28136.0,53,2566,36025.0,24899.0,ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
20923.0,21203.0,54,2566,20575.0,18338.0,หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
60199.0,62353.0,55,2566,69326.0,63658.0,รวม,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
45669.0,43972.0,56,2566,49145.0,46150.0,ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
14531.0,18381.0,57,2566,20181.0,17509.0,หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
84890.0,77081.0,58,2566,90482.0,83978.0,รวม,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
61616.0,59391.0,59,2566,66137.0,64270.0,ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
23275.0,17691.0,60,2566,24345.0,19708.0,หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
54490.0,61274.0,61,2566,52228.0,54080.0,รวม,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
29688.0,28967.0,62,2566,26285.0,26031.0,ชาย                         ,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
24802.0,32307.0,63,2566,25942.0,28049.0,หญิง                        ,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
-,-,64,2566,-,-,รวม,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
-,-,65,2566,-,-,ชาย                         ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
-,-,66,2566,-,-,หญิง                        ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
