_id,ปี,จำนวนโรงงาน,ประเภทอุตสาหกรรม
93,2566,0,อุตสาหกรรมกระดาษและผลิตภัณฑ์จากกระดาษ
94,2566,0,อุตสาหกรรมสิ่งพิมพ์
95,2566,3,อุตสาหกรรมเคมี
96,2566,3,อุตสาหกรรมปิโตรเคมีและผลิตภัณฑ์
97,2566,1,อุตสาหกรรมยาง
98,2566,2,อุตสาหกรรมพลาสติก
99,2566,13,อุตสาหกรรมอโลหะ
100,2566,1,อุตสาหกรรมโลหะ
101,2566,1,อุตสาหกรรมผลิตภัณฑ์โลหะ
102,2566,2,อุตสาหกรรมเครื่องจักรกล
103,2566,0,อุตสาหกรรมไฟฟ้า
104,2566,7,อุตสาหกรรมขนส่ง
105,2566,16,อุตสาหกรรมอื่นๆ 
106,2567,75,อุตสาหกรรมการเกษตร 
107,2567,12,อุตสาหกรรมอาหาร 
108,2567,0,อุตสาหกรรมเครื่องดื่ม
109,2567,0,อุตสาหกรรมสิ่งทอ
110,2567,0,อุตสาหกรรมเครื่องแต่งกาย
111,2567,3,อุตสาหกรรมเครื่องหนัง
112,2567,7,อุตสาหกรรมไม้และผลิตภัณฑ์จากไม้ 
113,2567,1,อุตสาหกรรมเฟอร์นิเจอร์และเครื่องเรือน 
114,2567,0,อุตสาหกรรมกระดาษและผลิตภัณฑ์จากกระดาษ
115,2567,0,อุตสาหกรรมสิ่งพิมพ์
116,2567,3,อุตสาหกรรมเคมี
117,2567,4,อุตสาหกรรมปิโตรเคมีและผลิตภัณฑ์
118,2567,1,อุตสาหกรรมยาง
119,2567,2,อุตสาหกรรมพลาสติก
120,2567,13,อุตสาหกรรมอโลหะ
121,2567,1,อุตสาหกรรมโลหะ
122,2567,1,อุตสาหกรรมผลิตภัณฑ์โลหะ
123,2567,2,อุตสาหกรรมเครื่องจักรกล
124,2567,0,อุตสาหกรรมไฟฟ้า
125,2567,7,อุตสาหกรรมขนส่ง
126,2567,14,อุตสาหกรรมอื่นๆ 
127,2568,75,อุตสาหกรรมการเกษตร 
128,2568,12,อุตสาหกรรมอาหาร 
129,2568,0,อุตสาหกรรมเครื่องดื่ม
130,2568,0,อุตสาหกรรมสิ่งทอ
131,2568,0,อุตสาหกรรมเครื่องแต่งกาย
132,2568,3,อุตสาหกรรมเครื่องหนัง
133,2568,7,อุตสาหกรรมไม้และผลิตภัณฑ์จากไม้ 
134,2568,1,อุตสาหกรรมเฟอร์นิเจอร์และเครื่องเรือน 
135,2568,0,อุตสาหกรรมกระดาษและผลิตภัณฑ์จากกระดาษ
136,2568,0,อุตสาหกรรมสิ่งพิมพ์
137,2568,3,อุตสาหกรรมเคมี
