เดือน,ที่มา,_id,ปี,ค่า,รายการ,หน่วย
5,สำนักงานพาณิชย์จังหวัดกระบี่,53,2566,348115.211,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,54,2566,304114.13,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,55,2566,311089.85,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,56,2566,372474.64,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,57,2566,361564.35,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,58,2566,345741.9,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,59,2566,303243.13,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,60,2566,275865.95,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,61,2567,301259.48299999995,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,62,2567,269685.945,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,63,2567,440758.969,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,64,2567,474491.81100000005,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,65,2567,551128.569,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,66,2567,541028.102,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,67,2567,494093.70800000004,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,68,2567,387201.296,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,69,2567,277968.59500000003,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,70,2567,220383.04499999998,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,71,2567,237440.46899999998,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,72,2567,155923.62900000002,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
