2565.0,2568.0,2567.0,2560.0,_id,2557.0,2566.0,2559.0,2561.0,2563.0,2558.0,ตำบล,อำเภอ,รายการ,หน่วยวัด,จังหวัด,2564.0,2562.0
,,,,36,,,,,,,ต.ตะแบกบาน,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,37,,,,,,,ต.สระวานพระยา,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,3,2,1,38,1,2,1,1,1,1,ต.เสิงสาง,อ.เสิงสาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,1
1,1,1,1,39,,1,,1,1,,ต.สระตะเคียน,อ.เสิงสาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,40,,,,,,,ต.โนนสมบูรณ์,อ.เสิงสาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
3,3,3,,41,,3,,,2,,ต.กุลโบสถ์,อ.เสิงสาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,
,,,,42,,,,,,,ต.สุขไพบูลย์,อ.เสิงสาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,43,,,,,,,ต.บานราษฎร์,อ.เสิงสาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,44,,,,,,,ต.เมืองคง,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,45,,,,,,,ต.คูขาด,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,46,,,,,,,ต.เทพาลัย,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,47,,,,,,,ต.ตาจั่น,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,48,,,,,,,ต.บานปรางค์,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,49,,,,,,,ต.หนองมะนาว,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,50,,,,,,,ต.หนองบัว,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,51,,,,,,,ต.โนนเต็ง,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,52,,,,,,,ต.ดอนใหญ่,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,53,,,,,,,ต.ขามสมบูรณ์,อ.คง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,54,,,,,,,,อ.บ้านเหลื่อม,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,55,,,,,,,ต.บ้านเหลื่อม,อ.บ้านเหลื่อม,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,56,,,,,,,ต.วังโพธิ์,อ.บ้านเหลื่อม,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,57,,,,,,,ต.โคกกระเบื้อง,อ.บ้านเหลื่อม,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,58,,,,,,,ต.ช่อระกา,อ.บ้านเหลื่อม,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,59,,,,,,,ต.จักราช,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,60,,,,,,,ต.ทองหลาง,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,61,,,,,,,ต.สีสุก,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,62,,,,,,,ต.หนองขาม,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,63,,,,,,,ต.หนองพลวง,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,64,,,,,,,ต.ศรีละกอ,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,65,,,,,,,ต.คลองเมือง,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,66,1,1,1,1,1,1,ต.หินโคน,อ.จักราช,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,2,1,,67,,1,,,,,ต.กระโทก,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,68,,,,,,,ต.พลับพลา,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,69,1,1,1,1,1,1,ต.ท่าอ่าง,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,70,,,,,,,ต.ทุ่งอรุณ,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,71,,,,,,,ต.ท่าลาดขาว,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,72,,,,,,,ต.ท่าจะหลุง,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,73,,,,,,,ต.ท่าเยี่ยม,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,3,2,1,74,1,2,1,1,1,1,ต.โชคชัย,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,1
,,,,75,,,,,,,ต.ละลมใหม่พัฒนา,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,76,,,,,,,ต.ด่านเกวียน,อ.โชคชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,77,,,,,,,ต.กุดพิมาน,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,78,,,,,,,ต.ด่านขุนทด,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,79,,,,,,,ต.ด่านนอก,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,80,1,1,1,1,1,1,ต.ด่านใน,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
2,2,2,2,81,2,2,2,2,2,2,ต.ตะเคียน,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,2
,,,,82,,,,,,,ต.บ้านเก่า,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,83,,,,,,,ต.บ้านแปรง,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,84,,,,,,,ต.พันชนะ,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,85,,,,,,,ต.สระจรเข้,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,86,,,,,,,ต.หนองกราด,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,87,1,1,1,1,1,1,ต.หนองบัวตะเกียด,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,88,,,,,,,ต.หนองบัวละคร,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,2,2,,89,,2,,1,2,,ต.หินดาด,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,1
6,6,6,2,90,2,6,2,3,4,2,ต.ห้วยบง,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,4,4
,,,,91,,,,,,,ต.โนนเมืองพัฒนา,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,92,,,,,,,ต.หนองไทร,อ.ด่านขุนทด,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,93,,,,,,,ต.โนนไทย,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,94,,1,,1,1,,ต.ด่านจาก,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,95,,,,,,,ต.กำปัง,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,96,,,,,,,ต.สำโรง,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,97,,,,,,,ต.ค้างพลู,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,98,,,,,,,ต.บ้านวัง,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,99,,,,,,,ต.บัลลังก์,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,100,,,,,,,ต.สายออ,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,101,,,,,,,ต.ถนนโพธิ์,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,102,,,,,,,ต.มะค่า,อ.โนนไทย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,103,,,,,,,ต.โนนสูง,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,104,,,,,,,ต.ใหม่,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,105,,,,,,,ต.โตนด,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,106,,,,,,,ต.บิง,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,2,2,,107,,2,,,1,,ต.ดอนชมพู,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,
,,,,108,,,,,,,ต.ธารปราสาท,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,109,,,,,,,ต.หลุมข้าว,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,110,,,,,,,ต.มะค่า,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,111,,,,,,,ต.พลสงคราม,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,112,,,,,,,ต.จันอัด,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,113,,,,,,,ต.ขามเฒ่า,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
