จำนวน,_id,ปี,หน่วยวัด,ไตรมาส,ผู้ไม่อยู่ในแรงงาน
"60,246",38,2564,คน,4,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,39,2564,คน,4,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"9,030",40,2564,คน,4,อื่น ๆ
"37,523",41,2565,คน,1,ทำงานบ้าน
"26,009",42,2565,คน,1,เรียนหนังสือ
"49,092",43,2565,คน,1,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,44,2565,คน,1,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"10,032",45,2565,คน,1,อื่น ๆ
"40,359",46,2565,คน,2,ทำงานบ้าน
"28,183",47,2565,คน,2,เรียนหนังสือ
"49,412",48,2565,คน,2,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,49,2565,คน,2,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"7,152",50,2565,คน,2,อื่น ๆ
"32,741",51,2565,คน,3,ทำงานบ้าน
"28,715",52,2565,คน,3,เรียนหนังสือ
"49,991",53,2565,คน,3,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,54,2565,คน,3,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"6,972",55,2565,คน,3,อื่น ๆ
"45,039",56,2565,คน,4,ทำงานบ้าน
"25,903",57,2565,คน,4,เรียนหนังสือ
"55,112",58,2565,คน,4,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,59,2565,คน,4,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"7,273",60,2565,คน,4,อื่น ๆ
"31,574",61,2566,คน,1,ทำงานบ้าน
"29,593",62,2566,คน,1,เรียนหนังสือ
"49,851",63,2566,คน,1,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,64,2566,คน,1,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"11,464",65,2566,คน,1,อื่น ๆ
"27,219",66,2566,คน,2,ทำงานบ้าน
"28,426",67,2566,คน,2,เรียนหนังสือ
"56,205",68,2566,คน,2,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,69,2566,คน,2,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"9,029",70,2566,คน,2,อื่น ๆ
"33,928",71,2566,คน,3,ทำงานบ้าน
"29,513",72,2566,คน,3,เรียนหนังสือ
"53,607",73,2566,คน,3,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,74,2566,คน,3,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"7,090",75,2566,คน,3,อื่น ๆ
"36,246",76,2566,คน,4,ทำงานบ้าน
"26,831",77,2566,คน,4,เรียนหนังสือ
"53,214",78,2566,คน,4,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,79,2566,คน,4,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"9,084",80,2566,คน,4,อื่น ๆ
"24,920",81,2567,คน,1,ทำงานบ้าน
"32,444",82,2567,คน,1,เรียนหนังสือ
"48,942",83,2567,คน,1,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
"1,978",84,2567,คน,1,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"7,460",85,2567,คน,1,อื่น ๆ
"26,727",86,2567,คน,2,ทำงานบ้าน
"29,018",87,2567,คน,2,เรียนหนังสือ
