จำนวน,ที่มา,_id,ปี,อำเภอ
12,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,55,2565,อำเภอเขาค้อ
114,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,56,2566,อำเภอเมืองเพชรบูรณ์
37,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,57,2566,อำเภอชนแดน
88,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,58,2566,อำเภอหล่มสัก
54,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,59,2566,อำเภอหล่มเก่า
53,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,60,2566,อำเภอวิเชียรบุรี
45,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,61,2566,อำเภอศรีเทพ
68,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,62,2566,อำเภอหนองไผ่
66,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,63,2566,อำเภอบึงสามพัน
1,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,64,2566,อำเภอน้ำหนาว
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,65,2566,อำเภอวังโป่ง
12,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,66,2566,อำเภอเขาค้อ
117,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,67,2567,อำเภอเมืองเพชรบูรณ์
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,68,2567,อำเภอชนแดน
88,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,69,2567,อำเภอหล่มสัก
54,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,70,2567,อำเภอหล่มเก่า
54,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,71,2567,อำเภอวิเชียรบุรี
45,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,72,2567,อำเภอศรีเทพ
69,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,73,2567,อำเภอหนองไผ่
66,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,74,2567,อำเภอบึงสามพัน
1,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,75,2567,อำเภอน้ำหนาว
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,76,2567,อำเภอวังโป่ง
12,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,77,2567,อำเภอเขาค้อ
112,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,78,2568,อำเภอเมืองเพชรบูรณ์
36,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,79,2568,อำเภอชนแดน
93,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,80,2568,อำเภอหล่มสัก
53,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,81,2568,อำเภอหล่มเก่า
54,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,82,2568,อำเภอวิเชียรบุรี
42,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,83,2568,อำเภอศรีเทพ
66,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,84,2568,อำเภอหนองไผ่
64,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,85,2568,อำเภอบึงสามพัน
1,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,86,2568,อำเภอน้ำหนาว
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,87,2568,อำเภอวังโป่ง
11,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,88,2568,อำเภอเขาค้อ
