ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ระดับการศึกษา,ไตรมาส 2,เพศ,จังหวัด
3893.0,5286.0,43,2566,5494.0,ไม่มีการศึกษา,6270.0,รวม,สระบุรี
1800.0,2563.0,44,2566,2060.0,ไม่มีการศึกษา,2210.0,ชาย                         ,สระบุรี
2093.0,2723.0,45,2566,3434.0,ไม่มีการศึกษา,4061.0,หญิง                        ,สระบุรี
47602.0,58470.0,46,2566,48351.0,ต่ำกว่าประถมศึกษา,50968.0,รวม,สระบุรี
22190.0,29759.0,47,2566,22772.0,ต่ำกว่าประถมศึกษา,25809.0,ชาย                         ,สระบุรี
25412.0,28711.0,48,2566,25579.0,ต่ำกว่าประถมศึกษา,25159.0,หญิง                        ,สระบุรี
72905.0,65366.0,49,2566,75933.0,ประถมศึกษา,72233.0,รวม,สระบุรี
43887.0,39192.0,50,2566,43322.0,ประถมศึกษา,44119.0,ชาย                         ,สระบุรี
29017.0,26174.0,51,2566,32611.0,ประถมศึกษา,28114.0,หญิง                        ,สระบุรี
82363.0,80664.0,52,2566,90290.0,มัธยมศึกษาตอนต้น,85878.0,รวม,สระบุรี
52769.0,46307.0,53,2566,58948.0,มัธยมศึกษาตอนต้น,50579.0,ชาย                         ,สระบุรี
29594.0,34357.0,54,2566,31262.0,มัธยมศึกษาตอนต้น,35300.0,หญิง                        ,สระบุรี
73403.0,70144.0,55,2566,65279.0,มัธยมศึกษาตอนปลาย (สายสามัญ),60962.0,รวม,สระบุรี
44359.0,41614.0,56,2566,37378.0,มัธยมศึกษาตอนปลาย (สายสามัญ),34974.0,ชาย                         ,สระบุรี
29044.0,28529.0,57,2566,27901.0,มัธยมศึกษาตอนปลาย (สายสามัญ),25988.0,หญิง                        ,สระบุรี
26785.0,23320.0,58,2566,26405.0,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),25362.0,รวม,สระบุรี
15823.0,16233.0,59,2566,15012.0,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),17789.0,ชาย                         ,สระบุรี
10961.0,7087.0,60,2566,11393.0,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),7573.0,หญิง                        ,สระบุรี
-,246.0,61,2566,-,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),245.0,รวม,สระบุรี
-,246.0,62,2566,-,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),245.0,ชาย                         ,สระบุรี
-,-,63,2566,-,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),-,หญิง                        ,สระบุรี
60999.0,58000.0,64,2566,47611.0,อุดมศึกษา (สายวิชาการ),51551.0,รวม,สระบุรี
20924.0,21464.0,65,2566,17248.0,อุดมศึกษา (สายวิชาการ),22734.0,ชาย                         ,สระบุรี
40075.0,36536.0,66,2566,30363.0,อุดมศึกษา (สายวิชาการ),28817.0,หญิง                        ,สระบุรี
44654.0,50571.0,67,2566,53752.0,อุดมศึกษา (สายวิชาชีพ),55483.0,รวม,สระบุรี
29683.0,31011.0,68,2566,36938.0,อุดมศึกษา (สายวิชาชีพ),36552.0,ชาย                         ,สระบุรี
14971.0,19559.0,69,2566,16814.0,อุดมศึกษา (สายวิชาชีพ),18931.0,หญิง                        ,สระบุรี
5927.0,5930.0,70,2566,7150.0,อุดมศึกษา (สายวิชาการศึกษา),5219.0,รวม,สระบุรี
2111.0,2936.0,71,2566,2197.0,อุดมศึกษา (สายวิชาการศึกษา),896.0,ชาย                         ,สระบุรี
3815.0,2995.0,72,2566,4953.0,อุดมศึกษา (สายวิชาการศึกษา),4323.0,หญิง                        ,สระบุรี
566.0,-,73,2566,-,อื่น ๆ,-,รวม,สระบุรี
566.0,-,74,2566,-,อื่น ๆ,-,ชาย                         ,สระบุรี
-,-,75,2566,-,อื่น ๆ,-,หญิง                        ,สระบุรี
-,-,76,2566,-,ไม่ทราบ,-,รวม,สระบุรี
-,-,77,2566,-,ไม่ทราบ,-,ชาย                         ,สระบุรี
-,-,78,2566,-,ไม่ทราบ,-,หญิง                        ,สระบุรี
