เนื้อที่เพาะปลูก,_id,ปี,หน่วยนับ,อำเภอ,รายการ
200.75,33,2566/2567,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
33206.99,34,2566/2567,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
3586.51,35,2566/2567,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
676.25,36,2566/2567,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
34752.64,37,2566/2567,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
3217.75,38,2566/2567,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
28337.44,39,2566/2567,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
34220.21,40,2566/2567,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
1519.5,41,2566/2567,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
69970.6,42,2566/2567,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
18141.27,43,2566/2567,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
12143.81,44,2566/2567,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
6010.62,45,2566/2567,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
3920.61,46,2567/2568,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
2571.0,47,2567/2568,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
128.75,48,2567/2568,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
31700.94,49,2567/2568,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
963.5,50,2567/2568,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
550.0,51,2567/2568,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
30981.4,52,2567/2568,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
2662.0,53,2567/2568,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
21762.97,54,2567/2568,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
32540.64,55,2567/2568,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
913.0,56,2567/2568,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
60198.12,57,2567/2568,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
9590.29,58,2567/2568,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
6753.81,59,2567/2568,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
3991.5,60,2567/2568,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
6797.28,61,2568/2569,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
3510.98,62,2568/2569,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
229.5,63,2568/2569,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
37289.36,64,2568/2569,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
2210.7,65,2568/2569,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
648.5,66,2568/2569,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
35278.74,67,2568/2569,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
5450.15,68,2568/2569,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
29421.93,69,2568/2569,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
43306.86,70,2568/2569,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
2327.0,71,2568/2569,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
82392.62,72,2568/2569,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
17562.71,73,2568/2569,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
10437.56,74,2568/2569,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
6004.75,75,2568/2569,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
167.0,76,2564/2565,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
708.0,77,2564/2565,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
112.0,78,2564/2565,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
498.0,79,2564/2565,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
14215.0,80,2564/2565,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1386.0,81,2564/2565,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
256.0,82,2564/2565,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,83,2564/2565,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,84,2564/2565,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1295.0,85,2564/2565,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
14771.0,86,2564/2565,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
304.0,87,2564/2565,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
24442.0,88,2564/2565,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
8.0,89,2564/2565,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
5288.0,90,2564/2565,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
95.0,91,2565/2566,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1311.0,92,2565/2566,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
146.0,93,2565/2566,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
50.0,94,2565/2566,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
4677.0,95,2565/2566,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
61.0,96,2565/2566,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
2650.0,97,2565/2566,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,98,2565/2566,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,99,2565/2566,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1052.0,100,2565/2566,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
11809.0,101,2565/2566,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
37.0,102,2565/2566,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
23702.0,103,2565/2566,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,104,2565/2566,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
940.0,105,2565/2566,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,106,2566/2567,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
510.0,107,2566/2567,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,108,2566/2567,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
250.0,109,2566/2567,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
6431.0,110,2566/2567,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,111,2566/2567,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1245.0,112,2566/2567,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,113,2566/2567,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,114,2566/2567,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
475.0,115,2566/2567,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
9578.0,116,2566/2567,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
428.0,117,2566/2567,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
20430.5,118,2566/2567,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,119,2566/2567,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
2666.0,120,2566/2567,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,121,2567/2568,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
621.0,122,2567/2568,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,123,2567/2568,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
28900.0,124,2567/2568,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1452.0,125,2567/2568,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,126,2567/2568,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
150.0,127,2567/2568,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,128,2567/2568,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,129,2567/2568,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1695.0,130,2567/2568,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
6927.0,131,2567/2568,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
47.25,132,2567/2568,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
19343.75,133,2567/2568,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,134,2567/2568,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
2564.0,135,2567/2568,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
355.0,136,2568/2569,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
385.0,137,2568/2569,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
204.25,138,2568/2569,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
80.0,139,2568/2569,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
11558.0,140,2568/2569,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
350.0,141,2568/2569,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
1600.0,142,2568/2569,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,143,2568/2569,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
48.0,144,2568/2569,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
4021.0,145,2568/2569,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
27028.0,146,2568/2569,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
820.0,147,2568/2569,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
24858.75,148,2568/2569,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
0.0,149,2568/2569,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
2566.0,150,2568/2569,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น2
