ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
5,สำนักงานขนส่งจังหวัดมหาสารคาม,53,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถพ่วง,มหาสารคาม,คัน
68,สำนักงานขนส่งจังหวัดมหาสารคาม,54,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์สาธารณะ,มหาสารคาม,คัน
"364,467",สำนักงานขนส่งจังหวัดมหาสารคาม,55,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"53,698",สำนักงานขนส่งจังหวัดมหาสารคาม,56,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
"2,151",สำนักงานขนส่งจังหวัดมหาสารคาม,57,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"68,007",สำนักงานขนส่งจังหวัดมหาสารคาม,58,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,59,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,60,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
31,สำนักงานขนส่งจังหวัดมหาสารคาม,61,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,62,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,63,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,64,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,65,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,66,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"231,484",สำนักงานขนส่งจังหวัดมหาสารคาม,67,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
"8,279",สำนักงานขนส่งจังหวัดมหาสารคาม,68,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถแทรกเตอร์,มหาสารคาม,คัน
99,สำนักงานขนส่งจังหวัดมหาสารคาม,69,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถบดถนน,มหาสารคาม,คัน
658,สำนักงานขนส่งจังหวัดมหาสารคาม,70,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถใช้งานเกษตรกรรม,มหาสารคาม,คัน
5,สำนักงานขนส่งจังหวัดมหาสารคาม,71,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถพ่วง,มหาสารคาม,คัน
55,สำนักงานขนส่งจังหวัดมหาสารคาม,72,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์สาธารณะ,มหาสารคาม,คัน
"374,199",สำนักงานขนส่งจังหวัดมหาสารคาม,73,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"55,759",สำนักงานขนส่งจังหวัดมหาสารคาม,74,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
"2,126",สำนักงานขนส่งจังหวัดมหาสารคาม,75,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"67,688",สำนักงานขนส่งจังหวัดมหาสารคาม,76,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,77,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,78,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
28,สำนักงานขนส่งจังหวัดมหาสารคาม,79,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,80,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,81,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,82,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,83,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,84,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"239,167",สำนักงานขนส่งจังหวัดมหาสารคาม,85,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
"8,620",สำนักงานขนส่งจังหวัดมหาสารคาม,86,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถแทรกเตอร์,มหาสารคาม,คัน
98,สำนักงานขนส่งจังหวัดมหาสารคาม,87,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถบดถนน,มหาสารคาม,คัน
658,สำนักงานขนส่งจังหวัดมหาสารคาม,88,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถใช้งานเกษตรกรรม,มหาสารคาม,คัน
5,สำนักงานขนส่งจังหวัดมหาสารคาม,89,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถพ่วง,มหาสารคาม,คัน
50,สำนักงานขนส่งจังหวัดมหาสารคาม,90,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์สาธารณะ,มหาสารคาม,คัน
"377,727",สำนักงานขนส่งจังหวัดมหาสารคาม,91,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"57,903",สำนักงานขนส่งจังหวัดมหาสารคาม,92,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
"2,101",สำนักงานขนส่งจังหวัดมหาสารคาม,93,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"67,072",สำนักงานขนส่งจังหวัดมหาสารคาม,94,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,95,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,96,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
23,สำนักงานขนส่งจังหวัดมหาสารคาม,97,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,98,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,99,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,100,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,101,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
