รายการชุดข้อมูล,จำนวน,ที่มา,_id,ปี,ตำบล,อำเภอ,จังหวัด,หน่วย
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,120,ระบบสารสนเทศการผลิตทางด้านการเกษตร,28,2561,ห้วยเขย่ง,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1075,ระบบสารสนเทศการผลิตทางด้านการเกษตร,29,2561,สหกรณ์นิคม,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,700,ระบบสารสนเทศการผลิตทางด้านการเกษตร,30,2561,เลาขวัญ,เลาขวัญ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,480,ระบบสารสนเทศการผลิตทางด้านการเกษตร,31,2561,หนองปรือ,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2,ระบบสารสนเทศการผลิตทางด้านการเกษตร,32,2561,หนองปลาไหล,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1420,ระบบสารสนเทศการผลิตทางด้านการเกษตร,33,2561,สมเด็จเจริญ,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1875,ระบบสารสนเทศการผลิตทางด้านการเกษตร,34,2562,แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,60,ระบบสารสนเทศการผลิตทางด้านการเกษตร,35,2562,หนองบัว,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,620,ระบบสารสนเทศการผลิตทางด้านการเกษตร,36,2562,ลาดหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,280,ระบบสารสนเทศการผลิตทางด้านการเกษตร,37,2562,วังด้ง,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,78,ระบบสารสนเทศการผลิตทางด้านการเกษตร,38,2562,ช่องสะเดา,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,60,ระบบสารสนเทศการผลิตทางด้านการเกษตร,39,2562,บ้านเก่า,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,608,ระบบสารสนเทศการผลิตทางด้านการเกษตร,40,2562,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,28,ระบบสารสนเทศการผลิตทางด้านการเกษตร,41,2562,ท่าเสา,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,40,ระบบสารสนเทศการผลิตทางด้านการเกษตร,42,2562,สิงห์,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2150,ระบบสารสนเทศการผลิตทางด้านการเกษตร,43,2562,ไทรโยค,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,137,ระบบสารสนเทศการผลิตทางด้านการเกษตร,44,2562,วังกระแจะ,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,618,ระบบสารสนเทศการผลิตทางด้านการเกษตร,45,2562,ศรีมงคล,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,3580,ระบบสารสนเทศการผลิตทางด้านการเกษตร,46,2562,บ้องตี้,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,940,ระบบสารสนเทศการผลิตทางด้านการเกษตร,47,2562,บ่อพลอย,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,3100,ระบบสารสนเทศการผลิตทางด้านการเกษตร,48,2562,หนองกุ่ม,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,370,ระบบสารสนเทศการผลิตทางด้านการเกษตร,49,2562,หนองรี,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,140,ระบบสารสนเทศการผลิตทางด้านการเกษตร,50,2562,หลุมรัง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,640,ระบบสารสนเทศการผลิตทางด้านการเกษตร,51,2562,ช่องด่าน,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,115,ระบบสารสนเทศการผลิตทางด้านการเกษตร,52,2562,หนองกร่าง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,16072,ระบบสารสนเทศการผลิตทางด้านการเกษตร,53,2562,นาสวน,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,7234,ระบบสารสนเทศการผลิตทางด้านการเกษตร,54,2562,ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,593,ระบบสารสนเทศการผลิตทางด้านการเกษตร,55,2562,หนองเป็ด,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1348,ระบบสารสนเทศการผลิตทางด้านการเกษตร,56,2562,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,12239,ระบบสารสนเทศการผลิตทางด้านการเกษตร,57,2562,เขาโจด,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,10749,ระบบสารสนเทศการผลิตทางด้านการเกษตร,58,2562,แม่กระบุง,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2,ระบบสารสนเทศการผลิตทางด้านการเกษตร,59,2562,ตะคร้ำเอน,ท่ามะกา,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,310,ระบบสารสนเทศการผลิตทางด้านการเกษตร,60,2562,หินดาด,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1000,ระบบสารสนเทศการผลิตทางด้านการเกษตร,61,2562,ลิ่นถิ่น,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,4154,ระบบสารสนเทศการผลิตทางด้านการเกษตร,62,2562,ชะแล,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,115,ระบบสารสนเทศการผลิตทางด้านการเกษตร,63,2562,ห้วยเขย่ง,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,510,ระบบสารสนเทศการผลิตทางด้านการเกษตร,64,2562,สหกรณ์นิคม,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,800,ระบบสารสนเทศการผลิตทางด้านการเกษตร,65,2562,เลาขวัญ,เลาขวัญ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,35,ระบบสารสนเทศการผลิตทางด้านการเกษตร,66,2562,กลอนโด,ด่านมะขามเตี้ย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,10,ระบบสารสนเทศการผลิตทางด้านการเกษตร,67,2562,จรเข้เผือก,ด่านมะขามเตี้ย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1422,ระบบสารสนเทศการผลิตทางด้านการเกษตร,68,2562,หนองปรือ,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,37,ระบบสารสนเทศการผลิตทางด้านการเกษตร,69,2562,หนองปลาไหล,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1374,ระบบสารสนเทศการผลิตทางด้านการเกษตร,70,2562,สมเด็จเจริญ,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,26,ระบบสารสนเทศการผลิตทางด้านการเกษตร,71,2563,ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,815,ระบบสารสนเทศการผลิตทางด้านการเกษตร,72,2563,แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,440,ระบบสารสนเทศการผลิตทางด้านการเกษตร,73,2563,หนองบัว,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,250,ระบบสารสนเทศการผลิตทางด้านการเกษตร,74,2563,ลาดหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,500,ระบบสารสนเทศการผลิตทางด้านการเกษตร,75,2563,วังด้ง,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,133,ระบบสารสนเทศการผลิตทางด้านการเกษตร,76,2563,ช่องสะเดา,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,123.75,ระบบสารสนเทศการผลิตทางด้านการเกษตร,77,2563,บ้านเก่า,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1335,ระบบสารสนเทศการผลิตทางด้านการเกษตร,78,2563,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,201,ระบบสารสนเทศการผลิตทางด้านการเกษตร,79,2563,ท่าเสา,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,811,ระบบสารสนเทศการผลิตทางด้านการเกษตร,80,2563,สิงห์,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1789,ระบบสารสนเทศการผลิตทางด้านการเกษตร,81,2563,ไทรโยค,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,224,ระบบสารสนเทศการผลิตทางด้านการเกษตร,82,2563,วังกระแจะ,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1234,ระบบสารสนเทศการผลิตทางด้านการเกษตร,83,2563,ศรีมงคล,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,4402,ระบบสารสนเทศการผลิตทางด้านการเกษตร,84,2563,บ้องตี้,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2100,ระบบสารสนเทศการผลิตทางด้านการเกษตร,85,2563,บ่อพลอย,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2115,ระบบสารสนเทศการผลิตทางด้านการเกษตร,86,2563,หนองกุ่ม,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,750,ระบบสารสนเทศการผลิตทางด้านการเกษตร,87,2563,หนองรี,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,288,ระบบสารสนเทศการผลิตทางด้านการเกษตร,88,2563,หลุมรัง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2400,ระบบสารสนเทศการผลิตทางด้านการเกษตร,89,2563,ช่องด่าน,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,250,ระบบสารสนเทศการผลิตทางด้านการเกษตร,90,2563,หนองกร่าง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,17000,ระบบสารสนเทศการผลิตทางด้านการเกษตร,91,2563,นาสวน,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,7850,ระบบสารสนเทศการผลิตทางด้านการเกษตร,92,2563,ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,720,ระบบสารสนเทศการผลิตทางด้านการเกษตร,93,2563,หนองเป็ด,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1349,ระบบสารสนเทศการผลิตทางด้านการเกษตร,94,2563,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,12330,ระบบสารสนเทศการผลิตทางด้านการเกษตร,95,2563,เขาโจด,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,9615,ระบบสารสนเทศการผลิตทางด้านการเกษตร,96,2563,แม่กระบุง,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,36,ระบบสารสนเทศการผลิตทางด้านการเกษตร,97,2563,ตะคร้ำเอน,ท่ามะกา,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,20,ระบบสารสนเทศการผลิตทางด้านการเกษตร,98,2563,อุโลกสี่หมื่น,ท่ามะกา,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,50,ระบบสารสนเทศการผลิตทางด้านการเกษตร,99,2563,รางสาลี่,ท่าม่วง,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,280,ระบบสารสนเทศการผลิตทางด้านการเกษตร,100,2563,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,200,ระบบสารสนเทศการผลิตทางด้านการเกษตร,101,2563,หินดาด,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,300,ระบบสารสนเทศการผลิตทางด้านการเกษตร,102,2563,ลิ่นถิ่น,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,5550,ระบบสารสนเทศการผลิตทางด้านการเกษตร,103,2563,ชะแล,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,96,ระบบสารสนเทศการผลิตทางด้านการเกษตร,104,2563,สหกรณ์นิคม,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2565.59,ระบบสารสนเทศการผลิตทางด้านการเกษตร,105,2563,เลาขวัญ,เลาขวัญ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1166,ระบบสารสนเทศการผลิตทางด้านการเกษตร,106,2563,หนองประดู่,เลาขวัญ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,117,ระบบสารสนเทศการผลิตทางด้านการเกษตร,107,2563,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,230,ระบบสารสนเทศการผลิตทางด้านการเกษตร,108,2563,กลอนโด,ด่านมะขามเตี้ย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,175,ระบบสารสนเทศการผลิตทางด้านการเกษตร,109,2563,จรเข้เผือก,ด่านมะขามเตี้ย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,130,ระบบสารสนเทศการผลิตทางด้านการเกษตร,110,2563,หนองไผ่,ด่านมะขามเตี้ย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1175,ระบบสารสนเทศการผลิตทางด้านการเกษตร,111,2563,หนองปรือ,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,48,ระบบสารสนเทศการผลิตทางด้านการเกษตร,112,2563,หนองปลาไหล,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2087,ระบบสารสนเทศการผลิตทางด้านการเกษตร,113,2563,สมเด็จเจริญ,หนองปรือ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,867,ระบบสารสนเทศการผลิตทางด้านการเกษตร,114,2564,แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,50,ระบบสารสนเทศการผลิตทางด้านการเกษตร,115,2564,หนองบัว,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,65,ระบบสารสนเทศการผลิตทางด้านการเกษตร,116,2564,ลาดหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,300,ระบบสารสนเทศการผลิตทางด้านการเกษตร,117,2564,วังด้ง,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,83,ระบบสารสนเทศการผลิตทางด้านการเกษตร,118,2564,ช่องสะเดา,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,157,ระบบสารสนเทศการผลิตทางด้านการเกษตร,119,2564,บ้านเก่า,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,577,ระบบสารสนเทศการผลิตทางด้านการเกษตร,120,2564,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,86,ระบบสารสนเทศการผลิตทางด้านการเกษตร,121,2564,ท่าเสา,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,293,ระบบสารสนเทศการผลิตทางด้านการเกษตร,122,2564,สิงห์,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1010,ระบบสารสนเทศการผลิตทางด้านการเกษตร,123,2564,ไทรโยค,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,121,ระบบสารสนเทศการผลิตทางด้านการเกษตร,124,2564,วังกระแจะ,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,583,ระบบสารสนเทศการผลิตทางด้านการเกษตร,125,2564,ศรีมงคล,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,4297,ระบบสารสนเทศการผลิตทางด้านการเกษตร,126,2564,บ้องตี้,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2350,ระบบสารสนเทศการผลิตทางด้านการเกษตร,127,2564,บ่อพลอย,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2175,ระบบสารสนเทศการผลิตทางด้านการเกษตร,128,2564,หนองกุ่ม,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,478,ระบบสารสนเทศการผลิตทางด้านการเกษตร,129,2564,หนองรี,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,212,ระบบสารสนเทศการผลิตทางด้านการเกษตร,130,2564,หลุมรัง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1612,ระบบสารสนเทศการผลิตทางด้านการเกษตร,131,2564,ช่องด่าน,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,170,ระบบสารสนเทศการผลิตทางด้านการเกษตร,132,2564,หนองกร่าง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,17100,ระบบสารสนเทศการผลิตทางด้านการเกษตร,133,2564,นาสวน,ศรีสวัสดิ์,กาญจนบุรี,ไร่
