FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
ลำปาง-เชียงใหม่,20520300125427,จ3-34(2)-1/42ลป,ห้างฉัตร,ลำปาง,บริษัท บี พี เอส มิลคอม จำกัด,1,534,โรงงานประดิษฐกรรมไม้ บี พี เอส,ผลิตวงกบประตู-หน้าต่าง ปาร์เก้ โมเสก ปูพื้น โต๊ะ เก้าอี้ ไม้ประสาน ไม้ยาง เฟอร์นิเจอร์ ชิ้นส่วนของบ้านเรือน ฯลฯ,ดำเนินกิจการ,2023-04-18T21:00:05,99.39263,136,18.30934,NULL,ปงยางคก
ลำปาง-เชียงใหม่,10520000225420,3-10(3)-2/42ลป,ห้างฉัตร,ลำปาง,บริษัท เฟเวอริทฟู้ดอินดัสเทรียล จำกัด,10,535,บริษัท เฟเวอริท ฟู้ด อินดัสเทรียลจำกัด,ทำเส้นก๋วยเตี๋ยวและแผ่นก๋วยเต๋ยว,ดำเนินกิจการ,2023-04-18T21:00:05,99.32317,62,18.35097,-,เวียงตาล
-,20520000125438,จ3-9(1)-1/43ลป,ห้างฉัตร,ลำปาง,นางจันทร์เพ็ญ แสงบุญเรือง,3,536,โรงสีข้าวแสงรุ่งเรือง 2,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน,ดำเนินกิจการ,2023-04-18T21:00:05,99.3542,437,18.33468,-,ห้างฉัตร
เชียงใหม่-ดอยสะเก็ด,20500200125420,จ3-9(4)-1/42ชม,ดอยสะเก็ด,เชียงใหม่,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์ถั่วเหลืองป่าลาน,3,537,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์อุตสาหกรรมถั่วเหลืองป่าลาน,ทำผลิตภัณฑ์จากถั่วเหลือง เช่น เต้าหู้แผ่น เต้าหู้หลอด,ดำเนินกิจการ,2023-04-18T21:00:05,99.10723,68,18.82558,-,ป่าลาน
-,20570000225431,จ3-12(1)-2/43ชร,แม่ฟ้าหลวง,เชียงราย,บริษัท ชาฉุยฟง จำกัด,5,538,บริษัท ชาฉุยฟง จำกัด,ทำใบชาแห้งและใบชาผง,ดำเนินกิจการ,2023-04-18T21:00:05,99.60843,2/1,20.32739,บ้านพญาไพรลิทู,เทอดไทย
-,20500000225420,จ3-3(4)-2/42ชม,แม่อาย,เชียงใหม่,นายประดับ จิตรวัฒนแพทย์,6,539,ท่าทรายสหะชัยรุ่งเรือง,ดูดร่อนและคัดกรวดทราย (เรือสินพัฒนา ทะเบียนเรือเลขที่ 3773 00212),ดำเนินกิจการ,2023-04-18T21:00:05,99.42734,-,20.0638,-,ท่าตอน
ยันตรกิจโกศล,20550100125434,จ3-14-1/43นน,เมืองน่าน,น่าน,นายประพันธ์ มูลน้อย,4,540,โรงน้ำแข็งตั้งจิตนุสรณ์,ทำน้ำแข็งก้อนเล็ก ได้วันละ 15 ตัน,ดำเนินกิจการ,2023-04-18T21:00:05,100.76231,137,18.76226,NULL,ดู่ใต้
ยันตรกิจโกศล,20550000225433,จ3-14-2/43นน,เมืองน่าน,น่าน,นายประพันธ์ มูลน้อย,4,541,โรงน้ำแข็งตั้งจิตนุสรณ์,ทำน้ำแข็งก้อนเล็ก,ดำเนินกิจการ,2023-04-18T21:00:05,100.76231,137,18.76224,NULL,ดู่ใต้
พหลโยธิน,20570500125420,จ3-58(1)-1/42ชร,พาน,เชียงราย,ห้างหุ้นส่วนจำกัด หลิ่มเซ่งพงษ์,2,542,พานคอนกรีต,ทำผลิตภัณฑ์คอนกรีตต่างๆ,ดำเนินกิจการ,2023-04-18T21:00:05,99.7528,265,19.56587,NULL,เมืองพาน
NULL,20520200125428,จ3-14-1/42ลป,เกาะคา,ลำปาง,ห้างหุ้นส่วนจำกัด เกาะคาพีเอส,11,543,ห้างหุ้นส่วนจำกัด เกาะคาพีเอส,ผลิตน้ำแข็งหลอด,ดำเนินกิจการ,2023-04-18T21:00:05,99.39459,207/5,18.18254,NULL,ท่าผา
-,20540100125427,จ3-3(4)-1/42พร,เมืองแพร่,แพร่,นายสวัสดิ์ แนวณรงค์,2,544,ท่าทรายพงษ์สวัสดิ์,ดูดกรวด ทราย,ดำเนินกิจการ,2023-04-18T21:00:05,100.14473,-,18.19658,-,แม่ยม
NULL,20570000425429,จ3-9(1)-4/42ชร,พาน,เชียงราย,สหกรณ์การเกษตรเมืองพาน จำกัด,1,545,โรงสีสหกรณ์การเกษตรเมืองพาน จำกัด,สีข้าว,ดำเนินกิจการ,2023-04-18T21:00:05,99.74175,981,19.55873,NULL,เมืองพาน
พหลโยธิน,20570000325421,จ3-2(1)-3/42ชร,พาน,เชียงราย,สหกรณ์การเกษตรเมืองพาน จำกัด,2,546,สหกรณ์การเกษตรเมืองพาน จำกัด,อบเมล็ดพันธุ์พืช,ดำเนินกิจการ,2023-04-18T21:00:05,99.75062,981,19.56289,NULL,เมืองพาน
พหลโยธิน,20570400125439,จ3-56-1/43ชร,แม่จัน,เชียงราย,นายบุญส่ง อินพรหม,1,547,โรงอิฐทวีศักดิ์,ผลิตอิฐดินเผา,ดำเนินกิจการ,2023-04-18T21:00:05,9.8489306908,NULL,20.243643170821,บ้านป่ากว๋าว,แม่ไร่
ยันตรกิจโกศล,20540200225432,จ3-95(1)-2/43พร,สูงเม่น,แพร่,บริษัท วี กรุ๊ป พี เอ็น ออโตเซลส์ จำกัด,1,548,บริษัท วี กรุ๊ป พี เอ็น ออโตเซลส์ จำกัด,ซ่อมรถยนต์ ตั้งศูนย์ถ่วงล้อและล้างอัดฉีดรถยนต์,ดำเนินกิจการ,2023-04-18T21:00:05,100.13768,57/6,18.11235,NULL,เวียงทอง
NULL,20500300125411,จ3-8(2)-1/41ชม,สารภี,เชียงใหม่,นางสาวแสงเดือน เหลืองทา,2,549,บริษัท ซิงถัง จำกัด,อบพืชผลทางการเกษตร,ดำเนินกิจการ,2023-04-18T21:00:05,98.99081,99/2,18.68185,NULL,ขัวมุง
