﻿year,work_status,quarter,_id,region,value,unit,source
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,131,กรุงเทพมหานคร,284.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 4,132,กรุงเทพมหานคร,1.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 4,133,ภาคกลาง,332.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 4,134,ภาคกลาง,1115.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 4,135,ภาคกลาง,6915.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 4,136,ภาคกลาง,3535.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,137,ภาคกลาง,1430.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 4,138,ภาคกลาง,0.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 4,139,ภาคเหนือ,110.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 4,140,ภาคเหนือ,627.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 4,141,ภาคเหนือ,1313.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 4,142,ภาคเหนือ,2754.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,143,ภาคเหนือ,1401.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 4,144,ภาคเหนือ,1.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 4,145,ภาคตะวันออกเฉียงเหนือ,107.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 4,146,ภาคตะวันออกเฉียงเหนือ,915.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 4,147,ภาคตะวันออกเฉียงเหนือ,1781.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 4,148,ภาคตะวันออกเฉียงเหนือ,4347.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,149,ภาคตะวันออกเฉียงเหนือ,2474.7,พันคน,สำนักงานสถิติแห่งชาติ
