จำนวน,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
211,สำนักงานประกันสังคมจังหวัด,52,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลพบุรี,คน
447,สำนักงานประกันสังคมจังหวัด,53,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำปาง,คน
566,สำนักงานประกันสังคมจังหวัด,54,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำพูน,คน
395,สำนักงานประกันสังคมจังหวัด,55,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เลย,คน
426,สำนักงานประกันสังคมจังหวัด,56,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ศรีสะเกษ,คน
326,สำนักงานประกันสังคมจังหวัด,57,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สกลนคร,คน
326,สำนักงานประกันสังคมจังหวัด,58,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สงขลา,คน
148,สำนักงานประกันสังคมจังหวัด,59,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สตูล,คน
807,สำนักงานประกันสังคมจังหวัด,60,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรปราการ,คน
135,สำนักงานประกันสังคมจังหวัด,61,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสงคราม,คน
340,สำนักงานประกันสังคมจังหวัด,62,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสาคร,คน
191,สำนักงานประกันสังคมจังหวัด,63,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระแก้ว,คน
309,สำนักงานประกันสังคมจังหวัด,64,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระบุรี,คน
155,สำนักงานประกันสังคมจังหวัด,65,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สิงห์บุรี,คน
355,สำนักงานประกันสังคมจังหวัด,66,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุโขทัย,คน
249,สำนักงานประกันสังคมจังหวัด,67,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุพรรณบุรี,คน
353,สำนักงานประกันสังคมจังหวัด,68,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุราษฎร์ธานี,คน
354,สำนักงานประกันสังคมจังหวัด,69,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุรินทร์,คน
179,สำนักงานประกันสังคมจังหวัด,70,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองคาย,คน
196,สำนักงานประกันสังคมจังหวัด,71,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองบัวลำภู,คน
120,สำนักงานประกันสังคมจังหวัด,72,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อ่างทอง,คน
167,สำนักงานประกันสังคมจังหวัด,73,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อำนาจเจริญ,คน
555,สำนักงานประกันสังคมจังหวัด,74,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุดรธานี,คน
355,สำนักงานประกันสังคมจังหวัด,75,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุตรดิตถ์,คน
211,สำนักงานประกันสังคมจังหวัด,76,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุทัยธานี,คน
372,สำนักงานประกันสังคมจังหวัด,77,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุบลราชธานี,คน
2,สำนักงานประกันสังคมจังหวัด,78,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,กระบี่,คน
,สำนักงานประกันสังคมจังหวัด,79,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,กรุงเทพมหานคร,คน
8,สำนักงานประกันสังคมจังหวัด,80,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,กาญจนบุรี,คน
1,สำนักงานประกันสังคมจังหวัด,81,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,กาฬสินธุ์,คน
11,สำนักงานประกันสังคมจังหวัด,82,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,กำแพงเพชร,คน
19,สำนักงานประกันสังคมจังหวัด,83,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ขอนแก่น,คน
8,สำนักงานประกันสังคมจังหวัด,84,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,จันทบุรี,คน
38,สำนักงานประกันสังคมจังหวัด,85,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ฉะเชิงเทรา,คน
117,สำนักงานประกันสังคมจังหวัด,86,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ชลบุรี,คน
1,สำนักงานประกันสังคมจังหวัด,87,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ชัยนาท,คน
8,สำนักงานประกันสังคมจังหวัด,88,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ชัยภูมิ,คน
5,สำนักงานประกันสังคมจังหวัด,89,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ชุมพร,คน
12,สำนักงานประกันสังคมจังหวัด,90,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,เชียงราย,คน
79,สำนักงานประกันสังคมจังหวัด,91,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,เชียงใหม่,คน
8,สำนักงานประกันสังคมจังหวัด,92,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ตรัง,คน
4,สำนักงานประกันสังคมจังหวัด,93,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ตราด,คน
2,สำนักงานประกันสังคมจังหวัด,94,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ตาก,คน
9,สำนักงานประกันสังคมจังหวัด,95,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นครนายก,คน
33,สำนักงานประกันสังคมจังหวัด,96,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นครปฐม,คน
0,สำนักงานประกันสังคมจังหวัด,97,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นครพนม,คน
44,สำนักงานประกันสังคมจังหวัด,98,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นครราชสีมา,คน
5,สำนักงานประกันสังคมจังหวัด,99,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นครศรีธรรมราช,คน
16,สำนักงานประกันสังคมจังหวัด,100,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นครสวรรค์,คน
85,สำนักงานประกันสังคมจังหวัด,101,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นนทบุรี,คน
1,สำนักงานประกันสังคมจังหวัด,102,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,นราธิวาส,คน
5,สำนักงานประกันสังคมจังหวัด,103,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,น่าน,คน
1,สำนักงานประกันสังคมจังหวัด,104,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,บึงกาฬ,คน
5,สำนักงานประกันสังคมจังหวัด,105,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,บุรีรัมย์,คน
82,สำนักงานประกันสังคมจังหวัด,106,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ปทุมธานี,คน
3,สำนักงานประกันสังคมจังหวัด,107,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ประจวบคีรีขันธ์,คน
11,สำนักงานประกันสังคมจังหวัด,108,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ปราจีนบุรี,คน
6,สำนักงานประกันสังคมจังหวัด,109,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ปัตตานี,คน
null,สำนักงานประกันสังคมจังหวัด,110,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,พระนครศรีอยุธยา,คน
3,สำนักงานประกันสังคมจังหวัด,111,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,พะเยา,คน
3,สำนักงานประกันสังคมจังหวัด,112,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,พังงา,คน
1,สำนักงานประกันสังคมจังหวัด,113,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,พัทลุง,คน
2,สำนักงานประกันสังคมจังหวัด,114,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,พิจิตร,คน
7,สำนักงานประกันสังคมจังหวัด,115,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,พิษณุโลก,คน
6,สำนักงานประกันสังคมจังหวัด,116,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,เพชรบุรี,คน
10,สำนักงานประกันสังคมจังหวัด,117,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,เพชรบูรณ์,คน
4,สำนักงานประกันสังคมจังหวัด,118,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,แพร่,คน
28,สำนักงานประกันสังคมจังหวัด,119,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ภูเก็ต,คน
2,สำนักงานประกันสังคมจังหวัด,120,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,มหาสารคาม,คน
5,สำนักงานประกันสังคมจังหวัด,121,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,มุกดาหาร,คน
0,สำนักงานประกันสังคมจังหวัด,122,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,แม่ฮ่องสอน,คน
0,สำนักงานประกันสังคมจังหวัด,123,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ยโสธร,คน
2,สำนักงานประกันสังคมจังหวัด,124,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ยะลา,คน
6,สำนักงานประกันสังคมจังหวัด,125,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ร้อยเอ็ด,คน
1,สำนักงานประกันสังคมจังหวัด,126,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ระนอง,คน
58,สำนักงานประกันสังคมจังหวัด,127,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ระยอง,คน
13,สำนักงานประกันสังคมจังหวัด,128,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ราชบุรี,คน
4,สำนักงานประกันสังคมจังหวัด,129,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ลพบุรี,คน
7,สำนักงานประกันสังคมจังหวัด,130,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ลำปาง,คน
9,สำนักงานประกันสังคมจังหวัด,131,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ลำพูน,คน
4,สำนักงานประกันสังคมจังหวัด,132,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,เลย,คน
7,สำนักงานประกันสังคมจังหวัด,133,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,ศรีสะเกษ,คน
4,สำนักงานประกันสังคมจังหวัด,134,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สกลนคร,คน
20,สำนักงานประกันสังคมจังหวัด,135,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สงขลา,คน
3,สำนักงานประกันสังคมจังหวัด,136,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สตูล,คน
104,สำนักงานประกันสังคมจังหวัด,137,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สมุทรปราการ,คน
9,สำนักงานประกันสังคมจังหวัด,138,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สมุทรสงคราม,คน
52,สำนักงานประกันสังคมจังหวัด,139,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สมุทรสาคร,คน
3,สำนักงานประกันสังคมจังหวัด,140,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สระแก้ว,คน
27,สำนักงานประกันสังคมจังหวัด,141,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สระบุรี,คน
2,สำนักงานประกันสังคมจังหวัด,142,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สิงห์บุรี,คน
3,สำนักงานประกันสังคมจังหวัด,143,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สุโขทัย,คน
7,สำนักงานประกันสังคมจังหวัด,144,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สุพรรณบุรี,คน
13,สำนักงานประกันสังคมจังหวัด,145,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สุราษฎร์ธานี,คน
3,สำนักงานประกันสังคมจังหวัด,146,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,สุรินทร์,คน
2,สำนักงานประกันสังคมจังหวัด,147,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,หนองคาย,คน
0,สำนักงานประกันสังคมจังหวัด,148,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,หนองบัวลำภู,คน
2,สำนักงานประกันสังคมจังหวัด,149,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,อ่างทอง,คน
2,สำนักงานประกันสังคมจังหวัด,150,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,อำนาจเจริญ,คน
13,สำนักงานประกันสังคมจังหวัด,151,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,อุดรธานี,คน
2,สำนักงานประกันสังคมจังหวัด,152,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,อุตรดิตถ์,คน
0,สำนักงานประกันสังคมจังหวัด,153,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,อุทัยธานี,คน
7,สำนักงานประกันสังคมจังหวัด,154,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,อุบลราชธานี,คน
4,สำนักงานประกันสังคมจังหวัด,155,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,กระบี่,คน
,สำนักงานประกันสังคมจังหวัด,156,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,กรุงเทพมหานคร,คน
26,สำนักงานประกันสังคมจังหวัด,157,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,กาญจนบุรี,คน
2,สำนักงานประกันสังคมจังหวัด,158,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,กาฬสินธุ์,คน
8,สำนักงานประกันสังคมจังหวัด,159,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,กำแพงเพชร,คน
30,สำนักงานประกันสังคมจังหวัด,160,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ขอนแก่น,คน
13,สำนักงานประกันสังคมจังหวัด,161,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,จันทบุรี,คน
42,สำนักงานประกันสังคมจังหวัด,162,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ฉะเชิงเทรา,คน
181,สำนักงานประกันสังคมจังหวัด,163,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ชลบุรี,คน
4,สำนักงานประกันสังคมจังหวัด,164,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ชัยนาท,คน
11,สำนักงานประกันสังคมจังหวัด,165,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ชัยภูมิ,คน
7,สำนักงานประกันสังคมจังหวัด,166,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ชุมพร,คน
40,สำนักงานประกันสังคมจังหวัด,167,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,เชียงราย,คน
326,สำนักงานประกันสังคมจังหวัด,168,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,เชียงใหม่,คน
7,สำนักงานประกันสังคมจังหวัด,169,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ตรัง,คน
5,สำนักงานประกันสังคมจังหวัด,170,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ตราด,คน
9,สำนักงานประกันสังคมจังหวัด,171,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,ตาก,คน
