จำนวน,ชนิดพืช,_id,ปี,อำเภอ
223.92,อะโวคาโด,146,2567,อุ้มผาง
35.08,อะโวคาโด,147,2567,วังเจ้า
30.25,ทุเรียน,148,2567,เมืองตาก
81.04,ทุเรียน,149,2567,บ้านตาก
80.67,ทุเรียน,150,2567,สามเงา
81.75,ทุเรียน,151,2567,แม่ระมาด
35.39,ทุเรียน,152,2567,ท่าสองยาง
289.08,ทุเรียน,153,2567,แม่สอด
"2,209.19",ทุเรียน,154,2567,พบพระ
723.02,ทุเรียน,155,2567,อุ้มผาง
43,ทุเรียน,156,2567,วังเจ้า
5,กล้วยหอมทอง,157,2567,เมืองตาก
1.5,กล้วยหอมทอง,158,2567,บ้านตาก
3.88,กล้วยหอมทอง,159,2567,สามเงา
1,กล้วยหอมทอง,160,2567,แม่ระมาด
0.5,กล้วยหอมทอง,161,2567,ท่าสองยาง
0.75,กล้วยหอมทอง,162,2567,แม่สอด
674.58,กล้วยหอมทอง,163,2567,พบพระ
8,กล้วยหอมทอง,164,2567,อุ้มผาง
1,กล้วยหอมทอง,165,2567,วังเจ้า
"84,418.89",ข้าว,166,2566,เมืองตาก
"28,521.33",ข้าว,167,2566,บ้านตาก
"20,411.77",ข้าว,168,2566,สามเงา
"49,492.76",ข้าว,169,2566,แม่ระมาด
"61,586.40",ข้าว,170,2566,ท่าสองยาง
"49,809.65",ข้าว,171,2566,แม่สอด
"15,450.82",ข้าว,172,2566,พบพระ
"51,572.13",ข้าว,173,2566,อุ้มผาง
"16,026.84",ข้าว,174,2566,วังเจ้า
"35,307.78",ข้าวโพดเลี้ยงสัตว์,175,2566,เมืองตาก
"19,078.94",ข้าวโพดเลี้ยงสัตว์,176,2566,บ้านตาก
"40,539.80",ข้าวโพดเลี้ยงสัตว์,177,2566,สามเงา
"119,376.36",ข้าวโพดเลี้ยงสัตว์,178,2566,แม่ระมาด
"46,315.34",ข้าวโพดเลี้ยงสัตว์,179,2566,ท่าสองยาง
"119,208.26",ข้าวโพดเลี้ยงสัตว์,180,2566,แม่สอด
"50,410.79",ข้าวโพดเลี้ยงสัตว์,181,2566,พบพระ
"91,156.13",ข้าวโพดเลี้ยงสัตว์,182,2566,อุ้มผาง
"25,386.57",ข้าวโพดเลี้ยงสัตว์,183,2566,วังเจ้า
"49,482.07",มันสำปะหลัง,184,2566,เมืองตาก
"4,603.64",มันสำปะหลัง,185,2566,บ้านตาก
"8,272.67",มันสำปะหลัง,186,2566,สามเงา
"19,000.73",มันสำปะหลัง,187,2566,แม่ระมาด
"11,939.09",มันสำปะหลัง,188,2566,ท่าสองยาง
"12,793.76",มันสำปะหลัง,189,2566,แม่สอด
"15,352.65",มันสำปะหลัง,190,2566,พบพระ
"15,125.96",มันสำปะหลัง,191,2566,อุ้มผาง
"30,415.29",มันสำปะหลัง,192,2566,วังเจ้า
502.78,อ้อยโรงงาน,193,2566,เมืองตาก
"1,735.13",อ้อยโรงงาน,194,2566,สามเงา
"14,447.35",อ้อยโรงงาน,195,2566,แม่ระมาด
"23,524.31",อ้อยโรงงาน,196,2566,แม่สอด
250.46,อ้อยโรงงาน,197,2566,พบพระ
8,อ้อยโรงงาน,198,2566,อุ้มผาง
"3,283.30",อ้อยโรงงาน,199,2566,วังเจ้า
177.25,กาแฟ,200,2566,เมืองตาก
13.5,กาแฟ,201,2566,สามเงา
18.5,กาแฟ,202,2566,แม่ระมาด
24.07,กาแฟ,203,2566,ท่าสองยาง
"1,682.78",กาแฟ,204,2566,แม่สอด
106.5,กาแฟ,205,2566,พบพระ
"1,381.95",กาแฟ,206,2566,อุ้มผาง
11,ยางพารา,207,2566,เมืองตาก
704.25,ยางพารา,208,2566,แม่ระมาด
186.69,ยางพารา,209,2566,ท่าสองยาง
