ค่าข้อมูล,ที่มา,_id,ชื่อชุดข้อมูล,ปี,อำเภอ,หน่วยวัด
25,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,52,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอบึงสามพัน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,53,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอน้ำหนาว,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,54,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอวังโป่ง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,55,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอเขาค้อ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,56,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอเมืองเพชรบูรณ์,แห่ง
18,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,57,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอชนแดน,แห่ง
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,58,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอหล่มสัก,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,59,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอหล่มเก่า,แห่ง
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,60,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอวิเชียรบุรี,แห่ง
13,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,61,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอศรีเทพ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,62,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอหนองไผ่,แห่ง
25,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,63,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอบึงสามพัน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,64,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอน้ำหนาว,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,65,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอวังโป่ง,แห่ง
