การว่างงาน,_id,ปี,หญิง,รวม,ชาย,ไตรมาส
อัตราการว่างงาน (%),29,2564,2.2,2.4,2.6,ไตรมาสที่ 3
อัตราการว่างงาน (%),30,2564,1.8,1.9,1.9,ไตรมาสที่ 4
ผู้ว่างงาน,31,2565,"1,729","4,291","2,562",เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,32,2565,"1,921","4,777","2,856",ไตรมาสที่ 1
ผู้ว่างงาน,33,2565,"1,006","2,737","1,731",ไตรมาสที่ 2
ผู้ว่างงาน,34,2565,"1,890","4,426","2,536",ไตรมาสที่ 3
ผู้ว่างงาน,35,2565,"2,100","5,226","3,126",ไตรมาสที่ 4
อัตราการว่างงาน (%),36,2565,2.2,2.5,2.8,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),37,2565,2.5,2.8,3.1,ไตรมาสที่ 1
อัตราการว่างงาน (%),38,2565,1.3,1.6,1.9,ไตรมาสที่ 2
อัตราการว่างงาน (%),39,2565,2.4,2.6,2.9,ไตรมาสที่ 3
อัตราการว่างงาน (%),40,2565,2.7,3.1,3.5,ไตรมาสที่ 4
ผู้ว่างงาน,41,2566," 1,157 "," 2,758 "," 1,601 ",เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,42,2566," 1,527 "," 4,625 "," 3,098 ",ไตรมาสที่ 1
ผู้ว่างงาน,43,2566," 1,576 "," 3,360 "," 1,784 ",ไตรมาสที่ 2
ผู้ว่างงาน,44,2566, 876 ," 1,838 ", 963 ,ไตรมาสที่ 3
ผู้ว่างงาน,45,2566, 648 ," 1,208 ", 560 ,ไตรมาสที่ 4
อัตราการว่างงาน (%),46,2566, 1.5 , 1.6 , 1.8 ,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),47,2566, 2.0 , 2.8 , 3.5 ,ไตรมาสที่ 1
อัตราการว่างงาน (%),48,2566, 2.1 , 2.0 , 2.0 ,ไตรมาสที่ 2
อัตราการว่างงาน (%),49,2566, 1.1 , 1.1 , 1.1 ,ไตรมาสที่ 3
อัตราการว่างงาน (%),50,2566, 0.8 , 0.7 , 0.6 ,ไตรมาสที่ 4
ผู้ว่างงาน,51,2567, 841 ," 1,649 ", 808 ,เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,52,2567, 482 ," 1,243 ", 761 ,ไตรมาสที่ 1
ผู้ว่างงาน,53,2567, 683 ," 1,244 ", 561 ,ไตรมาสที่ 2
ผู้ว่างงาน,54,2567, 811 ," 1,888 "," 1,077 ",ไตรมาสที่ 3
ผู้ว่างงาน,55,2567," 1,387 "," 2,219 ", 832 ,ไตรมาสที่ 4
อัตราการว่างงาน (%),56,2567, 1.1 , 1.0 , 0.9 ,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),57,2567, 0.6 , 0.7 , 0.8 ,ไตรมาสที่ 1
อัตราการว่างงาน (%),58,2567, 0.9 , 0.7 , 0.6 ,ไตรมาสที่ 2
อัตราการว่างงาน (%),59,2567, 1.0 , 1.1 , 1.2 ,ไตรมาสที่ 3
อัตราการว่างงาน (%),60,2567, 1.8 , 1.3 , 0.9 ,ไตรมาสที่ 4
