จำนวน,_id,ปี,ระดับการศึกษา,เพศ,ไตรมาส,หน่วย
34153,89,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 4,คน
2766,90,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
,91,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
26569,92,2563,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 4,คน
7060,93,2563,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 4,คน
8134,94,2563,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
-,95,2563,อื่น ๆ,       หญิง                        , ไตรมาสที่ 4,คน
506,96,2563,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 4,คน
2136,97,2564,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
28671,98,2564,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
53636,99,2564,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
73851,100,2564,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 1 ,คน
53308,101,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 1 ,คน
9828,102,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
,103,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
25059,104,2564,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 1 ,คน
11969,105,2564,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 1 ,คน
1128,106,2564,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
-,107,2564,อื่น ๆ,       ชาย                         , ไตรมาสที่ 1 ,คน
913,108,2564,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 1 ,คน
5546,109,2564,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
20753,110,2564,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
44406,111,2564,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
40403,112,2564,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 1 ,คน
35525,113,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 1 ,คน
4140,114,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
,115,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
37200,116,2564,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 1 ,คน
6666,117,2564,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 1 ,คน
5048,118,2564,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
-,119,2564,อื่น ๆ,       หญิง                        , ไตรมาสที่ 1 ,คน
199,120,2564,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 1 ,คน
