เดือน,จำนวน,ประเภท_พรบ,_id,ปี
กันยายน,3314,ตามพรบ.รถยนต์,45,2565
ตุลาคม,3190,ตามพรบ.รถยนต์,46,2565
พฤศจิกายน,3273,ตามพรบ.รถยนต์,47,2565
ธันวาคม,3300,ตามพรบ.รถยนต์,48,2565
มกราคม,22,ตามพรบ.ขนส่ง,49,2566
กุมภาพันธ์,25,ตามพรบ.ขนส่ง,50,2566
มีนาคม,27,ตามพรบ.ขนส่ง,51,2566
เมษายน,11,ตามพรบ.ขนส่ง,52,2566
พฤษภาคม,31,ตามพรบ.ขนส่ง,53,2566
มิถุนายน,31,ตามพรบ.ขนส่ง,54,2566
กรกฎาคม,23,ตามพรบ.ขนส่ง,55,2566
สิงหาคม,20,ตามพรบ.ขนส่ง,56,2566
กันยายน,7,ตามพรบ.ขนส่ง,57,2566
ตุลาคม,11,ตามพรบ.ขนส่ง,58,2566
พฤศจิกายน,18,ตามพรบ.ขนส่ง,59,2566
ธันวาคม,10,ตามพรบ.ขนส่ง,60,2566
มกราคม,3758,ตามพรบ.รถยนต์,61,2566
กุมภาพันธ์,3327,ตามพรบ.รถยนต์,62,2566
มีนาคม,3680,ตามพรบ.รถยนต์,63,2566
เมษายน,2279,ตามพรบ.รถยนต์,64,2566
พฤษภาคม,3513,ตามพรบ.รถยนต์,65,2566
มิถุนายน,2936,ตามพรบ.รถยนต์,66,2566
กรกฎาคม,3050,ตามพรบ.รถยนต์,67,2566
สิงหาคม,3162,ตามพรบ.รถยนต์,68,2566
กันยายน,2939,ตามพรบ.รถยนต์,69,2566
ตุลาคม,2689,ตามพรบ.รถยนต์,70,2566
พฤศจิกายน,3147,ตามพรบ.รถยนต์,71,2566
ธันวาคม,3192,ตามพรบ.รถยนต์,72,2566
มกราคม,2,ตามพรบ.ขนส่ง,73,2567
กุมภาพันธ์,15,ตามพรบ.ขนส่ง,74,2567
มีนาคม,8,ตามพรบ.ขนส่ง,75,2567
เมษายน,24,ตามพรบ.ขนส่ง,76,2567
พฤษภาคม,10,ตามพรบ.ขนส่ง,77,2567
มิถุนายน,12,ตามพรบ.ขนส่ง,78,2567
กรกฎาคม,7,ตามพรบ.ขนส่ง,79,2567
สิงหาคม,13,ตามพรบ.ขนส่ง,80,2567
กันยายน,21,ตามพรบ.ขนส่ง,81,2567
ตุลาคม,3,ตามพรบ.ขนส่ง,82,2567
พฤศจิกายน,8,ตามพรบ.ขนส่ง,83,2567
ธันวาคม,9,ตามพรบ.ขนส่ง,84,2567
มกราคม,3436,ตามพรบ.รถยนต์,85,2567
กุมภาพันธ์,3015,ตามพรบ.รถยนต์,86,2567
มีนาคม,2936,ตามพรบ.รถยนต์,87,2567
เมษายน,2793,ตามพรบ.รถยนต์,88,2567
พฤษภาคม,3371,ตามพรบ.รถยนต์,89,2567
มิถุนายน,2932,ตามพรบ.รถยนต์,90,2567
กรกฎาคม,2831,ตามพรบ.รถยนต์,91,2567
สิงหาคม,2374,ตามพรบ.รถยนต์,92,2567
กันยายน,2389,ตามพรบ.รถยนต์,93,2567
ตุลาคม,3064,ตามพรบ.รถยนต์,94,2567
พฤศจิกายน,2913,ตามพรบ.รถยนต์,95,2567
ธันวาคม,2628,ตามพรบ.รถยนต์,96,2567
มกราคม,9,ตามพรบ.ขนส่ง,97,2568
กุมภาพันธ์,11,ตามพรบ.ขนส่ง,98,2568
มีนาคม,20,ตามพรบ.ขนส่ง,99,2568
เมษายน,23,ตามพรบ.ขนส่ง,100,2568
พฤษภาคม,18,ตามพรบ.ขนส่ง,101,2568
มิถุนายน,7,ตามพรบ.ขนส่ง,102,2568
กรกฎาคม,13,ตามพรบ.ขนส่ง,103,2568
สิงหาคม,29,ตามพรบ.ขนส่ง,104,2568
กันยายน,17,ตามพรบ.ขนส่ง,105,2568
ตุลาคม,6,ตามพรบ.ขนส่ง,106,2568
พฤศจิกายน,2,ตามพรบ.ขนส่ง,107,2568
ธันวาคม,9,ตามพรบ.ขนส่ง,108,2568
มกราคม,3622,ตามพรบ.รถยนต์,109,2568
กุมภาพันธ์,2985,ตามพรบ.รถยนต์,110,2568
มีนาคม,2987,ตามพรบ.รถยนต์,111,2568
เมษายน,3046,ตามพรบ.รถยนต์,112,2568
พฤษภาคม,3568,ตามพรบ.รถยนต์,113,2568
มิถุนายน,2951,ตามพรบ.รถยนต์,114,2568
กรกฎาคม,2745,ตามพรบ.รถยนต์,115,2568
สิงหาคม,2495,ตามพรบ.รถยนต์,116,2568
กันยายน,2702,ตามพรบ.รถยนต์,117,2568
ตุลาคม,2728,ตามพรบ.รถยนต์,118,2568
พฤศจิกายน,2803,ตามพรบ.รถยนต์,119,2568
ธันวาคม,2836,ตามพรบ.รถยนต์,120,2568
