_id,ลำดับ,เลขทะเบียน,ชื่อโรงงาน
91,91,10200000325328,บริษัท ศิลาธนดล จำกัด
92,92,10200000725568,บริษัท แท็ก เฮฟวี่ เมทัล จำกัด
93,93,10200000525430,บริษัท ยูไนเต็ด ครีเอชั่น แพ็คเกจจิ้ง โซลูชั่น (ประเทศไทย) จำกัด
94,94,10200000725592,บริษัท ไทย โกลเด้น ออยล์ จำกัด
95,95,10200000525554,บริษัท นที ฟีด มิลล์ จำกัด
96,96,10200000825582,บริษัท วัฒนชัยรับเบอร์เมท จำกัด
97,97,10200000525596,บริษัท เอส.เจ.เอ็ม.เบลท์ติ้ง (ประเทศไทย) จำกัด
98,98,10200000825608,สถานีสูบน้ำเพิ่มแรงดันสำนักบก
99,99,10200000325369,บริษัท โทรา 1010 จำกัด
100,100,10200000625339,บริษัท เอสซีจี รูฟฟิ่ง จำกัด
101,101,10200000325526,บริษัท ซุ่นจิ้น เทคโนโลยี (ไทยแลนด์) จำกัด
102,102,10200001025489,บริษัท เทพนัสบดินทร์ วิศวการ จำกัด
103,103,10200000325542,บริษัท เพ็ญศิริ สตีล อินดัสตรีส์ จำกัด
104,104,10200001025513,บริษัท สตีล พลัส แฟบบริเคชั่น จำกัด
105,105,10200001125495,บริษัท อี.เอส.เทค (ไทยแลนด์) จำกัด
106,106,10200001425572,บริษัท เอฟเวอร์แฟรงค์ เทคโนโลยี จำกัด
107,107,10200000325591,บริษัท แอล จี เอช เครน จำกัด
108,108,10200000625503,บริษัท เพรส โฮม อินดัสทรี่ จำกัด
109,109,10200001525488,บริษัท ไพร์ม โพรดักส์ อินดัสตรี้ จำกัด
110,110,10200000425458,บริษัท ไทย เอเทค โซลูชั่น จำกัด
111,111,10200001525504,บริษัท ทีเอ ออโตโมทีฟ พาร์ท (ประเทศไทย) จำกัด
112,112,10200000625552,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน)
113,113,10200000425474,บริษัท อินดัสเตรียล วอเตอร์ รีซอร์ส แมนเนจเม้นท์ จำกัด
114,114,10200000625594,บริษัท พีวีวู้ด จำกัด
115,115,10200001725526,บริษัท เอเซีย เมทัล จำกัด (มหาชน)
116,116,10200000725477,บริษัท พี.วี.ที.ฟู้ดส์ อินดัสตรีส์ จำกัด
117,117,10200001825474,บริษัท กู้ดแพค มานูแฟคเจอริ่ง จำกัด
118,118,10200000725584,บริษัท เอ็มไพร์ เฟอร์เนซ อินดัสทรี จำกัด
119,119,10200001825581,บริษัท ฮัวเหว่ย อินดัสเทรียล จำกัด
120,120,10200000825566,บริษัท ปูนซิเมนต์ไทย (แก่งคอย) จำกัด (โรงงานมอร์ตาร์บ้านบึง)
121,121,10200001925563,บริษัท อีสเทิร์นฟีดมิลล์ จำกัด
122,122,10200000425490,บริษัท ทีพีซีเอส จำกัด (มหาชน)
123,123,10200000425516,บริษัท อภิรักษ์พลายวู๊ด 2008 จำกัด
124,124,10200000525463,บริษัท เยทา จำกัด
125,125,10200000825574,บริษัท เบ๊ทเทอร์ ช้อยส์ เอนเทอร์ไพรส์ จำกัด
126,126,10200000525521,บริษัท ยามาฮัทสึ (ประเทศไทย) จำกัด
127,127,10200000825665,บริษัท พี.เอ.เค. เมทัล กรุ๊ป จำกัด
128,128,10200002225591,บริษัท ไทยอัลลอย แมนูแฟคเจอริ่ง จำกัด
129,129,10200000925465,บริษัท จี เอส อีเลคทรอนิคส์ เมทัล จำกัด
130,130,10200002325532,บริษัท จัวปภารีไซเคิลสหรุ่งเรือง จำกัด
131,131,10200001125560,บริษัท วาย เค บี (ประเทศไทย) จำกัด
132,132,10200000725212,บริษัท โรงสีไฟสามัคคีกิจธัญญา จำกัด
133,133,10200002425480,ห้างหุ้นส่วนจำกัดกัด 59 กุญแจทอง
134,134,10200001225485,ห้างหุ้นส่วนจำกัด เอสเค 0616
135,135,10200002425498,บริษัท เอ็ม เอส โอ แอนด์ พี (ไทยแลนด์) จำกัด
136,136,10200001325467,บริษัท สหพัฒน์รีไซเคิล จำกัด
137,137,10200002425563,บริษัท จูน จิน เทค จำกัด
138,138,10200002825499,นางชุติกาญจน์ พันธุ์โฆษิต
139,139,10200002825531,บริษัท ชัยโย ไบโอฟูเอล จำกัด
140,140,10200000825236,อึ้งซ้งฮวด
141,141,10200001425549,บริษัท นำชัยเจริญ จำกัด
142,142,10200002925620,บริษัท โรจนินทร์ โลหะกิจ จำกัด
143,143,10200003025503,บริษัท ดองมิน (ไทยแลนด์) จำกัด
144,144,10200001725534,บริษัท ชัยแสงเพชร เอ็นจิเนียริ่ง จำกัด
145,145,10200000825533,บริษัท อลูคอน จำกัด (มหาชน)
146,146,10200003325531,โกเฮงพัฒนารีไซเคิล
147,147,10200001825169,บริษัท ป.เจริญมันสำปะหลังไทย จำกัด
148,148,10200003325572,บริษัท พงศ์พาราโคดัน โพลิเมอร์ จำกัด
149,149,10200000925499,สยาม พาราไดซ์ ฟู้ดส์
150,150,10200003425604,บริษัท โชคสหพัฒน์ แอนด์ ซัพพลาย จำกัด
151,151,10200002325540,บริษัท ทรีวิว จำกัด
152,152,10200004525584,วงษ์พาณิชย์ สาขาตำบลดอนหัวฬ่อ
153,153,10200004725614,บริษัท คาร์เทล รีไซคลิ่ง จำกัด
154,154,10200004825604,บริษัท หยง เหว่ย ไบโอแมส เอ็นเนอจี้ จำกัด
155,155,10200002725533,บริษัท โกลบัล วู้ดชิพ จำกัด
156,156,10200005025600,บริษัท เจี๋ยเซ่ง พลาสติก จำกัด
157,157,10200002925570,บริษัท นทีออยล์ จำกัด
158,158,10200000925564,บริษัท บิลเลี่ยน เอ็นเตอร์ไพรส์ จำกัด
159,159,10200002925588,บริษัท แซนด์ซอร์ จำกัด
160,160,10200005125517,บริษัท จัสมิน เอ็นไวรอนเม้นท์ จำกัด
161,161,10200003025560,บริษัท ซี.พี. สตาร์เลนส์ จำกัด
162,162,10200005625607,บริษัท เค.พี.เอส เปเปอร์ แอนด์ พลาสติก จำกัด
163,163,10200000925580,บริษัท บีเรนเบิร์ก (ประเทศไทย) จำกัด
164,164,10200003125519,บริษัท ฟรีเทรด วัน คอร์ปอเรชั่น จำกัด
165,165,10200005725472,บริษัท เนทโก้ เทคโนโลยี จำกัด
166,166,10200006325553,บริษัท รอยัล อินเตอร์ แพ็ค จำกัด
167,167,10200003125535,ห้างหุ้นส่วนจำกัด เค.เอช.รีไซเคิล
168,168,10200006525475,ห้างหุ้นส่วนจำกัด สี่พี่น้องร่วมเจริญ
169,169,10200003125600,บริษัท ไทย ฟู้ดส์ สไวน อินเตอร์เนชั่นแนล จำกัด
170,170,10200003225566,บริษัท เวลท์ เดฟท์ จำกัด
171,171,10200001025471,บริษัท ดีเท็กซ์อุตสาหกรรม จำกัด
172,172,10200006725604,บริษัท อุตสาหกรรมสีเขียว น้ำใส จำกัด
173,173,10200001025562,บริษัท วันโปรเกรสพาร์ท จำกัด
174,174,10200003425539,บริษัท ศิริไพศาลพืชผล จำกัด
175,175,10200003525593,บริษัท สินสวัสดิ์ เมทัล จำกัด
176,176,10200003525601,ห้างหุ้นส่วนจำกัด ณัฐชา ตะวันออก กรุ๊ป
177,177,10200003625492,บริษัท ธับทอง เอ็นจิเนียริ่ง แอนด์ รีไซเคิล จำกัด
178,178,10200003925504,บริษัท ทองทาปีโอก้า (1999) จำกัด
179,179,10200004025510,บริษัท ยู เอส บ่อทอง อินเตอร์เนชั่นแนล จำกัด
180,180,10200001025588,บริษัท สยาม พีซี โปรดักส์ จำกัด
181,181,10200004025536,บริษัท ซีบีไอ (ประเทศไทย) จำกัด
182,182,10200007225489,ห้างหุ้นส่วนจำกัด เอส.ที.พี. รีไซเคิล
183,183,10200007325495,บริษัท เอเอเอ พี เอ็น จำกัด
184,184,10200004025585,บริษัท สุนทรธัญทรัพย์ จำกัด
185,185,10200001125578,บริษัท ไทยโพลทรีย์ กรุ๊ป จำกัด
186,186,10200007425543,บริษัท ซี ออน ท๊อป จำกัด
187,187,10200001325616,บริษัท ไทยออยล์ ทูล แมชีนเนอรี่ เซอร์วิสเซส จำกัด
188,188,10200007525532,ห้างหุ้นส่วนจำกัด บุญศิริสุมิตรา รีไซเคิล
189,189,10200004425512,null
190,190,10200004725499,นางสาวสลิษา คงอยู่
191,191,10200001525546,บริษัท อมตะ เวสท์ รีไซเคิล จำกัด
192,192,10200008025490,บริษัท ชโนทัยโกลบอลดีลรีไซเคิ่ล จำกัด
193,193,10200001525561,บริษัท บูซอง โพลีคอม (ประเทศไทย) จำกัด
194,194,10200008925616,บริษัท สหรุ่งเจริญ พลาสติก จำกัด
195,195,10200005225531,บริษัท โชคเกรียงขจร จำกัด
196,196,10200001625577,บริษัท นพรุจ รีไซเคิล จำกัด
197,197,10200009525167,บริษัท ตันเสวตพืชผล จำกัด
198,198,10200006325546,บริษัท ทรัพย์หงธุ์ จำกัด
199,199,10200010025652,บริษัท มิราเคิล อินเตอร์เทรด จำกัด
200,200,10200001625585,บริษัท ไทยชิฮอนเอ็นเตอร์ไพร์ส จำกัด
201,201,10200006625564,บริษัท ฤทธา จำกัด
202,202,10200010325599,บริษัท ไทยเจริญพัฒนาการพิมพ์ จำกัด
203,203,10200001825508,บริษัท วีแคร์ โลจิสติกส์ จำกัด
204,204,10200006625606,บริษัท บูรพารวมเศษ จำกัด
205,205,10200011825605,บริษัท ส.เกียรติเจริญ ค้าของเก่า จำกัด
206,206,10200001825516,บริษัท อ.สหรุ่งโรจน์ จำกัด
207,207,10200006825487,บริษัท ชโลธร อินเตอร์เนชั่นแนล (2002) จำกัด
208,208,10200006825545,บริษัท โชคพรทรัพย์ จำกัด
209,209,10200001825557,บริษัท ได-ดอง อีเล็คทรอนิกส์ (ประเทศไทย) จำกัด
210,210,10200013025477,บริษัท เหมืองทองค้าของเก่า (ซุ่นเฮง) จำกัด
211,211,10200007025483,บริษัท เอ-พลา ไฮเทค จำกัด
212,212,10200002125478,บริษัท เอส.โอ.แท้งค์ คลีนนิ่ง เทอร์มินอล จำกัด
213,213,10200007025541,บริษัท มังกร รีไซเคิล รุ่งเรืองกิจ จำกัด
214,214,10200013425529,บริษัท ไทยย่า พลาสติก เทรดดิ้ง จำกัด
215,215,10200007125549,บริษัท ชนะชัยรุ่งเรืองออยล์ จำกัด
216,216,10200030725661,บริษัท เจิ้งอัน เอ็นเตอร์ไพรส์ จำกัด
217,217,10200007425493,บริษัท พี.เอ็ม.เอฟ.พลาสโพลี จำกัด
218,218,10200060825654,บริษัท ซิน อี้ ไท่ อินดัสเตรียล เทรด จำกัด
219,219,10200002225484,บริษัท มนตรี แทงค์ แอนด์ ทรัค เซอร์วิส จำกัด
220,220,10200008525531,บริษัท ทรัพย์ทองไทย สแครป ยาร์ด จำกัด
221,221,10200060925637,บริษัท พี.บี. เทรดดิ้ง แอนด์ รีไซเคิล จำกัด
222,222,10200100125347,บริษัท เอ็มดีไอ โฮมโปรดักส์ อินดัสทรี้ จำกัด
223,223,10200100125362,บริษัท ผลิตภัณฑ์ศิลาแสนสุข จำกัด
224,224,10200008725602,บริษัท ทรัพย์เจริญรุ่งเรืองสตีล จำกัด
225,225,10200100125370,บริษัท ชลบุรีจิตต์ประเสริฐ จำกัด
226,226,10200009625470,บริษัท ไทยวนาสินรับเบอร์วูด จำกัด
227,227,10200002625600,บริษัท วี เทคนิค รีไซเคิล จำกัด
228,228,10200100125586,บริษัท เอสเคทีจี-เทค จำกัด
229,229,10200009825476,บริษัท เอ็น.พี.เอส.รีไซเคิล จำกัด
230,230,10200100225584,บริษัท แอร์-คอน พาร์ทส์ เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด
231,231,10200100225592,บริษัท เจ้น ฟา อินดัสเทรียล จำกัด
232,232,10200010525479,บริษัท รักษาสิ่งแวดล้อมและรีไซเคิล จำกัด
233,233,10200100325467,บริษัท เมต้าเทค จำกัด
234,234,10200012925479,บริษัท ซางหยวนโลหะกิจ จำกัด
235,235,10200013325521,บริษัท ศศิพิมพ์ รีไซเคิ้ล จำกัด
236,236,10200100325517,บริษัท อินดัสเตรียล วอเตอร์ รีซอร์ส แมนเนจเม้นท์ จำกัด
237,237,10200100725591,บริษัท สุรศักดิ์ เมทัล จำกัด
238,238,10200100925563,บริษัท รชต รุ่งเรือง รีไซเคิล แอนด์ คอนสตรัคชั่น จำกัด
239,239,10200002825614,บริษัท โรงน้ำแข็ง สุขสวัสดิ์พันเสด็จ จำกัด
240,240,10200102825563,บริษัท รุ่งอรุณทรัพย์ รีไซเคิล จำกัด
241,241,10200015025483,บริษัท ชลบุรี แซนดิ้ง จำกัด
242,242,10200102825605,บริษัท เจ.เอ เซอร์วิส แอนด์ ซัพพลาย จำกัด
243,243,10200017025630,บริษัท ต. ชลบุรี จำกัด
244,244,10200121325652,บริษัท ที.เค.ดี. รีไซเคิล จำกัด
245,245,10200018425649,วงษ์พาณิชย์ (สาขามาบโป่ง)
246,246,10200019925662,บริษัท ลิเดีย ออยล์ (ประเทศไทย) จำกัด
247,247,10200002925562,บริษัท มัลติรีไซเคิล จำกัด
248,248,10200133325658,บริษัท สยาม เซอร์วิส แอนด์ คอนซัลแทนซี่ จำกัด
249,249,10200021625656,บริษัท อัดดี จำกัด
250,250,10200003225582,สหกรณ์กองทุนสวนยางอำเภอบ่อทอง จำกัด
251,251,10200003425513,บริษัท อังไถ่ จำกัด
252,252,10200003725615,บริษัท สุขสมบูรณ์น้ำมันปาล์ม จำกัด
253,253,10200023725660,บริษัท เอส.ดับบลิว.ดี. อินเตอร์พลาสท์ จำกัด
254,254,10200138325620,บริษัท พีพี แอนด์ พี อินเตอร์ พาร์ท จำกัด
255,255,10200141925648,ห้างหุ้นส่วนจำกัด บุญจองรีไซเคิ้ล
256,256,10200144925637,บริษัท ที.เค.แอล. ยูนิตี้ รีไซเคิล จำกัด
257,257,10200053725655,บริษัท กรีน เอ็นเนอร์จี ไทย จำกัด
258,258,10200145325654,บริษัท พีจี 168 รีไซเคิล จำกัด
259,259,10200072425659,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
260,260,10200171725637,บริษัท อ. สหรุ่งโรจน์ จำกัด
261,261,10200078225640,บริษัท บ้านบึงน้ำแข็งซอง จำกัด
262,262,10200003825530,บริษัท เตตระ เซอร์วิส จำกัด
263,263,10200084325640,บริษัท วิช พาวเวอร์ (ไทยแลนด์) จำกัด
264,264,10200172125647,บริษัท ฟู่ หยู อิมพอร์ต เอ็กซ์พอร์ต จำกัด
265,265,10200172225645,บริษัท นพรุจ รีไซเคิล จำกัด
266,266,10200200125338,บริษัท เอ็น.วาย รับเบอร์ จำกัด
267,267,10200200125395,บริษัท พี แอนด์ เอฟ โพลีเมอร์ จำกัด
268,268,10200086225665,บริษัท เอพี กิจเจริญ จำกัด
269,269,10200200125460,บริษัท ควอลิเมอร์ จำกัด
270,270,10200092325657,บริษัท เซาท์เทิร์น โกลด์ สแครพ แอนด์ รีไซเคิล จำกัด
271,271,10200003825571,-
272,272,10200097625648,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
273,273,10200003925660,บริษัท จารุทวีสิน จำกัด
274,274,10200200125486,บริษัท หลุยส์ผลิตภัณฑ์กาวเทป จำกัด
275,275,10200004025577,-
276,276,10200200125502,บริษัท ช. ธนวัฒน์ สตีล เวิร์ค (ประเทศไทย) จำกัด
277,277,10200100125156,บริษัท สหการน้ำตาลชลบุรี จำกัด
278,278,10200100125206,บริษัท น้ำหวาน สี่แสง จำกัด
279,279,10200100125354,บริษัท ซงเม่านันวูเว่น จำกัด
280,280,10200200125601,บริษัท โรจนะ อินดัสเตรียล แมเนจเม้นท์ จำกัด
281,281,10200100125503,ห้างหุ้นส่วนจำกัด บำรุงยาง
282,282,10200004225581,บริษัท ไดเวอร์เจนท์ เวิร์คกรุ๊ป จำกัด
283,283,10200200225195,บริษัท โค้วชั่งเอี๊ยะอุตสาหกรรมแป้งมันและสาคู จำกัด
284,284,10200100125511,บริษัท สยาม วินโด กลาส จำกัด
285,285,10200004225607,บริษัท เอส เอส เค ฟรีโซน จำกัด
286,286,10200004325472,บริษัท เอ.อี.ซี.พลาสติก 89 จำกัด
287,287,10200200325342,บริษัท อู่เสรีชัย จำกัด
288,288,10200100125578,บริษัท ชางฮง เอ็นเตอร์ไพรส์ จำกัด
289,289,10200100225311,บริษัท โตโย เท็กซ์ไทล์ ไทย จำกัด
290,290,10200100225337,บริษัท ไทร์พาโต จำกัด
291,291,10200200525560,บริษัท โยชิทาเคะ เวิร์ค (ประเทศไทย) จำกัด
292,292,10200004725473,บริษัท แอดเทค ดีไวซ์เซส (ประเทศไทย) จำกัด
293,293,10200004825489,บริษัท ฮอนชวน เอฟดี แพ็คเกจจิ้ง จำกัด
294,294,10200215425632,บริษัท บัวเงิน จำกัด
295,295,10200100725468,บริษัท ไพน์วัสดุอุตสาหกรรม จำกัด
296,296,10200004825596,บริษัท แอ็ดวานซ์ พรีแฟบ จำกัด
297,297,10200100825524,บริษัท พีเอ็นทีเอ็ม จำกัด
298,298,10200255525630,บริษัท ริช เปเปอร์ จำกัด
299,299,10200102725532,บริษัท ทีเคเอสพี ออย จำกัด
300,300,10200005725498,บริษัท เปเปอร์มิลล์ แอนด์ คราฟท์ จำกัด
301,301,10200104825579,สำนักงาน-โรงงาน (ห้องเย็น) จ.ชลบุรี
302,302,10200106825486,บริษัท เวรี่ไลท์ อินดัสเตรียล จำกัด
303,303,10200116325634,บริษัท ฮัว ยี เคมีคอล (ประเทศไทย) จำกัด
304,304,10200126625650,บริษัท ไตรโคเนียร์ แอ็คมี จำกัด
305,305,10200136225657,บ่อซุปเปอร์สปีด 5
306,306,10200005925544,บริษัท ไฟน์พาย เทคโนโลยี จำกัด
307,307,10200260925635,บริษัท โมเดิร์น ซินเนอร์ยี่ จำกัด
308,308,10200144825654,บริษัท โปลิโฟม สุวรรณภูมิ จำกัด (สาขา 1)
309,309,10200300125287,บริษัท ตะวันออกคอนกรีตและวัสดุภัณฑ์ จำกัด
310,310,10200006225498,บริษัท โอเคซี คอร์ปอเรชั่น จำกัด
311,311,10200146125624,บริษัท ยูไนเต็ด เวสท์ แมเนจเม้นท์ จำกัด
312,312,10200147425668,บริษัท ยิ้มชัยโย ทรานสปอร์ต จำกัด
313,313,10200300125410,บริษัท ไทยพาราไซลีน จำกัด
314,314,10200006225613,บริษัท จิ่วหลงไทย จำกัด
315,315,10200154625622,บริษัท เทรด แมททีเรียล 2014 จำกัด
316,316,10200006425478,บริษัท โกลบอล (เอเซีย แปซิฟิค) เอ็นไวรอนเมนทอลโพรเทคชั่น จำกัด
317,317,10200300225343,บริษัท ศรีไทยโมลด์ส จำกัด
318,318,10200155725652,บริษัท จีที เมทัล จำกัด
319,319,10200006525152,ย่งกี่
320,320,10200311925626,บริษัท ชุน ยี อินเตอร์เนชั้นแนล เทรดดิ้ง จำกัด
321,321,10200006925543,บริษัท เฉลิมชัยอุตสาหกรรม จำกัด
322,322,10200312125648,บริษัท โชติพิชา จำกัด
323,323,10200156425658,บริษัท พีเอสพี เวสท์ โซลูชั่น จำกัด
324,324,10200007925484,บริษัท แอล.อาร์.ซี ไทยเมททอล จำกัด
325,325,10200156625653,บริษัท ซิมสุลาลัย จำกัด
326,326,10200321925640,บริษัท เค็น ยูไนเต็ด (ประเทศไทย) จำกัด
327,327,10200159225659,บริษัท นพรุจ รีไซเคิล จำกัด
328,328,10200342725649,บริษัท เอ็ม.ซี.เจนเนอรัล เซอร์วิส จำกัด
329,329,10200350025643,บริษัท ฟูห์เรอร์ ไวร์ แอนด์ เคเบิ้ล จำกัด
330,330,10200400125310,โรงกลึงธนโชติ อนันต์การช่าง
331,331,10200008425476,บริษัท สุพรีม พลาสติก อินดัสตรี้ จำกัด
332,332,10200169025651,บริษัท เพิ่มพูนผล สตีล รุ่งเรือง จำกัด
333,333,10200008425484,ห้างหุ้นส่วนจำกัด เตชะมา
334,334,10200169525635,ห้างหุ้นส่วนจำกัด เอส.ที.พี. รีไซเคิล
335,335,10200400125336,บริษัท ซินหยิงพ็อตเตอรี่ จำกัด
336,336,10200009125505,บริษัท เอส.เอส.พี.บูรพา (2005) จำกัด
337,337,10200400125468,บริษัท เอ็มไพร์ บาร์มิลล์ จำกัด
338,338,10200174125660,บริษัท สินสวัสดิ์ เมทัล จำกัด
339,339,10200011125485,บริษัท ธนาคม พาราวู้ด จำกัด
340,340,10200454125646,บริษัท ชัยสมุทร รับเบอร์ จำกัด
341,341,10200196925626,บริษัท อัลฟาคาสท์ จำกัด
342,342,10200467925644,บริษัท คิโต้ พัลพ์ (ประเทศไทย) จำกัด
343,343,10200200125155,ห้างหุ้นส่วนจำกัด เจริญโชคดีชลบุรี
