จำนวน,_id,ปี,รายการ,ชนิดของพืชผัก
48,173,2564,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
48,174,2564,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
36,175,2564,ผลผลิต (ตัน),พริกใหญ่
750,176,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกใหญ่
188,177,2565,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดรับประทานฝักสด
182,178,2565,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดรับประทานฝักสด
215.852,179,2565,ผลผลิต (ตัน),ข้าวโพดรับประทานฝักสด
1186,180,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดรับประทานฝักสด
583,181,2565,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดหวาน
583,182,2565,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดหวาน
408.1,183,2565,ผลผลิต (ตัน),ข้าวโพดหวาน
700,184,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดหวาน
281,185,2565,เนื้อที่เพาะปลูก (ไร่),ชะอม
279,186,2565,เนื้อที่เก็บเกี่ยว (ไร่),ชะอม
73.935,187,2565,ผลผลิต (ตัน),ชะอม
265,188,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ชะอม
67.5,189,2565,เนื้อที่เพาะปลูก (ไร่),แตงกวา
67.5,190,2565,เนื้อที่เก็บเกี่ยว (ไร่),แตงกวา
138.375,191,2565,ผลผลิต (ตัน),แตงกวา
2050,192,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),แตงกวา
265.75,193,2565,เนื้อที่เพาะปลูก (ไร่),ถั่วฝักยาว
265.75,194,2565,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วฝักยาว
318.9,195,2565,ผลผลิต (ตัน),ถั่วฝักยาว
1200,196,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วฝักยาว
73,197,2565,เนื้อที่เพาะปลูก (ไร่),ถั่วพู
73,198,2565,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วพู
50.005,199,2565,ผลผลิต (ตัน),ถั่วพู
685,200,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วพู
265.5,201,2565,เนื้อที่เพาะปลูก (ไร่),บวบ
265.5,202,2565,เนื้อที่เก็บเกี่ยว (ไร่),บวบ
172.575,203,2565,ผลผลิต (ตัน),บวบ
650,204,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),บวบ
200,205,2565,เนื้อที่เพาะปลูก (ไร่),ผักชี
200,206,2565,เนื้อที่เก็บเกี่ยว (ไร่),ผักชี
217,207,2565,ผลผลิต (ตัน),ผักชี
1085,208,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ผักชี
146,209,2565,เนื้อที่เพาะปลูก (ไร่),พริกขี้หนูเม็ดเล็ก
146,210,2565,เนื้อที่เก็บเกี่ยว (ไร่),พริกขี้หนูเม็ดเล็ก
94.9,211,2565,ผลผลิต (ตัน),พริกขี้หนูเม็ดเล็ก
650,212,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกขี้หนูเม็ดเล็ก
174,213,2565,เนื้อที่เพาะปลูก (ไร่),คะน้า
174,214,2565,เนื้อที่เก็บเกี่ยว (ไร่),คะน้า
62.64,215,2565,ผลผลิต (ตัน),คะน้า
360,216,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),คะน้า
16,217,2565,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
16,218,2565,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
13.44,219,2565,ผลผลิต (ตัน),พริกใหญ่
840,220,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกใหญ่
119,221,2566,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดรับประทานฝักสด
119,222,2566,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดรับประทานฝักสด
134.23,223,2566,ผลผลิต (ตัน),ข้าวโพดรับประทานฝักสด
1128,224,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดรับประทานฝักสด
388,225,2566,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดหวาน
388,226,2566,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดหวาน
232.8,227,2566,ผลผลิต (ตัน),ข้าวโพดหวาน
600,228,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดหวาน
