พื้นที่เก็บเกี่ยว,ราคาหน้าฟาร์ม,หน่วย(บาท_ตัน),ครัวเรือนเกษตรกร,หน่วย(บาท),ปริมาณผลผลิต,_id,ปี,หน่วย(ไร่),หน่วย(ตัน),อำเภอ,มูลค่า,พืชเศรษฐกิจ,หน่วย(ครัวเรือน)
11016,5970,บาท_ตัน,660,ล้านบาท,8923,55,2568,ไร่,ตัน,พุทธมณฑล,53.27,ข้าว,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,56,2568,ไร่,ตัน,พุทธมณฑล,0,อ้อยโรงงาน,ครัวเรือน
144.46,92690,บาท_ตัน,16,ล้านบาท,565,57,2568,ไร่,ตัน,พุทธมณฑล,52.37,ส้มโอ,ครัวเรือน
5,27730,บาท_ตัน,2,ล้านบาท,54.95,58,2568,ไร่,ตัน,พุทธมณฑล,1.52,ฝรั่ง,ครัวเรือน
162,4510,บาท_ตัน,60,ล้านบาท,1522.8,59,2568,ไร่,ตัน,พุทธมณฑล,6.87,มะพร้าวอ่อน,ครัวเรือน
0,41940,บาท_ตัน,0,ล้านบาท,0,60,2568,ไร่,ตัน,พุทธมณฑล,0,คะน้า,ครัวเรือน
609,,บาท_ตัน,27,ล้านบาท,2618.7,61,2568,ไร่,ตัน,พุทธมณฑล,10.98,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,62,2568,ไร่,ตัน,พุทธมณฑล,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,63,2568,ไร่,ตัน,พุทธมณฑล,0,บัวบก,ครัวเรือน
9986,9069,บาท_ตัน,705,ล้านบาท,7684,64,2567,ไร่,ตัน,เมืองนครปฐม,69.69,ข้าว,ครัวเรือน
19679,1200,บาท_ตัน,712,ล้านบาท,123058,65,2567,ไร่,ตัน,เมืองนครปฐม,147.67,อ้อยโรงงาน,ครัวเรือน
57,69276,บาท_ตัน,20,ล้านบาท,152,66,2567,ไร่,ตัน,เมืองนครปฐม,10.53,ส้มโอ,ครัวเรือน
668,19940,บาท_ตัน,145,ล้านบาท,3505,67,2567,ไร่,ตัน,เมืองนครปฐม,69.89,ฝรั่ง,ครัวเรือน
1901,13390,บาท_ตัน,278,ล้านบาท,6941,68,2567,ไร่,ตัน,เมืองนครปฐม,92.94,มะพร้าวอ่อน,ครัวเรือน
1801,18850,บาท_ตัน,173,ล้านบาท,3060,69,2567,ไร่,ตัน,เมืองนครปฐม,57.68,คะน้า,ครัวเรือน
