VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
5242.35,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,107,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
4442.09,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,108,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
2870.76,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,109,ชาย,พันคน,ภาคใต้,2565
2345.36,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,110,หญิง,พันคน,ภาคใต้,2565
2918.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,111,ชาย,พันคน,กรุงเทพมหานคร,2565
2774.16,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,112,หญิง,พันคน,กรุงเทพมหานคร,2565
6910.1,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,113,ชาย,พันคน,ภาคกลาง,2565
6005.73,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,114,หญิง,พันคน,ภาคกลาง,2565
3350.05,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,115,ชาย,พันคน,ภาคเหนือ,2565
2871.77,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,116,หญิง,พันคน,ภาคเหนือ,2565
5173.77,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,117,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
4296.07,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,118,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
2921.08,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,119,ชาย,พันคน,ภาคใต้,2565
2370.38,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,120,หญิง,พันคน,ภาคใต้,2565
2965.98,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,121,ชาย,พันคน,กรุงเทพมหานคร,2566
2789.77,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,122,หญิง,พันคน,กรุงเทพมหานคร,2566
6985.16,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,123,ชาย,พันคน,ภาคกลาง,2566
6148.21,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,124,หญิง,พันคน,ภาคกลาง,2566
3335.58,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,125,ชาย,พันคน,ภาคเหนือ,2566
2907.37,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,126,หญิง,พันคน,ภาคเหนือ,2566
4950.41,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,127,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
4145.84,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,128,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
2944.72,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,129,ชาย,พันคน,ภาคใต้,2566
2456.18,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,130,หญิง,พันคน,ภาคใต้,2566
2963.28,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,131,ชาย,พันคน,กรุงเทพมหานคร,2566
2774.24,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,132,หญิง,พันคน,กรุงเทพมหานคร,2566
7038.14,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,133,ชาย,พันคน,ภาคกลาง,2566
