_id,เลขทะเบียนเดิม,น้ำที่ได้รับการบำบัด,ผู้ประกอบการ,หน่วย
135,จ3-9(1)-6/46พล,0.4,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,ลบ.ม.
136,จ3-9(1)-61/52พล,0.4,ห้างหุ้นส่วนจำกัด โชคสันติ,ลบ.ม.
137,จ3-9(1)-69/48พล,0.2,บริษัท ส.ธนวัฒน์พืชผล จำกัด,ลบ.ม.
138,จ3-9(1)-7/46พล,3.2,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,ลบ.ม.
139,จ3-9(1)-80/55พล,1.0,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,ลบ.ม.
140,จ3-9(4)-3/64พล,5.0,นางสาวบุศรา บุญขำ,ลบ.ม.
141,จ3-9(4)-9/54พล,2.0,นายอัคฤทธิ์ เชี่ยวชาญทวีกุล,ลบ.ม.
142,จ3-9(6)-36/54พล,0.9,นายสุชลธพร แก่ข้างพลู,ลบ.ม.
143,จ3-9(6)-76/55พล,0.6,ห้างหุ้นส่วนจำกัด สหณรงค์ชัย 2009,ลบ.ม.
144,3-10(3)-1/30พล,50.0,ห้างหุ้นส่วนจำกัด เส้นหมี่เรืองสิน,ลบ.ม.
145,3-10(3)-1/41พล,10.0,นายวิชัย มัตยะสุวรรณ,ลบ.ม.
146,3-10(3)-2/61พล,40.0,บริษัท หงษ์ทองคู่ จำกัด,ลบ.ม.
147,จ3-10(3)-1/45พล,5.0,บริษัท ศิริวานิช (เอส แอนด์ ดับเบิ้ลยู) จำกัด,ลบ.ม.
148,3-11(3)-1/37พล,1000.0,บริษัท น้ำตาลพิษณุโลก จำกัด,ลบ.ม.
149,จ3-13(8)-1/64พล,45.0,บริษัท เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ จำกัด,ลบ.ม.
150,3-14-19/61พล,10.0,บริษัท พิษณุโลกบ่อทอง จำกัด,ลบ.ม.
151,3-14-2/52พล,10.0,บริษัท พิษณุโลก มหาทรัพย์ จำกัด,ลบ.ม.
152,3-14-34/65พล,10.0,บริษัท วารีเทพ วังทอง จำกัด,ลบ.ม.
153,3-14-41/50พล,10.0,บริษัท ไทยสมบูรณ์วังทอง จำกัด,ลบ.ม.
154,3-14-79/60พล,10.0,บริษัท คิงไอซ์ จำกัด,ลบ.ม.
155,จ2-14-22/64พล,0.5,นางเพียงใจ ประดิษฐ์,ลบ.ม.
156,จ3-14-1/14พล,10.0,บริษัท โกลไอซ์ จำกัด,ลบ.ม.
157,จ3-14-1/39พล,1.0,บริษัท ส.ทรงกรด จำกัด,ลบ.ม.
158,จ3-14-1/41พล,1.0,นายชูเกียรติ ดีไพบูลย์,ลบ.ม.
159,จ3-14-1/42พล,10.0,บริษัท โรงน้ำแข็งหลอดวิรัตน์ 1999 จำกัด,ลบ.ม.
160,จ3-14-1/45พล,10.0,บริษัท พิษณุโลก วารีเทพ จำกัด,ลบ.ม.
161,จ3-14-15/61พล,3.0,นายเลิศวัส โตสิน,ลบ.ม.
162,จ3-14-19/51พล,8.0,นายลภชัย นิรัติศัย,ลบ.ม.
163,จ3-14-2/44พล,4.0,นายวิรัตน์ เจริญศรี,ลบ.ม.
164,จ3-14-26/55พล,3.0,นายไพรัช นาคมอญ,ลบ.ม.
165,จ3-14-33/47พล,4.0,นางศีตลา โพธิสุวรรณ,ลบ.ม.
166,จ3-14-35/53พล,2.0,ห้างหุ้นส่วนจำกัด มีบุญ ไอซ์,ลบ.ม.
167,จ3-14-35/55พล,2.0,บริษัท โรงน้ำแข็งกิจวารี-ทิพย์วารี (พิษณุโลก) จำกัด,ลบ.ม.
168,จ3-14-37/58พล,5.0,นางสาวปิยะพร คำขอด,ลบ.ม.
169,จ3-14-4/45พล,6.0,บริษัท โรงน้ำแข็งวังน้ำทิพย์ จำกัด,ลบ.ม.
170,จ3-14-47/63พล,3.0,นางกองแก้ว บุญล้ำ,ลบ.ม.
171,จ3-14-82/60พล,1.0,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,ลบ.ม.
172,ศ3-14-1/35พล,5.0,ห้างหุ้นส่วนจำกัด นิธิวิบูลย์ 1981 กรุ๊ป,ลบ.ม.
173,ศ3-15(1)-1/39พล,20.0,บริษัท คาร์กิลล์สยาม จำกัด,ลบ.ม.
174,ส3-15(1)-1/30พล,20.0,บริษัท ซีพีเอฟ (ประะทศไทย) จำกัด (มหาชน),ลบ.ม.
175,จ3-20(1)-3/56พล,1.0,ห้างหุ้นส่วนจำกัด สิริภัทร พลาสติก,ลบ.ม.
176,จ3-20(1)-4/54พล,1.0,นางสาววนิดา โพธิ์คำ,ลบ.ม.
177,จ2-28(1)-22/50พล,8.0,ทัณฑสถานหญิงพิษณุโลก,ลบ.ม.
178,จ3-28(1)-10/63พล,8.0,บริษัท ฐานะภัณฑ์ จำกัด,ลบ.ม.
179,อ2-28(1)-75/64พล,6.5,บริษัท ฐานะภัณฑ์ จำกัด,ลบ.ม.
180,3-34(1)-1/45พล,0.8,นายสุรกิต ภูมิผล,ลบ.ม.
181,3-34(1)-2/30พล,0.8,นางสาวพนมพร บุญญพันธ์โสภณ,ลบ.ม.
182,3-34(1)-44/47พล,0.6,นายเอนก คงไขยกุล,ลบ.ม.
183,3-34(1)-64/54พล,0.6,นายวัศพล เพชรเนียม,ลบ.ม.
184,จ3-34(1)-16/60พล,4.0,นายธนาวุทธ เรียงแรง,ลบ.ม.
185,จ3-34(1)-51/54พล,2.0,นางสาวอัปสร ฤกดิ์ดี,ลบ.ม.
186,จ3-34(2)-104/52พล,2.0,นางชมบุญ เพชรทอง,ลบ.ม.
187,จ3-34(2)-16/62พล,1.5,นางสีนวล น้อยมา,ลบ.ม.
188,จ3-34(2)-51/51พล,2.0,นายศุภวัฒน์ ธาราวัชรศวสตร์,ลบ.ม.
189,3-34(4)-24/61พล,0.5,บริษัท โคลเวอร์ เชื้อเพลิงทดแทน จำกัด,ลบ.ม.
190,3-34(4)-44/64พล,0.4,นายสราวุฒิ ภูมิพล,ลบ.ม.
191,จ3-34(4)-13/49พล,1.1,บริษัท พิษณุโลก วู๊ดชิพ จำกัด,ลบ.ม.
192,จ3-36(4)-1/55พล,3.0,นางสาวพิกุล  มาอุ่น,ลบ.ม.
193,จ3-36(4)-2/55พล,5.0,นายสุรินทร์ ยรรยง,ลบ.ม.
194,จ3-37-201/50พล,1.0,นางลัดดา โกเมศมุนีบริรักษ์,ลบ.ม.
195,จ3-37-271/48พล,3.0,บริษัท เคแอนด์เค พาราวู้ด จำกัด,ลบ.ม.
196,จ3-37-273/49พล,1.0,นางกชกร ตันติวงศ์กานต์,ลบ.ม.
197,จ3-37-4/48พล,28.0,กรมราชทัณฑ์,ลบ.ม.
198,จ3-37-83/62พล,1.0,ห้างหุ้นส่วนจำกัด มีดี เฟอร์นิเจอร์ น็อคดาวน์,ลบ.ม.
199,จ3-42(1)-17/61พล,6.0,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.,ลบ.ม.
200,จ3-43(1)-18/60พล,2.0,บริษัท ดินเน็ทเวิร์ค(ประเทศไทย) จำกัด,ลบ.ม.
201,จ3-43(1)-76/51พล,2.5,บริษัท เพิซ โปรเทคชั่นกรุ๊ป จำกัด,ลบ.ม.
202,จ3-43(3)-1/52พล,2.0,ห้างหุ้นส่วนจำกัด ทิพย์พรรณนาเพื่อนเกษตร,ลบ.ม.
203,จ2-47(3)-24/64พล,7.0,บริษัท ณัฐธรา บิสสิเนส จำกัด,ลบ.ม.
204,3-50(1)-1/36พล,20.0,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),ลบ.ม.
